"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"Matches"
1;Oliver Abildgaard\Oliver-Abildgaard;dk DEN;MF;Rubin Kazan;23;1996;0.7;0;0;0;0;0;;;0.00;0.00;;;Matches
2;Luiz Adriano\Luiz-Adriano;br BRA;FW;Spartak Moscow;32;1987;2.9;1;1;1;4;2;;50.0;1.39;0.69;0.00;0.00;Matches
3;Guram Adzhoyev\Guram-Adzhoyev;ru RUS;FW;Arsenal Tula;24;1995;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
4;Vadim Afonin\Vadim-Afonin;uz UZB;MFDF;Orenburg;31;1987;6.0;0;0;0;2;0;;0.0;0.34;0.00;0.00;;Matches
5;Gamid Agalarov\Gamid-Agalarov;ru RUS;FW;Ufa;19;2000;0.2;0;0;0;0;0;;;0.00;0.00;;;Matches
6;Roman Akbashev\Roman-Akbashev;ru RUS;MF;Rubin Kazan;27;1991;0.2;0;0;0;3;1;;33.3;19.29;6.43;0.00;0.00;Matches
7;Ilzat Akhmetov\Ilzat-Akhmetov;ru RUS;MF;CSKA Moscow;21;1997;15.1;2;0;0;28;8;;28.6;1.86;0.53;0.07;0.25;Matches
8;Igor Akinfeev\Igor-Akinfeev;ru RUS;GK;CSKA Moscow;33;1986;20.0;0;0;0;0;0;;;0.00;0.00;;;Matches
9;Pavel Alikin\Pavel-Alikin;ru RUS;DF;Ufa;35;1984;4.2;1;0;0;5;0;;0.0;1.18;0.00;0.20;;Matches
10;Azer Aliyev\Azer-Aliyev;ru RUS;DFMF;Ufa;25;1994;10.8;1;0;0;7;1;;14.3;0.65;0.09;0.14;1.00;Matches
11;Víctor Álvarez\Victor-Alvarez;es ESP;DFMF;Arsenal Tula;26;1993;17.2;1;0;0;16;2;;12.5;0.93;0.12;0.06;0.50;Matches
12;Jano Ananidze\Jano-Ananidze;ge GEO;MF;Spartak Moscow;26;1992;3.6;0;0;0;7;2;;28.6;1.94;0.55;0.00;0.00;Matches
13;Aleksei Anatolyevich Kozlov\Aleksei-Anatolyevich-Kozlov;ru RUS;DF;Rostov;32;1986;19.8;0;0;0;9;2;;22.2;0.45;0.10;0.00;0.00;Matches
14;Wilker Ángel\Wilker-Angel;ve VEN;DF;Akhmat Grozny;26;1993;14.5;1;0;0;11;6;;54.5;0.76;0.41;0.09;0.17;Matches
15;Paul Anton\Paul-Anton;ro ROU;MF;Samara;28;1991;8.7;2;1;1;10;4;;40.0;1.14;0.46;0.10;0.25;Matches
16;Aleksandr Anyukov\Aleksandr-Anyukov;ru RUS;DF;Samara;36;1982;14.5;0;0;0;11;2;;18.2;0.76;0.14;0.00;0.00;Matches
17;Khyzyr Appayev\Khyzyr-Appayev;ru RUS;FWMF;Tambov;29;1990;7.9;0;0;0;11;3;;27.3;1.39;0.38;0.00;0.00;Matches
18;Ari\Ari;ru RUS;FW;Krasnodar;33;1985;15.2;5;2;4;34;10;;29.4;2.24;0.66;0.09;0.30;Matches
19;Rafał Augustyniak\Rafal-Augustyniak;pl POL;MF;Ural;25;1993;19.2;1;0;0;34;11;;32.4;1.77;0.57;0.03;0.09;Matches
20;Timur Ayupov\Timur-Ayupov;ru RUS;MFDF;Orenburg;26;1993;13.4;0;0;0;5;1;;20.0;0.37;0.07;0.00;0.00;Matches
21;Abdul Aziz Tetteh\Abdul-Aziz-Tetteh;gh GHA;MF;Dynamo Mosc;29;1990;1.6;0;0;0;0;0;;;0.00;0.00;;;Matches
22;Sardar Azmoun\Sardar-Azmoun;ir IRN;FW;Zenit;24;1995;16.8;7;1;2;62;26;;41.9;3.68;1.54;0.10;0.23;Matches
23;Yegor Baburin\Yegor-Baburin;ru RUS;GK;Rostov;25;1993;12.0;0;0;0;0;0;;;0.00;0.00;;;Matches
24;Soltmurad Bakaev\Soltmurad-Bakaev;ru RUS;MF;Rubin Kazan;19;1999;0.2;0;0;0;0;0;;;0.00;0.00;;;Matches
25;Soltmurad Bakaev\Soltmurad-Bakaev;ru RUS;MF;Spartak Moscow;19;1999;0.2;0;0;0;0;0;;;0.00;0.00;;;Matches
26;Zelimkhan Bakayev\Zelimkhan-Bakayev;ru RUS;MF;Spartak Moscow;23;1996;16.6;4;1;1;45;14;;31.1;2.71;0.84;0.07;0.21;Matches
27;Akmal Bakhtiyarov\Akmal-Bakhtiyarov;kz KAZ;FW;Sochi;21;1998;0.3;0;0;0;2;1;;50.0;6.92;3.46;0.00;0.00;Matches
28;Oleg Baklov\Oleg-Baklov;ru RUS;GK;Ural;24;1994;3.0;0;0;0;0;0;;;0.00;0.00;;;Matches
29;Lameck Banda\Lameck-Banda;zm ZAM;FW;Arsenal Tula;18;2001;1.1;0;0;0;3;0;;0.0;2.84;0.00;0.00;;Matches
30;Dmitri Barinov\Dmitri-Barinov;ru RUS;MF;Loko Moscow;22;1996;17.0;1;0;0;24;6;;25.0;1.41;0.35;0.04;0.17;Matches
31;Wílmar Barrios\Wilmar-Barrios;co COL;MF;Zenit;25;1993;17.9;1;0;0;7;1;;14.3;0.39;0.06;0.14;1.00;Matches
32;Yevgeni Bashkirov\Yevgeni-Bashkirov;ru RUS;MF;Rubin Kazan;28;1991;7.3;1;0;0;7;1;;14.3;0.96;0.14;0.14;1.00;Matches
33;Robert Bauer\Robert-Bauer;de GER;DFMF;Arsenal Tula;24;1995;11.5;1;0;0;8;2;;25.0;0.70;0.17;0.13;0.50;Matches
34;Yuri Bavin\Yuri-Bavin;ru RUS;MF;Ural;25;1994;5.9;3;0;0;13;6;;46.2;2.20;1.02;0.23;0.50;Matches
35;Khoren Bayramyan\Khoren-Bayramyan;ru RUS;MFFW;Rostov;27;1992;14.7;4;0;0;22;10;;45.5;1.50;0.68;0.18;0.40;Matches
36;Aleksandr Belenov\Aleksandr-Belenov;ru RUS;GK;Ufa;32;1986;18.0;0;0;0;0;0;;;0.00;0.00;;;Matches
37;Maksim Belyayev\Maksim-Belyayev;ru RUS;DF;Arsenal Tula;27;1991;20.0;0;0;0;4;0;;0.0;0.20;0.00;0.00;;Matches
38;Marcus Berg\Marcus-Berg;se SWE;FW;Krasnodar;32;1986;7.8;5;0;0;26;12;;46.2;3.34;1.54;0.19;0.42;Matches
39;Bernard Berisha\Bernard-Berisha;xk KVX;MFFW;Akhmat Grozny;27;1991;12.2;2;0;1;25;8;;32.0;2.05;0.66;0.08;0.25;Matches
40;Kantemir Berkhamov\Kantemir-Berkhamov;ru RUS;FW;Arsenal Tula;30;1988;0.7;1;0;0;1;1;;100.0;1.41;1.41;1.00;1.00;Matches
