Squad;# Pl;MP;Starts;Min;Gls;Ast;PK;PKatt;CrdY;CrdR;GlsPerM;AstPerM;G+A;G-PK;G+A-PK
Akhmat Grozny;26;20;220;1800;14;6;4;5;53;4;0.70;0.30;1.00;0.50;0.80
Arsenal Tula;24;20;220;1800;25;21;1;1;44;0;1.25;1.05;2.30;1.20;2.25
CSKA Moscow;24;20;220;1800;26;18;3;6;45;1;1.30;0.90;2.20;1.15;2.05
Dynamo Mosc;27;20;220;1800;16;10;3;4;58;5;0.80;0.50;1.30;0.65;1.15
Krasnodar;26;20;220;1800;32;20;2;5;54;4;1.60;1.00;2.60;1.50;2.50
Loko Moscow;26;20;220;1800;27;17;4;5;56;1;1.35;0.85;2.20;1.15;2.00
Orenburg;26;19;209;1710;21;14;2;3;46;3;1.11;0.74;1.84;1.00;1.74
Rostov;23;20;220;1800;34;26;1;3;47;0;1.70;1.30;3.00;1.65;2.95
Rubin Kazan;30;20;220;1800;11;10;0;0;59;2;0.55;0.50;1.05;0.55;1.05
Samara;25;20;220;1800;21;17;3;5;47;4;1.05;0.85;1.90;0.90;1.75
Sochi;28;19;209;1710;17;10;2;2;51;2;0.89;0.53;1.42;0.79;1.32
Spartak Moscow;30;20;220;1800;21;16;2;2;56;2;1.05;0.80;1.85;0.95;1.75
Tambov;28;20;220;1800;22;18;1;2;52;3;1.10;0.90;2.00;1.05;1.95
Ufa;27;20;220;1800;15;10;2;2;41;1;0.75;0.50;1.25;0.65;1.15
Ural;23;20;220;1800;24;17;1;2;40;1;1.20;0.85;2.05;1.15;2.00
Zenit;25;20;220;1800;36;28;5;6;43;1;1.80;1.40;3.20;1.55;2.95
