Squad;# Pl;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm
Akhmat Grozny;2;20;20;1800;25;1.25;88;64;.716;4;8;8;4;20.0;1;0;1;0
Arsenal Tula;3;20;20;1800;24;1.20;95;75;.779;8;4;8;5;25.0;6;3;1;2
CSKA Moscow;1;20;20;1800;19;0.95;74;58;.770;10;5;5;7;35.0;3;2;1;0
Dynamo Mosc;2;20;20;1800;23;1.15;75;56;.733;6;6;8;7;35.0;5;3;1;1
Krasnodar;2;20;20;1800;20;1.00;62;46;.710;10;8;2;6;30.0;4;2;2;0
Loko Moscow;2;20;20;1800;24;1.20;77;56;.727;10;5;5;5;25.0;3;3;0;0
Orenburg;3;19;19;1710;28;1.47;90;66;.733;5;5;9;2;10.5;4;4;0;0
Rostov;2;20;20;1800;29;1.45;84;63;.750;10;5;5;4;20.0;9;8;0;1
Rubin Kazan;1;20;20;1800;21;1.05;104;84;.808;4;8;8;8;40.0;2;1;0;1
Samara;2;20;20;1800;26;1.30;115;92;.783;5;4;11;6;30.0;3;1;2;0
Sochi;3;19;19;1710;27;1.42;99;76;.758;3;6;10;4;21.1;4;3;1;0
Spartak Moscow;2;20;20;1800;21;1.05;80;60;.738;7;4;9;7;35.0;1;0;1;0
Tambov;1;20;20;1800;26;1.30;93;69;.731;6;4;10;5;25.0;2;1;1;0
Ufa;2;20;20;1800;19;0.95;85;66;.800;6;7;7;9;45.0;2;2;0;0
Ural;2;20;20;1800;32;1.60;88;59;.659;6;7;7;5;25.0;3;2;1;0
Zenit;2;20;20;1800;9;0.45;59;51;.864;14;4;2;11;55.0;1;1;0;0
