"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
1,Oliver Abildgaard\Oliver-Abildgaard,dk DEN,MF,Rubin Kazan,23,1996,3,157,52,7.9,1.7,2,76,1,5,0,1.33,1,0,+1,+0.57,+1.12,Matches
2,Denis Adamov\Denis-Adamov,ru RUS,GK,Krasnodar,21,1998,0,,,,,0,,0,,6,,,,,,,Matches
3,Luiz Adriano\Luiz-Adriano,br BRA,FW,Spartak Moscow,32,1987,3,259,86,13.1,2.9,3,86,0,,0,1.33,2,4,-2,-0.69,-0.85,Matches
4,Guram Adzhoyev\Guram-Adzhoyev,ru RUS,FW,Arsenal Tula,24,1995,1,4,4,0.2,0.0,0,,1,4,21,3.00,0,0,0,0.00,+0.09,Matches
5,Vadim Afonin\Vadim-Afonin,uz UZB,MFDF,Orenburg,31,1987,10,537,54,27.1,6.0,5,90,5,17,6,0.90,9,11,-2,-0.34,+0.16,Matches
6,Gamid Agalarov\Gamid-Agalarov,ru RUS,FW,Ufa,19,2000,1,21,21,1.1,0.2,0,,1,21,2,0.00,0,1,-1,-4.29,-4.19,Matches
7,Ilya Agapov\Ilya-Agapov,ru RUS,DF,Rubin Kazan,18,2001,0,,,,,0,,0,,7,,,,,,,Matches
8,Roman Akbashev\Roman-Akbashev,ru RUS,MF,Rubin Kazan,27,1991,1,14,14,0.7,0.2,0,,1,14,11,0.00,0,0,0,0.00,+0.46,Matches
9,Ilzat Akhmetov\Ilzat-Akhmetov,ru RUS,MF,CSKA Moscow,21,1997,21,1375,65,69.4,15.3,17,76,4,20,0,1.67,20,11,+9,+0.59,+0.89,Matches
10,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,CSKA Moscow,33,1986,22,1980,90,100.0,22.0,22,90,0,,0,1.64,29,22,+7,+0.32,,Matches
11,Timur Akmurzin\Timur-Akmurzin,ru RUS,GK,Spartak Moscow,21,1997,0,,,,,0,,0,,1,,,,,,,Matches
12,Pavel Alikin\Pavel-Alikin,ru RUS,DF,Ufa,35,1984,6,381,64,19.2,4.2,4,90,2,11,14,1.50,5,5,0,0.00,+0.17,Matches
13,Azer Aliyev\Azer-Aliyev,ru RUS,DFMF,Ufa,25,1994,14,1150,82,58.1,12.8,13,87,1,18,8,1.21,10,11,-1,-0.08,+0.14,Matches
14,Víctor Álvarez\Victor-Alvarez,es ESP,DFMF,Arsenal Tula,26,1993,20,1725,86,87.1,19.2,20,86,0,,1,1.20,22,24,-2,-0.10,-0.10,Matches
15,Jano Ananidze\Jano-Ananidze,ge GEO,MF,Spartak Moscow,26,1992,6,325,54,16.4,3.6,4,66,2,31,12,0.67,1,4,-3,-0.83,-1.05,Matches
16,Aleksei Anatolyevich Kozlov\Aleksei-Anatolyevich-Kozlov,ru RUS,DF,Rostov,32,1986,22,1965,89,99.2,21.8,22,89,0,,0,1.73,39,34,+5,+0.23,+0.23,Matches
17,Wilker Ángel\Wilker-Angel,ve VEN,DF,Akhmat Grozny,26,1993,18,1486,83,75.1,16.5,17,87,1,1,2,1.06,15,21,-6,-0.36,+0.91,Matches
18,Paul Anton\Paul-Anton,ro ROU,MF,Samara,28,1991,13,967,74,48.8,10.7,12,79,1,24,4,1.38,13,11,+2,+0.19,+0.99,Matches
19,Aleksandr Anyukov\Aleksandr-Anyukov,ru RUS,DF,Samara,36,1982,18,1483,82,74.9,16.5,18,82,0,,0,1.11,17,21,-4,-0.24,+0.30,Matches
