Squad;# Pl;MP;Min;Mn/MP;Min%;Starts;Mn/Start;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;onxG;onxGA;xG+/-;xG+/-90
Akhmat Grozny;27;22;1980;90;100;242;85;59;19;170;0.91;16;29;-13;-0.59
Arsenal Tula;25;22;1980;90;100;242;86;48;19;211;1.27;25;27;-2;-0.09
CSKA Moscow;25;22;1980;90;100;242;84;61;21;156;1.64;29;22;+7;+0.32
Dynamo Mosc;27;22;1980;90;100;242;83;63;23;183;1.36;20;25;-5;-0.23
Krasnodar;26;22;1980;90;100;242;84;66;21;122;1.86;36;22;+14;+0.64
Loko Moscow;26;22;1980;90;100;242;86;44;21;200;1.86;32;25;+7;+0.32
Orenburg;26;22;1980;90;100;242;86;56;18;160;1.05;26;36;-10;-0.45
Rostov;25;22;1980;90;100;242;86;57;17;169;1.73;39;34;+5;+0.23
Rubin Kazan;30;22;1980;90;100;242;85;58;19;170;1.05;12;22;-10;-0.45
Samara;26;22;1980;90;100;242;85;62;18;174;1.00;22;29;-7;-0.32
Sochi;28;22;1980;90;100;242;85;64;19;137;1.09;26;28;-2;-0.09
Spartak Moscow;31;22;1980;90;100;242;85;62;20;161;1.27;24;23;+1;+0.05
Tambov;31;22;1980;90;100;242;84;66;21;139;1.14;26;27;-1;-0.05
Ufa;27;22;1980;90;100;242;85;61;19;169;1.23;16;19;-3;-0.14
Ural;27;22;1980;90;100;242;84;62;22;174;1.14;26;41;-15;-0.68
Zenit;26;22;1980;90;100;242;85;65;19;164;2.27;44;10;+34;+1.55
