Squad;# Pl;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;AttLaunched;Cmp%;AttPass;Thr;PassLaunch%;AvgLenPass;AttGks;GksLaunch%;AvgLenGks;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist
Alavés;2;27.0;37;8;3;2;0;35.9;0.41;-1.1;-0.04;290;613;47.3;556;94;68.0;47.9;259;90.7;61.3;191;17;8.9;8;0.30;13.2
Athletic Bilbao;2;27.0;23;2;1;2;2;27.6;0.35;+6.6;+0.25;254;607;41.8;675;113;63.3;47.2;198;90.9;65.6;201;16;8.0;14;0.52;14.2
Atlético Madrid;2;27.0;21;1;1;4;1;17.7;0.23;-2.3;-0.08;197;475;41.5;445;69;67.0;47.9;221;80.1;58.7;153;8;5.2;12;0.44;13.8
Barcelona;2;27.0;31;4;1;1;0;25.5;0.31;-5.5;-0.20;155;259;59.8;838;136;24.5;28.7;182;29.7;30.8;150;7;4.7;17;0.63;14.3
Betis;2;27.0;43;9;0;1;1;37.6;0.37;-4.4;-0.16;151;403;37.5;775;122;38.3;36.4;218;48.6;41.9;189;8;4.2;22;0.82;15.0
Celta Vigo;2;27.0;34;4;3;2;0;33.2;0.32;-0.8;-0.03;177;489;36.2;582;99;53.3;42.4;256;69.9;53.9;206;12;5.8;8;0.30;14.1
Eibar;2;27.0;41;3;1;3;1;35.9;0.42;-4.1;-0.15;212;644;32.9;644;78;72.0;57.1;188;95.7;75.3;139;13;9.4;41;1.52;17.9
Espanyol;2;26.9;46;5;0;4;1;35.5;0.31;-9.5;-0.35;176;551;31.9;641;86;59.0;45.7;230;75.2;53.8;176;17;9.7;23;0.85;14.8
Getafe;1;27.0;25;1;0;2;0;27.8;0.36;+2.8;+0.11;251;691;36.3;609;29;86.4;58.4;174;94.8;63.7;143;12;8.4;37;1.37;17.5
Granada;2;27.0;32;3;1;2;0;32.2;0.30;+0.2;+0.01;260;704;36.9;760;78;68.8;50.3;228;79.4;59.0;150;15;10.0;29;1.07;15.6
Leganés;2;27.0;39;5;1;6;1;35.6;0.37;-2.4;-0.09;190;551;34.5;590;122;62.7;49.4;209;86.6;65.1;179;18;10.1;28;1.04;17.8
Levante;1;27.0;40;3;1;7;1;51.4;0.33;+12.4;+0.46;161;443;36.3;592;144;52.0;42.4;254;53.1;44.6;193;15;7.8;22;0.81;14.3
Mallorca;2;27.0;44;11;0;5;1;43.5;0.36;+0.5;+0.02;204;533;38.3;671;145;56.8;43.4;237;64.1;52.4;223;21;9.4;19;0.70;13.9
Osasuna;3;27.0;38;5;2;3;0;34.0;0.36;-4.0;-0.15;239;617;38.7;621;115;69.7;50.4;215;85.6;61.3;174;15;8.6;20;0.74;15.3
Real Madrid;2;27.0;19;2;0;4;0;20.9;0.32;+1.9;+0.07;68;238;28.6;636;157;26.6;33.1;165;41.8;41.3;189;14;7.4;20;0.74;14.7
Real Sociedad;2;27.0;33;3;2;2;1;31.9;0.31;-0.1;0.00;205;444;46.2;835;98;36.8;35.7;189;72.5;52.2;153;15;9.8;21;0.78;16.6
Sevilla;2;27.0;29;3;3;2;0;24.4;0.31;-4.6;-0.17;149;365;40.8;570;124;41.2;37.8;202;64.4;50.1;169;13;7.7;12;0.44;13.9
Valencia;2;27.0;39;4;2;5;0;39.3;0.31;+0.3;+0.01;166;449;37.0;593;124;47.7;38.5;230;72.2;55.0;230;14;6.1;13;0.48;13.1
Valladolid;1;27.0;33;4;2;3;0;36.0;0.36;+3.0;+0.11;203;588;34.5;546;98;65.4;47.2;283;81.6;58.8;199;10;5.0;4;0.15;11.3
Villarreal;2;27.0;38;7;0;7;1;33.7;0.30;-3.3;-0.12;133;350;38.0;595;113;38.2;36.3;232;53.0;43.9;204;10;4.9;12;0.44;14.0
