id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
1;Antonio Adán\Antonio-Adan;es ESP;GK;Atlético Madrid;32;1987;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
2;Aritz Aduriz\Aritz-Aduriz;es ESP;FW;Athletic Bilbao;38;1981;2.1;3;0;0;7;1;0;0;1;0;0;0;0;1;1;100.0;1;0;1;1;100.0;0;Matches
3;Lumor Agbenyenu\Lumor-Agbenyenu;gh GHA;DF;Mallorca;22;1996;16.9;5;1;1;13;9;0;64;20;21;0;0;0;20;36;55.6;24;0;30;45;66.7;15;Matches
4;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;23;1996;17.0;3;0;0;27;15;1;24;18;11;0;1;0;10;18;55.6;12;3;36;56;64.3;20;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;23;1995;19.9;4;0;0;12;14;0;0;16;35;0;2;0;9;12;75.0;9;0;24;38;63.2;14;Matches
6;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;30;1989;14.3;4;0;0;8;11;4;38;8;20;0;0;1;7;14;50.0;8;1;16;25;64.0;9;Matches
7;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;33;1985;25.0;8;0;0;22;16;1;3;28;29;0;2;0;3;3;100.0;3;0;40;44;90.9;4;Matches
8;Paco Alcácer\Paco-Alcacer;es ESP;FW;Villarreal;25;1993;4.5;0;0;0;1;7;5;0;1;1;1;0;0;1;3;33.3;1;0;3;5;60.0;2;Matches
9;Rubén Alcaraz\Ruben-Alcaraz;es ESP;MF;Valladolid;28;1991;13.0;7;0;0;24;38;0;23;26;10;0;1;0;16;21;76.2;16;1;39;61;63.9;22;Matches
10;Álex Alegría\Alex-Alegria;es ESP;FW;Mallorca;26;1992;1.1;0;0;0;5;4;1;1;0;0;0;0;0;1;2;50.0;1;0;1;1;100.0;0;Matches
11;Carles Aleñá\Carles-Alena;es ESP;MFFW;Betis;21;1998;4.9;1;0;0;6;14;2;1;9;1;0;0;0;10;14;71.4;10;0;17;23;73.9;6;Matches
12;Carles Aleñá\Carles-Alena;es ESP;MF;Barcelona;21;1998;1.9;0;0;0;3;2;0;4;1;0;0;0;0;2;3;66.7;2;0;2;6;33.3;4;Matches
13;Sergio Álvarez\Sergio-Alvarez;es ESP;GK;Celta Vigo;32;1986;2.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
14;Sergio Álvarez\Sergio-Alvarez;es ESP;MFDF;Eibar;27;1992;7.1;4;0;0;10;6;0;2;9;9;0;1;0;4;4;100.0;4;0;16;27;59.3;11;Matches
15;Yeray Álvarez\Yeray-Alvarez;es ESP;DF;Athletic Bilbao;24;1995;24.0;2;0;0;15;24;1;10;19;48;0;1;0;9;11;81.8;9;1;30;44;68.2;14;Matches
16;Amath\Amath;sn SEN;MF;Getafe;23;1996;0.5;0;0;0;2;2;0;0;0;0;0;0;0;4;5;80.0;4;0;0;3;0.0;3;Matches
