Squad;# Pl;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past
Alavés;27;86;3;2;432;297;43;410;266;303;5;11;0;180;322;55.9;204;8;443;717;61.8;274
Athletic Bilbao;26;67;1;0;372;332;69;562;253;270;5;3;2;232;390;59.5;249;16;410;709;57.8;299
Atlético Madrid;30;67;2;2;376;356;82;455;301;317;2;2;1;248;418;59.3;262;12;461;750;61.5;289
Barcelona;28;68;5;3;302;367;66;285;277;249;1;5;1;348;562;61.9;370;20;406;597;68.0;191
Betis;27;76;7;1;330;408;61;411;231;245;4;9;1;301;473;63.6;327;21;375;616;60.9;241
Celta Vigo;27;75;5;2;326;382;52;479;260;278;3;4;0;279;443;63.0;293;11;423;696;60.8;273
Eibar;24;73;3;2;389;304;58;609;262;318;4;4;1;184;317;58.0;203;15;438;721;60.7;283
Espanyol;30;78;6;5;426;329;43;511;290;247;1;4;1;197;340;57.9;216;14;468;812;57.6;344
Getafe;29;97;3;2;514;349;80;584;281;258;3;2;0;195;331;58.9;210;8;453;704;64.3;251
Granada;25;79;1;1;421;352;54;501;263;275;2;3;0;204;355;57.5;226;18;441;681;64.8;240
Leganés;28;90;3;2;417;355;53;553;280;299;2;5;1;230;399;57.6;262;13;472;740;63.8;268
Levante;24;63;3;3;323;341;61;504;221;225;4;5;1;255;441;57.8;281;16;384;646;59.4;262
Mallorca;29;65;3;3;370;376;49;461;288;270;6;12;2;237;422;56.2;258;12;443;709;62.5;266
Osasuna;29;82;5;3;393;310;61;543;274;287;2;5;0;237;386;61.4;253;11;446;694;64.3;248
Real Madrid;25;60;4;3;348;322;58;623;307;289;6;2;0;314;539;58.3;341;12;466;750;62.1;284
Real Sociedad;23;52;1;1;369;325;54;501;250;223;2;5;1;247;406;60.8;259;10;410;681;60.2;271
Sevilla;26;75;1;1;386;334;69;666;297;241;3;4;0;309;481;64.2;335;12;453;738;61.4;285
Valencia;27;62;5;2;306;400;65;466;255;273;5;6;0;259;410;63.2;273;8;385;647;59.5;262
Valladolid;24;59;0;0;332;374;58;458;290;285;3;4;0;233;420;55.5;248;15;448;762;58.8;314
Villarreal;22;61;0;0;341;298;52;497;279;236;7;8;1;307;486;63.2;331;14;437;693;63.1;256
