"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
1;Antonio Adán\Antonio-Adan;es ESP;GK;Atlético Madrid;32;1987;0.3;0;0.0;0.0;0;4;6;66.7;0;0;;2;2;100.0;2;4;50.0;2;2;0;0;0;0;0;0;0;Matches
2;Aritz Aduriz\Aritz-Aduriz;es ESP;FW;Athletic Bilbao;38;1981;2.1;0;0.0;0.0;0;32;56;57.1;0;1;0.0;31;47;66.0;1;8;12.5;3;25;0;0;0;0;3;0;0;Matches
3;Lumor Agbenyenu\Lumor-Agbenyenu;gh GHA;DF;Mallorca;22;1996;16.9;0;1.1;-1.1;12;602;819;73.5;10;44;22.7;503;612;82.2;89;163;54.6;541;52;9;1;0;186;42;19;11;Matches
4;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;23;1996;17.0;1;0.5;+0.5;8;536;744;72.0;8;36;22.2;450;541;83.2;78;167;46.7;32;492;5;1;1;168;25;5;1;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;23;1995;19.9;1;0.9;+0.1;1;782;879;89.0;4;15;26.7;491;532;92.3;287;332;86.4;167;653;21;1;0;6;37;0;0;Matches
6;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;30;1989;14.3;1;2.1;-1.1;16;1084;1249;86.8;24;56;42.9;936;1024;91.4;124;169;73.4;924;184;17;1;1;108;82;17;8;Matches
7;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;33;1985;25.0;0;0.3;-0.3;4;1093;1272;85.9;4;11;36.4;531;583;91.1;558;678;82.3;140;1033;35;1;0;1;70;5;1;Matches
8;Paco Alcácer\Paco-Alcacer;es ESP;FW;Villarreal;25;1993;4.5;1;0.6;+0.4;2;78;104;75.0;3;7;42.9;69;84;82.1;6;13;46.2;23;69;0;1;1;1;1;1;0;Matches
9;Rubén Alcaraz\Ruben-Alcaraz;es ESP;MF;Valladolid;28;1991;13.0;1;0.4;+0.6;8;569;718;79.2;9;26;34.6;382;427;89.5;178;265;67.2;87;582;70;2;13;4;66;3;0;Matches
10;Álex Alegría\Alex-Alegria;es ESP;FW;Mallorca;26;1992;1.1;0;0.0;0.0;0;23;35;65.7;2;3;66.7;18;28;64.3;3;4;75.0;2;18;0;0;0;0;1;0;0;Matches
11;Carles Aleñá\Carles-Alena;es ESP;MFFW;Betis;21;1998;4.9;0;0.1;-0.1;2;175;207;84.5;5;12;41.7;118;135;87.4;52;60;86.7;174;24;2;0;0;0;23;2;0;Matches
12;Carles Aleñá\Carles-Alena;es ESP;MF;Barcelona;21;1998;1.9;0;0.0;0.0;0;143;156;91.7;3;6;50.0;106;109;97.2;34;41;82.9;141;14;1;1;4;0;18;1;0;Matches
13;Sergio Álvarez\Sergio-Alvarez;es ESP;GK;Celta Vigo;32;1986;2.0;0;0.0;0.0;0;39;53;73.6;0;0;;22;22;100.0;17;31;54.8;4;41;3;0;0;0;0;0;0;Matches
14;Sergio Álvarez\Sergio-Alvarez;es ESP;MFDF;Eibar;27;1992;7.1;0;0.2;-0.2;4;178;235;75.7;0;5;0.0;127;151;84.1;51;79;64.6;28;185;5;0;0;1;28;1;1;Matches
15;Yeray Álvarez\Yeray-Alvarez;es ESP;DF;Athletic Bilbao;24;1995;24.0;0;0.5;-0.5;3;883;1078;81.9;8;16;50.0;565;624;90.5;310;438;70.8;69;894;47;1;0;10;63;7;3;Matches
16;Amath\Amath;sn SEN;MF;Getafe;23;1996;0.5;0;0.0;0.0;0;9;11;81.8;0;1;0.0;8;9;88.9;1;1;100.0;2;7;0;0;1;0;1;0;0;Matches
17;Miguel Ángel Guerrero\Miguel-Angel-Guerrero;es ESP;FW;Leganés;29;1990;1.5;0;0.1;-0.1;2;24;34;70.6;1;2;50.0;23;30;76.7;0;2;0.0;2;21;0;0;0;0;1;0;0;Matches
18;Miguel Ángel Moyá\Miguel-Angel-Moya;es ESP;GK;Real Sociedad;35;1984;7.0;0;0.0;0.0;0;216;274;78.8;1;1;100.0;112;112;100.0;103;161;64.0;24;195;19;0;0;0;1;0;0;Matches
19;José Ángel\Jose-Angel;es ESP;DF;Eibar;29;1989;18.4;1;2.2;-1.2;22;673;1000;67.3;11;38;28.9;450;541;83.2;212;421;50.4;671;81;47;2;1;194;77;30;19;Matches
20;Antoñito\Antonito;es ESP;DFMF;Valladolid;31;1987;5.8;0;0.8;-0.8;5;153;217;70.5;2;9;22.2;124;148;83.8;27;60;45.0;14;156;3;1;0;38;15;3;0;Matches
21;Vitorino Antunes\Vitorino-Antunes;pt POR;MF;Getafe;32;1987;0.1;0;0.0;0.0;0;0;1;0.0;0;0;;0;0;;0;1;0.0;1;0;0;0;0;0;0;0;0;Matches
22;Anuar\Anuar;ma MAR;MFFW;Valladolid;24;1995;2.0;0;0.0;0.0;0;86;101;85.1;2;3;66.7;67;77;87.0;17;21;81.0;7;82;1;0;1;0;6;1;0;Matches
23;Mauro Arambarri\Mauro-Arambarri;uy URU;MF;Getafe;23;1995;23.4;1;1.1;-0.1;5;433;639;67.8;18;38;47.4;287;398;72.1;128;203;63.1;72;452;16;1;4;1;64;11;0;Matches
24;Néstor Araujo\Nestor-Araujo;mx MEX;DF;Celta Vigo;27;1991;23.2;1;0.0;+1.0;0;956;1094;87.4;7;17;41.2;625;681;91.8;324;396;81.8;210;781;52;0;0;2;29;0;0;Matches
25;Ronald Araújo\Ronald-Araujo;uy URU;DF;Barcelona;20;1999;0.1;0;0.0;0.0;0;1;1;100.0;0;0;;0;0;;1;1;100.0;0;1;0;0;0;0;0;0;0;Matches
26;Anaitz Arbilla\Anaitz-Arbilla;es ESP;DF;Eibar;32;1987;17.2;0;0.1;-0.1;2;633;824;76.8;6;23;26.1;351;404;86.9;276;397;69.5;216;469;32;0;0;51;77;7;3;Matches
27;Alphonse Areola\Alphonse-Areola;fr FRA;GK;Real Madrid;26;1993;3.0;0;0.0;0.0;0;80;96;83.3;1;1;100.0;46;46;100.0;33;49;67.3;8;70;8;0;0;0;0;0;0;Matches
28;Santiago Arias\Santiago-Arias;co COL;DF;Atlético Madrid;27;1992;6.1;1;0.5;+0.5;7;232;298;77.9;5;12;41.7;201;228;88.2;26;58;44.8;16;218;0;0;0;45;8;4;1;Matches
29;José Arnaiz\Jose-Arnaiz;es ESP;MFFW;Leganés;24;1995;3.6;0;0.6;-0.6;7;73;97;75.3;4;8;50.0;56;68;82.4;13;21;61.9;16;77;1;1;3;1;2;4;3;Matches
30;José Arnaiz\Jose-Arnaiz;es ESP;FWMF;Osasuna;24;1995;1.9;0;0.1;-0.1;2;36;41;87.8;3;5;60.0;30;32;93.8;3;4;75.0;6;31;0;0;0;0;2;0;0;Matches
31;Sergio Asenjo\Sergio-Asenjo;es ESP;GK;Villarreal;30;1989;23.0;0;0.0;0.0;0;502;697;72.0;1;1;100.0;253;255;99.2;248;441;56.2;76;498;65;1;0;0;6;0;0;Matches
32;Iago Aspas\Iago-Aspas;es ESP;FW;Celta Vigo;31;1987;25.9;2;2.8;-0.8;36;737;929;79.3;38;78;48.7;590;708;83.3;109;143;76.2;628;234;4;3;3;13;50;30;2;Matches
33;Roger Assalé\Roger-Assale;ci CIV;FWDF;Leganés;25;1993;0.8;0;0.0;0.0;0;16;20;80.0;0;0;;15;17;88.2;1;3;33.3;2;17;0;1;0;0;1;2;0;Matches
34;Miguel Atienza\Miguel-Atienza;es ESP;MF;Eibar;;;0.3;0;0.0;0.0;0;8;11;72.7;0;1;0.0;6;6;100.0;2;4;50.0;0;11;0;0;0;0;0;0;0;Matches
35;Ezequiel Ávila\Ezequiel-Avila;ar ARG;FW;Osasuna;25;1994;17.7;2;2.7;-0.7;21;185;323;57.3;3;21;14.3;138;222;62.2;44;80;55.0;57;176;0;2;0;2;22;12;3;Matches
36;Javier Avilés\Javier-Aviles;es ESP;MF;Leganés;21;1997;0.1;0;0.0;0.0;0;4;9;44.4;0;2;0.0;4;7;57.1;0;0;;0;8;0;0;0;0;1;0;0;Matches
37;Chidozie Awaziem\Chidozie-Awaziem;ng NGA;DF;Leganés;22;1997;15.7;0;0.1;-0.1;3;421;547;77.0;13;25;52.0;273;304;89.8;135;218;61.9;68;395;31;0;0;41;37;5;2;Matches
