"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
1;Antonio Adán\Antonio-Adan;es ESP;GK;Atlético Madrid;32;1987;0.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
2;Aritz Aduriz\Aritz-Aduriz;es ESP;FW;Athletic Bilbao;38;1981;2.1;1;0;1;6;3;0;50.0;2.80;1.40;0.17;0.33;1.3;0.6;0.09;-0.3;+0.4;Matches
3;Lumor Agbenyenu\Lumor-Agbenyenu;gh GHA;DF;Mallorca;22;1996;16.9;0;0;0;11;1;0;9.1;0.65;0.06;0.00;0.00;0.2;0.2;0.02;-0.2;-0.2;Matches
4;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;23;1996;17.0;0;0;0;2;0;0;0.0;0.12;0.00;0.00;;0.0;0.0;0.01;0.0;0.0;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;23;1995;19.9;0;0;0;10;1;0;10.0;0.50;0.05;0.00;0.00;0.9;0.9;0.09;-0.9;-0.9;Matches
6;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;30;1989;14.3;1;0;0;4;1;0;25.0;0.28;0.07;0.25;1.00;0.5;0.5;0.13;+0.5;+0.5;Matches
7;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;33;1985;25.0;1;0;0;11;3;0;27.3;0.44;0.12;0.09;0.33;1.2;1.2;0.11;-0.2;-0.2;Matches
8;Paco Alcácer\Paco-Alcacer;es ESP;FW;Villarreal;25;1993;4.5;2;0;0;10;3;0;30.0;2.22;0.67;0.20;0.67;1.6;1.6;0.16;+0.4;+0.4;Matches
9;Rubén Alcaraz\Ruben-Alcaraz;es ESP;MF;Valladolid;28;1991;13.0;1;0;0;20;5;6;25.0;1.54;0.38;0.05;0.20;0.8;0.8;0.04;+0.2;+0.2;Matches
10;Álex Alegría\Alex-Alegria;es ESP;FW;Mallorca;26;1992;1.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
11;Carles Aleñá\Carles-Alena;es ESP;MFFW;Betis;21;1998;4.9;0;0;0;7;2;0;28.6;1.44;0.41;0.00;0.00;0.7;0.7;0.10;-0.7;-0.7;Matches
12;Carles Aleñá\Carles-Alena;es ESP;MF;Barcelona;21;1998;1.9;0;0;0;1;1;0;100.0;0.53;0.53;0.00;0.00;0.0;0.0;0.04;0.0;0.0;Matches
13;Sergio Álvarez\Sergio-Alvarez;es ESP;GK;Celta Vigo;32;1986;2.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
14;Sergio Álvarez\Sergio-Alvarez;es ESP;MFDF;Eibar;27;1992;7.1;0;0;0;2;0;0;0.0;0.28;0.00;0.00;;0.2;0.2;0.09;-0.2;-0.2;Matches
15;Yeray Álvarez\Yeray-Alvarez;es ESP;DF;Athletic Bilbao;24;1995;24.0;0;0;0;10;1;0;10.0;0.42;0.04;0.00;0.00;1.1;1.1;0.11;-1.1;-1.1;Matches
16;Amath\Amath;sn SEN;MF;Getafe;23;1996;0.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
17;Miguel Ángel Guerrero\Miguel-Angel-Guerrero;es ESP;FW;Leganés;29;1990;1.5;0;0;0;2;1;0;50.0;1.34;0.67;0.00;0.00;0.1;0.1;0.06;-0.1;-0.1;Matches
18;Miguel Ángel Moyá\Miguel-Angel-Moya;es ESP;GK;Real Sociedad;35;1984;7.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
19;José Ángel\Jose-Angel;es ESP;DF;Eibar;29;1989;18.4;1;0;0;15;4;4;26.7;0.82;0.22;0.07;0.25;0.4;0.4;0.02;+0.6;+0.6;Matches
20;Antoñito\Antonito;es ESP;DFMF;Valladolid;31;1987;5.8;0;0;0;1;0;0;0.0;0.17;0.00;0.00;;0.1;0.1;0.09;-0.1;-0.1;Matches
