Squad;# Pl;Gls;PK;PKatt;Sh;SoT;FK;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;xG;npxG;npxG/Sh;G-xG;np:G-xG
Alavés,27,29,5,5,222,74,7,33.3,8.22,2.74,0.11,0.32,29.3,25.5,0.12,-0.3,-1.5
Athletic Bilbao,26,28,6,8,292,95,12,32.5,10.81,3.52,0.08,0.23,28.9,22.9,0.08,-0.9,-0.9
Atlético Madrid,30,31,2,4,320,98,8,30.6,11.85,3.63,0.09,0.30,36.6,33.6,0.11,-5.6,-4.6
Barcelona,28,63,4,4,342,158,25,46.2,12.67,5.85,0.17,0.37,47.2,44.3,0.13,+15.8,+14.7
Betis,27,38,5,6,320,103,13,32.2,11.85,3.81,0.10,0.32,34.6,30.1,0.10,+3.4,+2.9
Celta Vigo,27,22,2,4,257,89,15,34.6,9.52,3.30,0.08,0.22,26.3,23.2,0.09,-4.3,-3.2
Eibar,24,27,4,6,296,91,14,30.7,10.96,3.37,0.08,0.25,28.3,23.9,0.08,-1.3,-0.9
Espanyol,30,21,4,4,289,84,6,29.1,10.70,3.11,0.06,0.20,25.2,22.3,0.08,-4.2,-5.3
Getafe,29,36,5,5,275,89,17,32.4,10.19,3.30,0.11,0.35,28.4,24.6,0.09,+7.6,+6.4
Granada,25,32,4,4,273,74,20,27.1,10.11,2.74,0.10,0.38,28.6,25.5,0.10,+3.4,+2.5
Leganés,28,21,1,2,298,110,19,36.9,11.04,4.07,0.07,0.18,25.3,23.8,0.08,-4.3,-3.8
Levante,24,32,4,4,300,96,15,32.0,11.11,3.56,0.09,0.29,30.0,27.0,0.09,+2.0,+1.0
Mallorca,29,27,6,8,273,76,11,27.8,10.11,2.81,0.08,0.28,29.1,23.1,0.09,-2.1,-2.1
Osasuna,29,34,7,7,346,104,20,30.1,12.81,3.85,0.08,0.26,35.0,29.7,0.09,-1.0,-2.7
Real Madrid,25,49,6,6,427,157,14,36.8,15.81,5.81,0.10,0.27,46.9,42.4,0.10,+2.1,+0.6
Real Sociedad,23,43,4,5,300,100,6,33.3,11.11,3.70,0.13,0.39,36.8,33.1,0.11,+6.2,+5.9
Sevilla,26,38,4,4,344,115,11,33.4,12.74,4.26,0.10,0.30,36.4,33.5,0.10,+1.6,+0.5
Valencia,27,36,5,7,237,86,14,36.3,8.78,3.19,0.13,0.36,30.6,25.4,0.11,+5.4,+5.6
Valladolid,24,22,2,3,262,82,22,31.3,9.70,3.04,0.08,0.24,24.8,22.7,0.09,-2.8,-2.7
Villarreal,22,43,7,8,364,118,9,32.4,13.48,4.37,0.10,0.31,42.8,36.7,0.10,+0.2,-0.7
