"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
1;Antonio Adán\Antonio-Adan;es ESP;GK;Atletico Madrid;32;1987;1;0;24;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
2;Aritz Aduriz\Aritz-Aduriz;es ESP;FW;Athletic Bilbao;38;1981;13;0;193;1;0;0;1;3;0;0.47;0.00;0.47;0.47;0.47;1.3;0.6;0.0;0.62;0.00;0.62;0.26;0.26;Matches
3;Lumor Agbenyenu\Lumor-Agbenyenu;gh GHA;DF;Mallorca;22;1996;19;16;1517;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;0.2;0.2;1.1;0.01;0.06;0.08;0.01;0.08;Matches
4;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;23;1996;22;17;1526;0;1;0;0;3;0;0.00;0.06;0.06;0.00;0.06;0.0;0.0;0.5;0.00;0.03;0.03;0.00;0.03;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;23;1995;22;20;1788;0;1;0;0;4;0;0.00;0.05;0.05;0.00;0.05;0.9;0.9;0.9;0.04;0.05;0.09;0.04;0.09;Matches
6;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;30;1989;16;15;1287;1;1;0;0;4;0;0.07;0.07;0.14;0.07;0.14;0.5;0.5;2.1;0.04;0.14;0.18;0.04;0.18;Matches
7;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;33;1985;25;25;2248;1;0;0;0;8;0;0.04;0.00;0.04;0.04;0.04;1.2;1.2;0.3;0.05;0.01;0.06;0.05;0.06;Matches
8;Paco Alcácer\Paco-Alcacer;es ESP;FW;Villarreal;25;1993;5;5;406;2;1;0;0;0;0;0.44;0.22;0.67;0.44;0.67;1.6;1.6;0.6;0.35;0.12;0.47;0.35;0.47;Matches
9;Rubén Alcaraz\Ruben-Alcaraz;es ESP;MF;Valladolid;28;1991;16;12;1170;1;1;0;0;7;0;0.08;0.08;0.15;0.08;0.15;0.8;0.8;0.4;0.06;0.03;0.09;0.06;0.09;Matches
10;Álex Alegría\Alex-Alegria;es ESP;FW;Mallorca;26;1992;6;0;103;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
11;Carles Aleñá\Carles-Alena;es ESP;MFFW;Betis;21;1998;8;4;438;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.1;0.14;0.02;0.16;0.14;0.16;Matches
12;Carles Aleñá\Carles-Alena;es ESP;MF;Barcelona;21;1998;4;2;170;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.02;0.00;0.02;0.02;0.02;Matches
