Squad;# Pl;MP;Starts;Min;Gls;Ast;PK;PKatt;CrdY;CrdR;Gls_per_match;Ast_per_match;G_A_per_match;G_PK_per_match;G_A_PK_per_match;xG;npxG;xA;xG_per_match;xA_per_match;xG_xA;npxG_per_match;npxG_xA
Alavés;27;27;297;2430;29;17;5;5;86;3;1.07;0.63;1.70;0.89;1.52;29.5;25.7;17.8;1.09;0.66;1.75;0.95;1.61
Athletic Bilbao;26;26;286;2340;24;15;6;8;65;1;0.92;0.58;1.50;0.69;1.27;28.4;22.3;17.1;1.09;0.66;1.75;0.86;1.51
Atletico Madrid;30;26;286;2340;29;22;1;3;65;2;1.12;0.85;1.96;1.08;1.92;33.9;31.6;24.3;1.30;0.93;2.24;1.22;2.15
Barcelona;28;26;286;2340;62;46;3;3;64;5;2.38;1.77;4.15;2.27;4.04;45.2;43.0;33.6;1.74;1.29;3.03;1.66;2.95
Betis;27;26;286;2340;36;26;5;6;75;7;1.38;1.00;2.38;1.19;2.19;33.2;28.7;22.3;1.28;0.86;2.14;1.10;1.96
Celta Vigo;27;26;286;2340;22;18;2;4;70;5;0.85;0.69;1.54;0.77;1.46;25.6;22.6;16.9;0.99;0.65;1.64;0.87;1.52
Eibar;24;25;275;2250;25;17;3;4;64;3;1.00;0.68;1.68;0.88;1.56;25.2;22.3;16.2;1.01;0.65;1.65;0.89;1.54
Espanyol;30;26;286;2340;21;13;4;4;75;5;0.81;0.50;1.31;0.65;1.15;24.7;21.8;16.1;0.95;0.62;1.57;0.84;1.45
Getafe;28;26;286;2340;36;26;5;5;91;2;1.38;1.00;2.38;1.19;2.19;27.4;23.6;19.0;1.05;0.73;1.78;0.91;1.64
Granada;25;26;286;2340;31;22;4;4;76;1;1.19;0.85;2.04;1.04;1.88;27.3;24.3;15.1;1.05;0.58;1.63;0.93;1.52
Leganés;27;26;286;2340;19;12;0;1;87;3;0.73;0.46;1.19;0.73;1.19;23.8;23.0;15.5;0.92;0.59;1.51;0.88;1.48
Levante;24;26;286;2340;31;19;4;4;60;3;1.19;0.73;1.92;1.04;1.77;29.1;26.1;19.6;1.12;0.75;1.87;1.00;1.76
Mallorca;28;26;286;2340;25;15;6;8;62;3;0.96;0.58;1.54;0.73;1.31;28.2;22.2;15.7;1.08;0.60;1.69;0.85;1.46
Osasuna;28;26;286;2340;33;17;6;6;79;5;1.27;0.65;1.92;1.04;1.69;33.0;28.4;20.0;1.27;0.77;2.04;1.09;1.86
Real Madrid;25;26;286;2340;48;39;5;5;59;4;1.85;1.50;3.35;1.65;3.15;45.4;41.6;32.4;1.75;1.25;2.99;1.60;2.85
Real Sociedad;23;25;275;2250;41;28;3;4;47;1;1.64;1.12;2.76;1.52;2.64;34.7;31.7;24.2;1.39;0.97;2.36;1.27;2.24
Sevilla;26;26;286;2340;36;26;3;3;71;1;1.38;1.00;2.38;1.27;2.27;34.8;32.6;24.7;1.34;0.95;2.29;1.25;2.20
Valencia;27;27;297;2430;36;26;5;7;62;5;1.33;0.96;2.30;1.15;2.11;30.7;25.4;21.6;1.14;0.80;1.94;0.94;1.74
Valladolid;24;26;286;2340;21;14;2;3;58;0;0.81;0.54;1.35;0.73;1.27;22.7;20.5;16.0;0.87;0.61;1.49;0.79;1.40
Villarreal;22;26;286;2340;42;27;7;8;57;0;1.62;1.04;2.65;1.35;2.38;41.2;35.2;28.1;1.59;1.08;2.67;1.35;2.43
