Squad;# Pl;MP;Min;Mn/MP;Min%;Starts;Mn/Start;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;onxG;onxGA;xG+/-;xG+/-90
Alavés;27;27;2430;90;100;297;85;81;19;108;1.19;29;37;-8;-0.30;29.3;36.5;-7.2;-0.27
Athletic Bilbao;26;27;2430;90;100;297;85;78;19;111;1.37;29;23;+6;+0.22;28.9;29.3;-0.4;-0.01
Atlético Madrid;30;27;2430;90;100;297;84;79;22;110;1.67;31;21;+10;+0.37;36.6;21.7;+14.9;+0.55
Barcelona;28;27;2430;90;100;297;84;78;22;111;2.15;63;31;+32;+1.19;47.2;25.1;+22.1;+0.82
Betis;27;27;2430;90;100;297;84;83;18;106;1.22;38;43;-5;-0.19;34.6;36.7;-2.1;-0.08
Celta Vigo;27;27;2430;90;100;297;84;83;17;106;0.96;22;34;-12;-0.44;26.3;31.6;-5.3;-0.20
Eibar;24;27;2430;90;100;297;85;81;19;108;1.00;27;41;-14;-0.52;28.3;39.7;-11.4;-0.42
Espanyol;30;27;2430;90;100;297;84;81;19;108;0.74;23;46;-23;-0.85;25.2;32.8;-7.5;-0.28
Getafe;29;27;2430;90;100;297;84;81;21;108;1.70;37;25;+12;+0.44;28.4;26.3;+2.1;+0.08
Granada;25;27;2430;90;100;297;83;82;24;107;1.41;33;32;+1;+0.04;28.6;29.0;-0.4;-0.01
Leganés;28;27;2430;90;100;297;84;80;22;109;0.85;21;39;-18;-0.67;25.3;30.8;-5.4;-0.20
Levante;24;27;2430;90;100;297;85;80;18;109;1.22;32;40;-8;-0.30;30.0;47.3;-17.3;-0.64
Mallorca;29;27;2430;90;100;297;84;82;22;107;0.93;28;44;-16;-0.59;29.1;42.1;-12.9;-0.48
Osasuna;29;27;2430;90;100;297;85;80;18;109;1.26;34;38;-4;-0.15;35.0;34.7;+0.3;+0.01
Real Madrid;25;27;2430;90;100;297;86;76;16;113;2.07;49;19;+30;+1.11;46.9;21.7;+25.2;+0.93
Real Sociedad;23;27;2430;90;100;297;84;79;20;110;1.70;45;33;+12;+0.44;36.8;29.9;+7.0;+0.26
Sevilla;26;27;2430;90;100;297;84;81;23;108;1.74;39;29;+10;+0.37;36.4;26.2;+10.2;+0.38
Valencia;27;27;2430;90;100;297;84;80;20;109;1.56;38;39;-1;-0.04;30.6;40.2;-9.5;-0.35
Valladolid;24;27;2430;90;100;297;85;78;20;111;1.07;23;33;-10;-0.37;24.8;35.4;-10.6;-0.39
Villarreal;22;27;2430;90;100;297;85;81;18;108;1.41;44;38;+6;+0.22;42.8;34.5;+8.3;+0.31
