,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,21,1804,86,71.6,20.0,21,86,0,,0,1.43,16,24,-8,-0.40,-0.52,21.5,25.7,-4.2,-0.21,+0.47,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,26,2340,90,92.9,26.0,26,90,0,,0,0.69,22,47,-25,-0.96,-0.46,30.0,41.9,-11.9,-0.46,+0.22,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,25,1945,78,77.2,21.6,23,82,2,24,0,1.76,39,27,+12,+0.56,+1.18,37.9,20.9,+17.0,+0.79,+0.21,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,21,712,34,28.3,7.9,8,74,13,9,5,1.24,8,11,-3,-0.38,+0.27,9.4,9.4,0.0,0.00,-0.07,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,10,783,78,31.1,8.7,8,90,2,32,18,3.00,22,9,+13,+1.49,-0.11,16.7,8.6,+8.0,+0.92,-0.07,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,21,1342,64,55.2,14.9,16,79,5,16,2,2.10,40,17,+23,+1.54,+0.22,37.3,14.7,+22.6,+1.52,+0.08,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,8,127,16,5.0,1.4,0,,8,16,14,0.25,2,3,-1,-0.71,-0.22,2.6,1.7,+0.9,+0.63,+1.44,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,22,1925,88,76.4,21.4,22,88,0,,0,1.05,26,32,-6,-0.28,+1.38,25.6,33.5,-8.0,-0.37,+0.36,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,13,387,30,15.4,4.3,2,77,11,21,15,1.62,10,7,+3,+0.70,-0.27,6.7,7.0,-0.3,-0.06,-0.50,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,26,2328,90,92.4,25.9,26,90,0,,2,1.50,42,35,+7,+0.27,+0.27,34.6,36.0,-1.4,-0.05,+0.74,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,28,2460,88,97.6,27.3,27,89,1,50,0,2.82,62,20,+42,+1.54,-1.46,54.2,27.2,+27.0,+0.99,+0.76,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,20,1734,87,68.8,19.3,20,87,0,,0,2.75,42,11,+31,+1.61,+0.12,38.3,19.2,+19.1,+0.99,+0.07,Matches
13,Thomas Allan\Thomas-Allan,eng ENG,MF,Newcastle Utd,19,1999,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
14,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,21,1674,80,66.4,18.6,19,86,2,21,3,1.43,29,23,+6,+0.32,+0.22,25.3,27.0,-1.7,-0.09,+0.06,Matches
15,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,27,2290,85,90.9,25.4,27,85,0,,0,1.19,23,37,-14,-0.55,+0.62,20.6,41.7,-21.1,-0.83,-0.13,Matches
16,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,10,768,77,30.5,8.5,8,87,2,38,7,2.50,23,7,+16,+1.87,+2.29,16.1,8.5,+7.6,+0.89,+0.21,Matches
17,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,19,1183,62,46.9,13.1,12,90,7,15,3,1.11,19,18,+1,+0.08,+0.68,17.3,17.7,-0.5,-0.04,+0.34,Matches
18,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,11,756,69,30.0,8.4,8,84,3,27,9,0.73,8,20,-12,-1.43,-0.71,10.2,17.1,-6.9,-0.83,-0.50,Matches
19,Joseph Anang\Joseph-Anang,gh GHA,GK,West Ham,19,2000,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
20,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,21,1412,67,56.0,15.7,19,74,2,8,1,1.00,21,26,-5,-0.32,+0.41,17.5,27.8,-10.4,-0.66,+0.18,Matches
21,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,3,71,24,2.8,0.8,1,29,2,21,0,1.33,2,0,+2,+2.54,+2.90,1.4,1.4,0.0,+0.02,+0.25,Matches
22,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,6,422,70,17.4,4.7,4,90,2,31,9,2.00,11,7,+4,+0.85,-0.72,10.8,4.4,+6.4,+1.36,-0.14,Matches
23,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,29,1990,14,940,67,37.3,10.4,9,82,5,41,0,1.00,18,18,0,0.00,+0.80,12.5,18.8,-6.3,-0.61,+0.21,Matches
24,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,21,1140,54,45.2,12.7,12,86,9,13,2,1.29,22,18,+4,+0.32,+1.62,18.9,18.1,+0.9,+0.07,+0.03,Matches
25,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,24,2160,90,85.7,24.0,24,90,0,,4,1.67,41,32,+9,+0.37,+0.62,42.9,22.8,+20.1,+0.84,+0.68,Matches
26,Bernard Ashley-Seal\Bernard-Ashley-Seal,eng ENG,FW,Wolves,20,1998,0,,,,,0,,0,,6,,,,,,,,,,,,Matches
27,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,18,733,41,29.1,8.1,6,82,12,20,6,1.17,4,14,-10,-1.23,-0.88,3.6,12.7,-9.1,-1.12,-0.43,Matches
28,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,25,2214,89,91.1,24.6,25,89,0,,0,1.40,36,33,+3,+0.12,+0.12,32.3,35.0,-2.7,-0.11,+0.42,Matches
29,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,23,1902,83,75.5,21.1,22,86,1,12,2,1.52,38,26,+12,+0.57,+1.30,28.8,29.4,-0.6,-0.03,+0.34,Matches
30,Brandon Austin\Brandon-Austin,eng ENG,GK,Tottenham,20,1999,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
31,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,27,2303,85,91.4,25.6,27,85,0,,1,1.33,22,27,-5,-0.20,+0.63,25.1,33.0,-7.9,-0.31,+0.40,Matches
32,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,26,2330,90,92.5,25.9,26,90,0,,2,1.62,45,38,+7,+0.27,-0.20,43.6,26.2,+17.4,+0.67,-0.93,Matches
33,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1,90,90,3.6,1.0,1,90,0,,4,3.00,2,0,+2,+2.00,+1.63,0.8,1.3,-0.5,-0.55,-1.09,Matches
34,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,5,333,67,13.2,3.7,3,87,2,37,12,1.60,7,6,+1,+0.27,+0.52,8.0,5.2,+2.8,+0.75,+0.62,Matches
35,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13,1080,83,42.9,12.0,12,90,1,0,15,0.85,12,22,-10,-0.83,-0.58,12.6,21.8,-9.2,-0.77,-0.05,Matches
36,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,27,2430,90,100.0,27.0,27,90,0,,0,1.48,29,25,+4,+0.15,,32.6,32.5,+0.2,+0.01,,Matches
37,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,31,1988,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
38,Tudor Băluță\Tudor-Baluta,ro ROU,DFMF,Brighton,20,1999,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
39,Beni Baningime\Beni-Baningime,cd COD,MF,Everton,20,1998,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
40,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,13,1170,90,46.4,13.0,13,90,0,,9,1.69,17,13,+4,+0.31,+0.97,15.5,15.1,+0.4,+0.03,+0.32,Matches
41,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12,585,49,23.2,6.5,7,69,5,20,7,1.83,14,7,+7,+1.08,+1.03,15.2,4.8,+10.3,+1.59,+1.11,Matches
42,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,19,1361,72,54.0,15.1,17,77,2,24,0,1.26,19,21,-2,-0.13,+0.18,15.7,13.2,+2.5,+0.16,+0.66,Matches
43,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,26,1629,63,64.6,18.1,19,75,7,29,2,1.77,30,16,+14,+0.77,-0.44,30.3,21.5,+8.8,+0.49,+0.36,Matches
44,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,27,2350,87,96.7,26.1,27,87,0,,0,1.48,25,25,0,0.00,-4.50,30.9,31.8,-0.9,-0.03,-1.19,Matches
45,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,2,16,8,0.7,0.2,0,,2,8,0,0.00,0,2,-2,-11.25,-10.65,0.0,1.5,-1.4,-8.14,-7.29,Matches
46,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,16,225,14,8.9,2.5,1,68,15,10,9,1.50,5,8,-3,-1.20,-1.63,5.5,2.9,+2.6,+1.05,+0.34,Matches
47,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,26,2338,90,92.8,26.0,26,90,0,,1,1.19,32,49,-17,-0.65,-1.15,37.4,36.2,+1.2,+0.05,-0.05,Matches
48,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,7,623,89,25.6,6.9,7,89,0,,3,1.29,11,10,+1,+0.14,+0.04,7.9,13.2,-5.3,-0.77,-0.84,Matches
49,Filip Benković\Filip-Benkovic,hr CRO,DF,Leicester City,22,1997,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
50,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,11,604,55,24.0,6.7,7,75,4,21,5,1.45,6,9,-3,-0.45,-0.92,6.7,7.6,-0.9,-0.14,-0.68,Matches
51,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,3,270,90,10.7,3.0,3,90,0,,1,0.33,0,5,-5,-1.67,-1.19,1.9,4.8,-2.9,-0.97,-0.17,Matches
52,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,19,829,44,32.9,9.2,8,87,11,12,3,1.21,6,11,-5,-0.54,-0.44,10.7,13.6,-2.9,-0.32,+0.04,Matches
53,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,7,401,57,15.9,4.5,4,78,3,30,2,1.00,7,4,+3,+0.67,+1.06,5.6,4.4,+1.1,+0.25,+0.47,Matches
54,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,3,210,70,8.6,2.3,3,70,0,,0,2.33,3,2,+1,+0.43,+0.31,2.5,2.5,-0.1,-0.03,-0.04,Matches
55,Steven Bergwijn\Steven-Bergwijn,nl NED,FW,Tottenham,21,1997,4,328,82,13.0,3.6,4,82,0,,0,1.50,5,7,-2,-0.55,-0.92,5.2,7.9,-2.7,-0.73,-0.72,Matches
56,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,18,978,54,38.8,10.9,12,69,6,25,5,1.44,13,8,+5,+0.46,+1.04,15.6,10.2,+5.4,+0.49,+0.46,Matches
57,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,10,541,54,21.5,6.0,6,79,4,17,7,0.80,6,12,-6,-1.00,-0.91,6.9,7.6,-0.7,-0.12,+0.13,Matches
58,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,23,1933,84,76.7,21.5,22,86,1,45,1,1.17,28,36,-8,-0.37,+0.85,32.5,26.2,+6.2,+0.29,+1.02,Matches
59,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,9,245,27,10.1,2.7,2,77,7,13,14,1.56,1,2,-1,-0.37,-0.57,4.1,3.9,+0.1,+0.04,+0.04,Matches
60,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,26,2076,80,82.4,23.1,24,84,2,26,1,1.04,24,34,-10,-0.43,+0.99,26.9,36.2,-9.3,-0.40,+0.32,Matches
61,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,12,577,48,22.9,6.4,7,72,5,14,7,0.83,4,7,-3,-0.47,-0.24,7.4,10.5,-3.1,-0.48,-0.34,Matches
62,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,12,1079,90,42.8,12.0,12,90,0,,1,1.58,16,9,+7,+0.58,+0.58,15.9,12.1,+3.8,+0.31,-0.12,Matches
63,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,4,56,14,2.2,0.6,0,,4,14,0,1.25,0,3,-3,-4.82,-4.64,0.5,1.9,-1.4,-2.17,-2.00,Matches
64,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,39,1980,0,,,,,0,,0,,28,,,,,,,,,,,,Matches
