id;name;Nation;Position;Squad;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att;Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist;Matches
1;Gökhan Akkan\Gokhan-Akkan;tr TUR;GK;Rizespor;24;1995;19.6;36;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
2;Hüseyin Altıntaş\Huseyin-Altintas;tr TUR;GK;Denizlispor;24;1994;0.0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
3;Göktuğ Bakırbaş\Goktug-Bakirbas;tr TUR;GK;Göztepe;23;1996;2.9;2;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
4;Altay Bayındır\Altay-Bayindir;tr TUR;GK;Fenerbahçe;21;1998;24.0;31;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
5;Beto\Beto;pt POR;GK;Göztepe;37;1982;20.0;23;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
6;Ruud Boffin\Ruud-Boffin;be BEL;GK;Antalyaspor;31;1987;16.0;29;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
7;Uğurcan Çakır\Ugurcan-Cakir;tr TUR;GK;Trabzonspor;23;1996;21.6;24;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
8;José Carlos Marafona\Jose-Carlos-Marafona;pt POR;GK;Alanyaspor;32;1987;24.0;24;9;;;;;;;;;;;;;;;;;;;;;;;;Matches
9;Korcan Çelikay\Korcan-Celikay;tr TUR;GK;Ankaragücü;31;1987;20.0;37;4;;;;;;;;;;;;;;;;;;;;;;;;Matches
10;Tarık Çetin\Tarik-Cetin;tr TUR;GK;Rizespor;22;1997;1.0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
11;İsmail Çipe\Ismail-Cipe;tr TUR;GK;Kayserispor;24;1995;5.0;17;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
12;Abdoulaye Diallo\Abdoulaye-Diallo;sn SEN;GK;Gençlerbirliği;27;1992;4.0;8;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
13;Fabien Farnolle\Fabien-Farnolle;bj BEN;GK;Yeni Mal'spor;34;1984;23.0;34;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
14;Zafer Görgen\Zafer-Gorgen;tr TUR;GK;Rizespor;19;2000;2.4;3;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
15;Mert Günok\Mert-Gunok;tr TUR;GK;Başakşehir;30;1989;24.0;24;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
16;Günay Güvenç\Gunay-Guvenc;tr TUR;GK;Gaziantep FK;28;1991;22.0;32;4;;;;;;;;;;;;;;;;;;;;;;;;Matches
17;Ferhat Kaplan\Ferhat-Kaplan;tr TUR;GK;Antalyaspor;30;1989;8.0;13;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
18;Erce Kardeşler\Erce-Kardesler;tr TUR;GK;Trabzonspor;25;1994;1.4;1;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
19;Loris Karius\Loris-Karius;de GER;GK;Beşiktaş;26;1993;24.0;29;4;;;;;;;;;;;;;;;;;;;;;;;;Matches
20;Serkan Kırıntılı\Serkan-Kirintili;tr TUR;GK;Konyaspor;34;1985;22.0;25;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
21;Okan Kocuk\Okan-Kocuk;tr TUR;GK;Galatasaray;24;1995;1.0;1;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
22;Ramazan Köse\Ramazan-Kose;tr TUR;GK;Kasımpaşa;31;1988;4.0;5;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
23;Yuri Lodygin\Yuri-Lodygin;ru RUS;GK;Gaziantep FK;29;1990;2.0;6;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
24;Silviu Lung Jr.\Silviu-Lung-Jr;ro ROU;GK;Kayserispor;30;1989;19.0;39;6;;;;;;;;;;;;;;;;;;;;;;;;Matches
25;Fernando Muslera\Fernando-Muslera;uy URU;GK;Galatasaray;33;1986;23.0;17;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
26;Kristoffer Nordfeldt\Kristoffer-Nordfeldt;se SWE;GK;Gençlerbirliği;30;1989;7.0;10;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
27;Ertaç Özbir\Ertac-Ozbir;tr TUR;GK;Gençlerbirliği;29;1989;13.0;24;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
28;Fatih Öztürk\Fatih-Ozturk;tr TUR;GK;Kasımpaşa;32;1986;20.0;44;8;;;;;;;;;;;;;;;;;;;;;;;;Matches
29;Ricardo\Ricardo;br BRA;GK;Ankaragücü;26;1993;5.0;7;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
30;Mamadou Samassa\Mamadou-Samassa;ml MLI;GK;Sivasspor;29;1990;23.5;26;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
31;Adam Stachowiak\Adam-Stachowiak;pl POL;GK;Denizlispor;32;1986;24.0;32;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
32;Ertuğrul Taşkıran\Ertugrul-Taskiran;tr TUR;GK;Konyaspor;29;1989;2.0;7;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
33;Muammer Yıldırım\Muammer-Yildirim;tr TUR;GK;Sivasspor;28;1990;0.5;0;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
34;Utku Yuvakuran\Utku-Yuvakuran;tr TUR;GK;Beşiktaş;21;1997;1.0;3;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
