id;name;Nation;Position;Squad;Age;Born;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Matches
1;Gökhan Akkan\Gokhan-Akkan;tr TUR;GK;Rizespor;24;1995;20;20;1766;36;1.83;80;47;.588;5;3;12;5;25.0;5;3;0;2;Matches
2;Hüseyin Altıntaş\Huseyin-Altintas;tr TUR;GK;Denizlispor;24;1994;1;0;;0;;0;0;;0;0;0;0;;0;0;0;0;Matches
3;Göktuğ Bakırbaş\Goktug-Bakirbas;tr TUR;GK;Göztepe;23;1996;4;2;262;2;0.69;11;9;.818;2;0;0;1;50.0;0;0;0;0;Matches
4;Altay Bayındır\Altay-Bayindir;tr TUR;GK;Fenerbahçe;21;1998;24;24;2160;31;1.29;79;50;.646;11;6;7;5;20.8;4;3;0;1;Matches
5;Beto\Beto;pt POR;GK;Göztepe;37;1982;21;21;1804;23;1.15;73;53;.726;7;7;7;6;28.6;3;3;0;0;Matches
6;Ruud Boffin\Ruud-Boffin;be BEL;GK;Antalyaspor;31;1987;16;16;1440;29;1.81;70;44;.629;6;5;5;5;31.3;3;3;0;0;Matches
7;Uğurcan Çakır\Ugurcan-Cakir;tr TUR;GK;Trabzonspor;23;1996;22;22;1946;24;1.11;98;76;.776;13;6;3;4;18.2;2;2;0;0;Matches
8;José Carlos Marafona\Jose-Carlos-Marafona;pt POR;GK;Alanyaspor;32;1987;24;24;2160;24;1.00;69;54;.783;11;6;7;4;16.7;10;9;1;0;Matches
9;Korcan Çelikay\Korcan-Celikay;tr TUR;GK;Ankaragücü;31;1987;20;20;1800;37;1.85;106;73;.689;2;8;10;3;15.0;4;4;0;0;Matches
10;Tarık Çetin\Tarik-Cetin;tr TUR;GK;Rizespor;22;1997;2;1;87;0;0.00;6;6;1.000;1;0;0;1;100.0;0;0;0;0;Matches
11;İsmail Çipe\Ismail-Cipe;tr TUR;GK;Kayserispor;24;1995;5;5;450;17;3.40;36;20;.556;0;1;4;0;0.0;1;1;0;0;Matches
12;Abdoulaye Diallo\Abdoulaye-Diallo;sn SEN;GK;Gençlerbirliği;27;1992;4;4;360;8;2.00;20;14;.700;1;0;3;0;0.0;2;2;0;0;Matches
13;Fabien Farnolle\Fabien-Farnolle;bj BEN;GK;Yeni Mal'spor;34;1984;23;23;2070;34;1.48;107;77;.710;6;6;11;6;26.1;4;3;1;0;Matches
14;Zafer Görgen\Zafer-Gorgen;tr TUR;GK;Rizespor;19;2000;4;2;214;3;1.26;10;8;.800;1;0;1;1;50.0;1;1;0;0;Matches
15;Mert Günok\Mert-Gunok;tr TUR;GK;Başakşehir;30;1989;24;24;2160;24;1.00;97;76;.784;14;7;3;5;20.8;3;3;0;0;Matches
16;Günay Güvenç\Gunay-Guvenc;tr TUR;GK;Gaziantep FK;28;1991;22;22;1980;32;1.45;92;66;.696;8;7;7;3;13.6;6;4;2;0;Matches
17;Ferhat Kaplan\Ferhat-Kaplan;tr TUR;GK;Antalyaspor;30;1989;9;8;720;13;1.62;29;16;.552;0;3;5;1;12.5;0;0;0;0;Matches
18;Erce Kardeşler\Erce-Kardesler;tr TUR;GK;Trabzonspor;25;1994;2;1;124;1;0.73;3;2;.667;1;0;0;1;100.0;0;0;0;0;Matches
19;Loris Karius\Loris-Karius;de GER;GK;Beşiktaş;26;1993;24;24;2160;29;1.21;86;60;.709;13;4;7;7;29.2;4;4;0;0;Matches
20;Serkan Kırıntılı\Serkan-Kirintili;tr TUR;GK;Konyaspor;34;1985;23;23;1980;25;1.14;92;69;.750;4;10;9;7;30.4;2;2;0;0;Matches
21;Okan Kocuk\Okan-Kocuk;tr TUR;GK;Galatasaray;24;1995;1;1;90;1;1.00;2;1;.500;0;0;1;0;0.0;0;0;0;0;Matches
22;Ramazan Köse\Ramazan-Kose;tr TUR;GK;Kasımpaşa;31;1988;4;4;360;5;1.25;21;16;.762;1;2;1;2;50.0;0;0;0;0;Matches
23;Yuri Lodygin\Yuri-Lodygin;ru RUS;GK;Gaziantep FK;29;1990;2;2;180;6;3.00;13;7;.538;0;0;2;0;0.0;0;0;0;0;Matches
24;Silviu Lung Jr.\Silviu-Lung-Jr;ro ROU;GK;Kayserispor;30;1989;19;19;1710;39;2.05;110;77;.700;4;6;9;4;21.1;7;6;0;1;Matches
25;Fernando Muslera\Fernando-Muslera;uy URU;GK;Galatasaray;33;1986;23;23;2070;17;0.74;85;70;.824;14;6;3;11;47.8;2;2;0;0;Matches
26;Kristoffer Nordfeldt\Kristoffer-Nordfeldt;se SWE;GK;Gençlerbirliği;30;1989;7;7;630;10;1.43;37;28;.757;3;0;4;3;42.9;2;1;1;0;Matches
27;Ertaç Özbir\Ertac-Ozbir;tr TUR;GK;Gençlerbirliği;29;1989;13;13;1170;24;1.85;65;43;.662;3;6;4;2;15.4;2;2;0;0;Matches
28;Fatih Öztürk\Fatih-Ozturk;tr TUR;GK;Kasımpaşa;32;1986;20;20;1800;44;2.20;111;76;.676;4;3;13;3;15.0;10;8;1;1;Matches
29;Ricardo\Ricardo;br BRA;GK;Ankaragücü;26;1993;5;5;450;7;1.40;20;15;.700;2;0;3;1;20.0;2;1;1;0;Matches
30;Mamadou Samassa\Mamadou-Samassa;ml MLI;GK;Sivasspor;29;1990;24;24;2115;26;1.11;98;75;.765;14;6;4;7;29.2;4;3;0;1;Matches
31;Adam Stachowiak\Adam-Stachowiak;pl POL;GK;Denizlispor;32;1986;24;24;2160;32;1.33;101;74;.703;7;6;11;7;29.2;5;2;3;0;Matches
32;Ertuğrul Taşkıran\Ertugrul-Taskiran;tr TUR;GK;Konyaspor;29;1989;2;1;177;7;3.56;14;7;.500;0;0;1;0;0.0;0;0;0;0;Matches
33;Muammer Yıldırım\Muammer-Yildirim;tr TUR;GK;Sivasspor;28;1990;1;0;45;0;0.00;1;1;1.000;0;0;0;1;;0;0;0;0;Matches
34;Utku Yuvakuran\Utku-Yuvakuran;tr TUR;GK;Beşiktaş;21;1997;1;1;90;3;3.00;7;4;.571;0;0;1;0;0.0;0;0;0;0;Matches
