Squad;# Pl;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past
Alanyaspor,23,56,2,1,368,332,48,617,270,271,,,0,,,,,,,,,,
Ankaragücü,32,72,6,6,397,301,40,381,304,258,,,1,,,,,,,,,,
Antalyaspor,30,68,4,3,371,354,51,513,273,259,,,2,,,,,,,,,,
Başakşehir,29,46,2,1,355,299,49,476,233,285,,,1,,,,,,,,,,
Beşiktaş,29,71,3,1,316,340,72,621,210,299,,,1,,,,,,,,,,
Denizlispor,25,61,2,1,341,352,31,539,231,274,,,1,,,,,,,,,,
Fenerbahçe,26,67,8,5,353,349,63,558,249,249,,,1,,,,,,,,,,
Galatasaray,32,64,4,3,335,343,56,542,210,244,,,0,,,,,,,,,,
Gaziantep FK,25,66,4,1,369,327,38,488,255,289,,,0,,,,,,,,,,
Gençlerbirliği,27,75,6,2,362,286,53,604,252,241,,,1,,,,,,,,,,
Göztepe,29,61,3,1,301,335,54,512,260,275,,,1,,,,,,,,,,
Kasımpaşa,34,75,4,2,370,357,41,627,257,283,,,4,,,,,,,,,,
Kayserispor,42,72,6,5,387,316,51,517,290,250,,,3,,,,,,,,,,
Konyaspor,27,62,6,4,293,316,40,388,232,265,,,1,,,,,,,,,,
Rizespor,30,63,4,3,382,307,50,416,253,305,,,2,,,,,,,,,,
Sivasspor,26,70,3,2,403,303,67,555,263,307,,,1,,,,,,,,,,
Trabzonspor,30,56,3,1,311,323,38,450,284,279,,,0,,,,,,,,,,
Yeni Mal'spor,26,67,7,2,375,329,73,473,259,227,,,0,,,,,,,,,,
