"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"Matches"
1;Mohamed Abarhoun\Mohamed-Abarhoun;ma MAR;DF;Rizespor;30;1989;19.3;2;0;0;9;2;;22.2;0.47;0.10;0.22;1.00;Matches
2;Aymen Abdennour\Aymen-Abdennour;tn TUN;DF;Kayserispor;29;1989;10.0;0;0;0;1;0;;0.0;0.10;0.00;0.00;;Matches
3;Afriyie Acquah\Afriyie-Acquah;gh GHA;MF;Yeni Mal'spor;27;1992;15.9;0;0;0;11;5;;45.5;0.69;0.31;0.00;0.00;Matches
4;Emmanuel Adebayor\Emmanuel-Adebayor;tg TOG;FW;Kayserispor;35;1984;7.4;2;1;1;11;4;;36.4;1.48;0.54;0.09;0.25;Matches
5;Adryan\Adryan;br BRA;FWMF;Kayserispor;24;1994;1.0;0;0;0;1;1;;100.0;0.99;0.99;0.00;0.00;Matches
6;Sedat Ağçay\Sedat-Agcay;tr TUR;MF;Ankaragücü;37;1981;15.7;0;0;0;11;2;;18.2;0.70;0.13;0.00;0.00;Matches
7;Ismaïl Aissati\Ismail-Aissati;ma MAR;MF;Denizlispor;30;1988;19.3;0;0;0;13;2;;15.4;0.68;0.10;0.00;0.00;Matches
8;Emre Akbaba\Emre-Akbaba;tr TUR;MF;Galatasaray;26;1992;4.6;2;0;0;10;2;;20.0;2.18;0.44;0.20;1.00;Matches
9;Mustafa Akbaş\Mustafa-Akbas;tr TUR;DF;Yeni Mal'spor;29;1990;12.7;0;0;0;6;2;;33.3;0.47;0.16;0.00;0.00;Matches
10;Halil Akbunar\Halil-Akbunar;tr TUR;MFFW;Göztepe;25;1993;16.8;5;0;0;31;9;;29.0;1.85;0.54;0.16;0.56;Matches
11;Yunus Akgün\Yunus-Akgun;tr TUR;FW;Galatasaray;19;2000;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
12;Gökhan Akkan\Gokhan-Akkan;tr TUR;GK;Rizespor;24;1995;19.6;0;0;0;0;0;;;0.00;0.00;;;Matches
13;Atakan Akkaynak\Atakan-Akkaynak;de GER;MF;Rizespor;20;1999;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
14;Fatih Aksoy\Fatih-Aksoy;tr TUR;MF;Sivasspor;21;1997;13.8;0;0;0;8;6;;75.0;0.58;0.43;0.00;0.00;Matches
15;Aksel Aktas\Aksel-Aktas;tr TUR;MF;Kayserispor;20;1999;1.7;0;0;0;2;0;;0.0;1.19;0.00;0.00;;Matches
16;Kubilay Aktaş\Kubilay-Aktas;tr TUR;MFDF;Gaziantep FK;24;1995;2.0;0;0;0;1;0;;0.0;0.50;0.00;0.00;;Matches
17;Ufuk Akyol\Ufuk-Akyol;de GER;MF;Antalyaspor;21;1997;15.3;2;0;0;27;11;;40.7;1.76;0.72;0.07;0.18;Matches
18;Mehmet Akyüz\Mehmet-Akyuz;tr TUR;FW;Denizlispor;33;1986;1.9;0;0;0;3;1;;33.3;1.57;0.52;0.00;0.00;Matches
19;Burak Albayrak\Burak-Albayrak;tr TUR;DF;Rizespor;21;1998;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
20;Eren Albayrak\Eren-Albayrak;tr TUR;DF;Antalyaspor;28;1991;7.4;0;0;0;2;1;;50.0;0.27;0.13;0.00;0.00;Matches
21;Danijel Aleksić\Danijel-Aleksic;rs SRB;MF;Başakşehir;28;1991;8.2;4;0;0;34;11;;32.4;4.16;1.35;0.12;0.36;Matches
22;Hasan Ali Kaldırım\Hasan-Ali-Kaldirim;tr TUR;DF;Fenerbahçe;29;1989;7.9;0;0;0;5;2;;40.0;0.63;0.25;0.00;0.00;Matches
23;Ömer Ali Şahiner\Omer-Ali-Sahiner;tr TUR;MFFW;Konyaspor;27;1992;20.8;3;0;0;22;7;;31.8;1.06;0.34;0.14;0.43;Matches
24;Barış Alıcı\Baris-Alici;tr TUR;MF;Rizespor;22;1997;1.5;0;0;0;3;0;;0.0;1.96;0.00;0.00;;Matches
25;Ziya Alkurt\Ziya-Alkurt;tr TUR;MF;Kayserispor;28;1990;7.8;0;0;0;11;4;;36.4;1.41;0.51;0.00;0.00;Matches
26;Harun Alpsoy\Harun-Alpsoy;ch SUI;MF;Antalyaspor;22;1997;0.4;0;0;0;0;0;;;0.00;0.00;;;Matches
27;Gökhan Alsan\Gokhan-Alsan;tr TUR;MF;Gaziantep FK;29;1990;0.1;0;0;0;1;0;;0.0;6.92;0.00;0.00;;Matches
28;Emircan Altıntaş\Emircan-Altintas;tr TUR;MF;Alanyaspor;24;1995;0.2;0;0;0;0;0;;;0.00;0.00;;;Matches
29;Hüseyin Altıntaş\Huseyin-Altintas;tr TUR;GK;Denizlispor;24;1994;0.0;0;0;0;0;0;;;;;;;Matches
30;Amilton\Amilton;br BRA;MFFW;Antalyaspor;29;1989;14.0;1;0;0;20;2;;10.0;1.43;0.14;0.05;0.50;Matches
31;Florin Andone\Florin-Andone;ro ROU;FW;Galatasaray;26;1993;5.1;2;1;1;15;7;;46.7;2.92;1.36;0.07;0.14;Matches
32;Diego Ângelo\Diego-Angelo;br BRA;DF;Antalyaspor;33;1986;14.9;1;0;0;16;4;;25.0;1.07;0.27;0.06;0.25;Matches
33;Diego Ângelo\Diego-Angelo;br BRA;DF;Kayserispor;33;1986;5.0;0;0;0;7;4;;57.1;1.40;0.80;0.00;0.00;Matches
34;Marin Aničić\Marin-Anicic;ba BIH;DF;Konyaspor;29;1989;20.0;0;0;0;7;2;;28.6;0.35;0.10;0.00;0.00;Matches
35;Taylan Antalyalı\Taylan-Antalyali;tr TUR;MF;Galatasaray;24;1995;2.8;1;0;0;5;1;;20.0;1.80;0.36;0.20;1.00;Matches
36;Aaron Appindangoyé\Aaron-Appindangoye;ga GAB;DF;Sivasspor;27;1992;24.0;0;0;0;15;2;;13.3;0.62;0.08;0.00;0.00;Matches
37;Hakan Arslan\Hakan-Arslan;tr TUR;MF;Sivasspor;31;1988;23.0;6;0;0;33;13;;39.4;1.43;0.57;0.18;0.46;Matches
38;Tolgay Arslan\Tolgay-Arslan;de GER;MF;Fenerbahçe;28;1990;0.9;0;0;0;2;0;;0.0;2.14;0.00;0.00;;Matches
39;Muhammet Arslantaş\Muhammet-Arslantas;tr TUR;FW;Başakşehir;18;2001;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
40;Serkan Asan\Serkan-Asan;tr TUR;DF;Trabzonspor;20;1999;1.4;0;0;0;1;0;;0.0;0.73;0.00;0.00;;Matches
41;Kerem Atakan Kesgin\Kerem-Atakan-Kesgin;tr TUR;MF;Göztepe;18;2000;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
42;Donis Avdijaj\Donis-Avdijaj;xk KVX;MF;Trabzonspor;22;1996;2.7;1;0;0;10;3;;30.0;3.77;1.13;0.10;0.33;Matches
43;Selim Ay\Selim-Ay;tr TUR;DF;Konyaspor;28;1991;10.0;0;0;0;3;0;;0.0;0.30;0.00;0.00;;Matches
44;Berat Ayberk Özdemir\Berat-Ayberk-Ozdemir;tr TUR;MF;Gençlerbirliği;21;1998;13.7;1;0;0;17;3;;17.6;1.24;0.22;0.06;0.33;Matches
45;Soner Aydoğdu\Soner-Aydogdu;tr TUR;MF;Başakşehir;28;1991;0.7;0;0;0;2;0;;0.0;2.81;0.00;0.00;;Matches
46;Soner Aydoğdu\Soner-Aydogdu;tr TUR;MF;Göztepe;28;1991;18.7;3;0;1;23;10;;43.5;1.23;0.53;0.13;0.30;Matches
47;Ender Aygören\Ender-Aygoren;tr TUR;MF;Ankaragücü;19;2000;0.3;0;0;0;0;0;;;0.00;0.00;;;Matches
