Squad;# Pl;Gls;PK;PKatt;Sh;SoT;FK;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;xG;npxG;npxG/Sh;G-xG;np:G-xG
Alanyaspor,23,44,2,3,414,152,,36.7,15.92,5.85,0.10,0.28,,,,,,
Ankaragücü,32,21,3,3,288,86,,29.9,11.08,3.31,0.06,0.21,,,,,,
Antalyaspor,30,29,4,5,353,108,,30.6,13.58,4.15,0.07,0.23,,,,,,
Başakşehir,29,47,3,3,374,137,,36.6,14.38,5.27,0.12,0.32,,,,,,
Beşiktaş,29,40,6,6,359,129,,35.9,13.81,4.96,0.09,0.26,,,,,,
Denizlispor,25,25,3,3,289,98,,33.9,11.12,3.77,0.08,0.22,,,,,,
Fenerbahçe,26,46,7,9,435,148,,34.0,16.73,5.69,0.09,0.26,,,,,,
Galatasaray,32,40,9,10,349,125,,35.8,13.42,4.81,0.09,0.25,,,,,,
Gaziantep FK,25,36,5,8,306,94,,30.7,11.77,3.62,0.10,0.33,,,,,,
Gençlerbirliği,27,32,4,4,351,124,,35.3,13.50,4.77,0.08,0.23,,,,,,
Göztepe,29,30,2,4,274,87,,31.8,10.54,3.35,0.10,0.32,,,,,,
Kasımpaşa,34,38,3,4,338,120,,35.5,13.00,4.62,0.10,0.29,,,,,,
Kayserispor,42,27,3,4,299,107,,35.8,11.50,4.12,0.08,0.22,,,,,,
Konyaspor,27,20,4,5,302,87,,28.8,11.62,3.35,0.05,0.18,,,,,,
Rizespor,30,26,4,5,296,90,,30.4,11.38,3.46,0.07,0.24,,,,,,
Sivasspor,26,47,1,3,376,142,,37.8,14.46,5.46,0.12,0.32,,,,,,
Trabzonspor,30,55,6,8,368,135,,36.7,14.15,5.19,0.13,0.36,,,,,,
Yeni Mal'spor,26,36,5,5,308,122,,39.6,11.85,4.69,0.10,0.25,,,,,,
