Squad;# Pl;MP;Starts;Min;Gls;Ast;PK;PKatt;CrdY;CrdR;GlsPerM;AstPerM;G+A;G-PK;G+A-PK
Alanyaspor;23;24;264;2160;42;35;2;3;53;2;1.75;1.46;3.21;1.67;3.13
Ankaragücü;32;25;275;2250;20;14;3;3;70;6;0.80;0.56;1.36;0.68;1.24
Antalyaspor;30;24;264;2160;27;18;4;5;66;4;1.13;0.75;1.88;0.96;1.71
Başakşehir;29;24;264;2160;43;27;3;3;43;1;1.79;1.13;2.92;1.67;2.79
Beşiktaş;29;25;275;2250;40;29;6;6;69;3;1.60;1.16;2.76;1.36;2.52
Denizlispor;25;24;264;2160;22;16;2;2;56;2;0.92;0.67;1.58;0.83;1.50
Fenerbahçe;25;24;264;2160;44;31;7;9;58;7;1.83;1.29;3.13;1.54;2.83
Galatasaray;32;24;264;2160;38;25;9;10;61;4;1.58;1.04;2.63;1.21;2.25
Gaziantep FK;25;24;264;2160;35;18;5;8;61;4;1.46;0.75;2.21;1.25;2.00
Gençlerbirliği;26;24;264;2160;31;19;4;4;70;6;1.29;0.79;2.08;1.13;1.92
Göztepe;29;23;253;2070;28;19;2;4;57;3;1.22;0.83;2.04;1.13;1.96
Kasımpaşa;34;24;264;2160;31;20;3;4;69;4;1.29;0.83;2.13;1.17;2.00
Kayserispor;42;24;264;2160;24;15;3;3;65;6;1.00;0.63;1.63;0.88;1.50
Konyaspor;27;24;264;2160;18;8;3;4;53;3;0.75;0.33;1.08;0.63;0.96
Rizespor;30;23;253;2070;24;12;4;5;57;3;1.04;0.52;1.57;0.87;1.39
Sivasspor;26;24;264;2160;45;34;1;2;65;2;1.88;1.42;3.29;1.83;3.25
Trabzonspor;30;23;253;2070;51;38;6;8;48;3;2.22;1.65;3.87;1.96;3.61
Yeni Mal'spor;26;23;253;2070;33;21;5;5;62;6;1.43;0.91;2.35;1.22;2.13
