"id";"name";"nation";"position";"team";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"Matches"
1;Mohamed Abarhoun\Mohamed-Abarhoun;ma MAR;DF;Rizespor;30;1989;20;19;1738;2;0;0;0;2;0;0.10;0.00;0.10;0.10;0.10;Matches
2;Aymen Abdennour\Aymen-Abdennour;tn TUN;DF;Kayserispor;29;1989;12;11;901;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;Matches
3;Afriyie Acquah\Afriyie-Acquah;gh GHA;MF;Yeni Mal'spor;27;1992;18;16;1434;0;3;0;0;5;0;0.00;0.19;0.19;0.00;0.19;Matches
4;Emmanuel Adebayor\Emmanuel-Adebayor;tg TOG;FW;Kayserispor;35;1984;8;8;670;2;1;1;1;1;0;0.27;0.13;0.40;0.13;0.27;Matches
5;Adryan\Adryan;br BRA;FWMF;Kayserispor;24;1994;3;0;91;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
6;Sedat Ağçay\Sedat-Agcay;tr TUR;MF;Ankaragücü;37;1981;19;19;1413;0;2;0;0;5;1;0.00;0.13;0.13;0.00;0.13;Matches
7;Ismaïl Aissati\Ismail-Aissati;ma MAR;MF;Denizlispor;30;1988;23;19;1733;0;5;0;0;4;0;0.00;0.26;0.26;0.00;0.26;Matches
8;Emre Akbaba\Emre-Akbaba;tr TUR;MF;Galatasaray;26;1992;7;5;412;2;0;0;0;0;0;0.44;0.00;0.44;0.44;0.44;Matches
9;Mustafa Akbaş\Mustafa-Akbas;tr TUR;DF;Yeni Mal'spor;29;1990;14;13;1144;0;0;0;0;3;2;0.00;0.00;0.00;0.00;0.00;Matches
10;Halil Akbunar\Halil-Akbunar;tr TUR;MFFW;Göztepe;25;1993;23;17;1511;5;1;0;0;3;0;0.30;0.06;0.36;0.30;0.36;Matches
11;Yunus Akgün\Yunus-Akgun;tr TUR;FW;Galatasaray;19;2000;1;0;7;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
12;Gökhan Akkan\Gokhan-Akkan;tr TUR;GK;Rizespor;24;1995;20;20;1766;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
13;Atakan Akkaynak\Atakan-Akkaynak;de GER;MF;Rizespor;20;1999;1;0;9;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
14;Fatih Aksoy\Fatih-Aksoy;tr TUR;MF;Sivasspor;21;1997;15;15;1242;0;1;0;0;6;0;0.00;0.07;0.07;0.00;0.07;Matches
15;Aksel Aktas\Aksel-Aktas;tr TUR;MF;Kayserispor;20;1999;10;1;151;0;1;0;0;1;0;0.00;0.60;0.60;0.00;0.60;Matches
16;Kubilay Aktaş\Kubilay-Aktas;tr TUR;MFDF;Gaziantep FK;24;1995;2;2;180;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
17;Ufuk Akyol\Ufuk-Akyol;de GER;MF;Antalyaspor;21;1997;19;17;1380;2;0;0;0;4;0;0.13;0.00;0.13;0.13;0.13;Matches
18;Mehmet Akyüz\Mehmet-Akyuz;tr TUR;FW;Denizlispor;33;1986;7;1;172;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
19;Burak Albayrak\Burak-Albayrak;tr TUR;DF;Rizespor;21;1998;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
20;Eren Albayrak\Eren-Albayrak;tr TUR;DF;Antalyaspor;28;1991;9;7;669;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
21;Danijel Aleksić\Danijel-Aleksic;rs SRB;MF;Başakşehir;28;1991;15;7;736;4;1;0;0;2;0;0.49;0.12;0.61;0.49;0.61;Matches
22;Hasan Ali Kaldırım\Hasan-Ali-Kaldirim;tr TUR;DF;Fenerbahçe;29;1989;9;8;715;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
23;Ömer Ali Şahiner\Omer-Ali-Sahiner;tr TUR;MFFW;Konyaspor;27;1992;22;22;1868;3;0;0;0;4;1;0.14;0.00;0.14;0.14;0.14;Matches
24;Barış Alıcı\Baris-Alici;tr TUR;MF;Rizespor;22;1997;7;0;138;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
25;Ziya Alkurt\Ziya-Alkurt;tr TUR;MF;Kayserispor;28;1990;11;6;702;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
26;Harun Alpsoy\Harun-Alpsoy;ch SUI;MF;Antalyaspor;22;1997;3;0;35;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
27;Gökhan Alsan\Gokhan-Alsan;tr TUR;MF;Gaziantep FK;29;1990;1;0;13;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
28;Emircan Altıntaş\Emircan-Altintas;tr TUR;MF;Alanyaspor;24;1995;1;0;15;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
29;Hüseyin Altıntaş\Huseyin-Altintas;tr TUR;GK;Denizlispor;24;1994;1;0;;0;0;0;0;1;0;;;;;;Matches
30;Amilton\Amilton;br BRA;MFFW;Antalyaspor;29;1989;18;14;1262;1;0;0;0;2;0;0.07;0.00;0.07;0.07;0.07;Matches
31;Florin Andone\Florin-Andone;ro ROU;FW;Galatasaray;26;1993;7;6;462;2;0;1;1;1;0;0.39;0.00;0.39;0.19;0.19;Matches
32;Diego Ângelo\Diego-Angelo;br BRA;DF;Antalyaspor;33;1986;15;15;1344;1;2;0;0;3;1;0.07;0.13;0.20;0.07;0.20;Matches
33;Diego Ângelo\Diego-Angelo;br BRA;DF;Kayserispor;33;1986;5;5;450;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
34;Marin Aničić\Marin-Anicic;ba BIH;DF;Konyaspor;29;1989;20;20;1800;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
35;Taylan Antalyalı\Taylan-Antalyali;tr TUR;MF;Galatasaray;24;1995;8;2;250;1;0;0;0;0;0;0.36;0.00;0.36;0.36;0.36;Matches
36;Aaron Appindangoyé\Aaron-Appindangoye;ga GAB;DF;Sivasspor;27;1992;24;24;2160;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
37;Hakan Arslan\Hakan-Arslan;tr TUR;MF;Sivasspor;31;1988;23;23;2070;6;2;0;0;6;0;0.26;0.09;0.35;0.26;0.35;Matches
38;Tolgay Arslan\Tolgay-Arslan;de GER;MF;Fenerbahçe;28;1990;8;1;84;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
39;Muhammet Arslantaş\Muhammet-Arslantas;tr TUR;FW;Başakşehir;18;2001;1;0;2;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
40;Serkan Asan\Serkan-Asan;tr TUR;DF;Trabzonspor;20;1999;3;1;123;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
41;Kerem Atakan Kesgin\Kerem-Atakan-Kesgin;tr TUR;MF;Göztepe;18;2000;1;0;5;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
42;Donis Avdijaj\Donis-Avdijaj;xk KVX;MF;Trabzonspor;22;1996;8;3;239;1;1;0;0;1;0;0.38;0.38;0.75;0.38;0.75;Matches
43;Selim Ay\Selim-Ay;tr TUR;DF;Konyaspor;28;1991;10;10;900;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
44;Berat Ayberk Özdemir\Berat-Ayberk-Ozdemir;tr TUR;MF;Gençlerbirliği;21;1998;21;14;1237;1;0;0;0;4;0;0.07;0.00;0.07;0.07;0.07;Matches
45;Soner Aydoğdu\Soner-Aydogdu;tr TUR;MF;Başakşehir;28;1991;1;1;64;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
46;Soner Aydoğdu\Soner-Aydogdu;tr TUR;MF;Göztepe;28;1991;20;20;1686;3;6;0;1;7;0;0.16;0.32;0.48;0.16;0.48;Matches
47;Ender Aygören\Ender-Aygoren;tr TUR;MF;Ankaragücü;19;2000;1;0;25;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
48;Yalçın Ayhan\Yalcin-Ayhan;tr TUR;DF;Ankaragücü;37;1982;4;1;96;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
49;Floyd Ayité\Floyd-Ayite;tg TOG;MFFW;Gençlerbirliği;30;1988;14;9;909;3;0;0;0;0;0;0.30;0.00;0.30;0.30;0.30;Matches
50;Sakıb Aytaç\Sakib-Aytac;tr TUR;DF;Yeni Mal'spor;27;1991;17;17;1496;0;1;0;0;4;0;0.00;0.06;0.06;0.00;0.06;Matches
51;Abdul Aziz Tetteh\Abdul-Aziz-Tetteh;gh GHA;MF;Gaziantep FK;29;1990;6;6;460;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
52;Serdar Aziz\Serdar-Aziz;tr TUR;DF;Fenerbahçe;28;1990;16;16;1374;3;0;0;0;7;0;0.20;0.00;0.20;0.20;0.20;Matches
53;Demba Ba\Demba-Ba;sn SEN;FWMF;Başakşehir;34;1985;18;9;992;8;2;1;1;4;0;0.73;0.18;0.91;0.64;0.82;Matches
54;Mame Baba Thiam\Mame-Baba-Thiam;sn SEN;MFFW;Kasımpaşa;26;1992;15;14;1176;6;1;0;0;4;0;0.46;0.08;0.54;0.46;0.54;Matches
55;Ryan Babel\Ryan-Babel;nl NED;MFFW;Galatasaray;32;1986;15;13;1243;5;0;1;1;5;0;0.36;0.00;0.36;0.29;0.29;Matches
56;Baiano\Baiano;br BRA;DF;Alanyaspor;32;1987;9;9;728;0;2;0;0;3;0;0.00;0.25;0.25;0.00;0.25;Matches
57;Fabrício Baiano\Fabricio-Baiano;br BRA;MFDF;Gençlerbirliği;27;1992;19;18;1492;0;0;0;0;7;0;0.00;0.00;0.00;0.00;0.00;Matches
58;Riad Bajić\Riad-Bajic;ba BIH;FW;Konyaspor;25;1994;19;12;1077;1;1;0;0;1;0;0.08;0.08;0.17;0.08;0.17;Matches
59;Anastasios Bakasetas\Anastasios-Bakasetas;gr GRE;MF;Alanyaspor;26;1993;24;24;1999;6;4;0;0;3;0;0.27;0.18;0.45;0.27;0.45;Matches
60;Göktuğ Bakırbaş\Goktug-Bakirbas;tr TUR;GK;Göztepe;23;1996;4;2;262;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
61;Bünyamin Balcı\Bunyamin-Balci;tr TUR;DF;Antalyaspor;19;2000;7;6;585;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
62;Yacine Bammou\Yacine-Bammou;ma MAR;FWMF;Alanyaspor;27;1991;16;5;528;1;0;0;0;1;0;0.17;0.00;0.17;0.17;0.17;Matches
63;Modou Barrow\Modou-Barrow;gm GAM;MF;Denizlispor;26;1992;22;21;1720;3;2;0;0;3;1;0.16;0.10;0.26;0.16;0.26;Matches
64;Bilal Başaçıkoğlu\Bilal-Basacikoglu;tr TUR;MFFW;Kayserispor;24;1995;11;5;483;0;3;0;0;1;0;0.00;0.56;0.56;0.00;0.56;Matches
65;Bilal Başaçıkoğlu\Bilal-Basacikoglu;tr TUR;FWMF;Trabzonspor;24;1995;1;0;3;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
66;Altay Bayındır\Altay-Bayindir;tr TUR;GK;Fenerbahçe;21;1998;24;24;2160;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
67;Emin Bayram\Emin-Bayram;tr TUR;DF;Galatasaray;16;2003;1;0;;0;0;0;0;0;0;;;;;;Matches
68;Ömer Bayram\Omer-Bayram;tr TUR;MF;Galatasaray;28;1991;20;18;1641;1;10;0;0;6;0;0.05;0.55;0.60;0.05;0.60;Matches
69;Aziz Behich\Aziz-Behich;au AUS;DF;Başakşehir;28;1990;4;4;328;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
70;Younès Belhanda\Younes-Belhanda;ma MAR;MF;Galatasaray;29;1990;14;13;1115;3;1;3;3;6;1;0.24;0.08;0.32;0.00;0.08;Matches
71;Emre Belözoğlu\Emre-Belozoglu;tr TUR;MF;Fenerbahçe;38;1980;18;13;1099;1;4;1;2;4;0;0.08;0.33;0.41;0.00;0.33;Matches
72;Syam Ben Youssef\Syam-Ben-Youssef;tn TUN;DF;Kasımpaşa;30;1989;15;15;1350;1;0;0;0;4;0;0.07;0.00;0.07;0.07;0.07;Matches
73;Syam Ben Youssef\Syam-Ben-Youssef;tn TUN;DF;Denizlispor;30;1989;2;2;180;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
74;Zakarya Bergdich\Zakarya-Bergdich;ma MAR;DF;Denizlispor;30;1989;14;14;1215;1;2;0;0;4;0;0.07;0.15;0.22;0.07;0.22;Matches
75;Rahmetullah Berişbek\Rahmetullah-Berisbek;tr TUR;MF;Gençlerbirliği;20;1999;14;1;257;1;1;0;0;1;0;0.35;0.35;0.70;0.35;0.70;Matches
76;Beto\Beto;pt POR;GK;Göztepe;37;1982;21;21;1804;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;Matches
