Squad;# Pl;MP;Starts;Min;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm
Alanyaspor;1;24;24;2160;24;1.00;69;54;.783;11;6;7;4;16.7;10;9;1;0
Ankaragücü;2;25;25;2250;44;1.76;126;88;.690;4;8;13;4;16.0;6;5;1;0
Antalyaspor;2;24;24;2160;42;1.75;99;60;.606;6;8;10;6;25.0;3;3;0;0
Başakşehir;1;24;24;2160;24;1.00;97;76;.784;14;7;3;5;20.8;3;3;0;0
Beşiktaş;2;25;25;2250;32;1.28;93;64;.699;13;4;8;7;28.0;4;4;0;0
Denizlispor;2;24;24;2160;32;1.33;101;74;.703;7;6;11;7;29.2;5;2;3;0
Fenerbahçe;1;24;24;2160;31;1.29;79;50;.646;11;6;7;5;20.8;4;3;0;1
Galatasaray;2;24;24;2160;18;0.75;87;71;.816;14;6;4;11;45.8;2;2;0;0
Gaziantep FK;2;24;24;2160;38;1.58;105;73;.676;8;7;9;3;12.5;6;4;2;0
Gençlerbirliği;3;24;24;2160;42;1.75;122;85;.697;7;6;11;5;20.8;6;5;1;0
Göztepe;2;23;23;2066;25;1.09;84;62;.738;9;7;7;7;30.4;3;3;0;0
Kasımpaşa;2;24;24;2160;49;2.04;132;92;.689;5;5;14;5;20.8;10;8;1;1
Kayserispor;2;24;24;2160;56;2.33;146;97;.664;4;7;13;4;16.7;8;7;0;1
Konyaspor;2;24;24;2157;32;1.34;106;76;.717;4;10;10;7;29.2;2;2;0;0
Rizespor;3;23;23;2067;39;1.70;96;61;.635;7;3;13;6;26.1;6;4;0;2
Sivasspor;2;24;24;2160;26;1.08;99;76;.768;14;6;4;7;29.2;4;3;0;1
Trabzonspor;2;23;23;2070;25;1.09;101;78;.772;14;6;3;5;21.7;2;2;0;0
Yeni Mal'spor;1;23;23;2070;34;1.48;107;77;.710;6;6;11;6;26.1;4;3;1;0
