"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
1;Mohamed Abarhoun\Mohamed-Abarhoun;ma MAR;DF;Rizespor;30;1989;20;1738;87;84.0;19.3;19;90;1;28;3;1.20;20;29;-9;-0.47;+1.16;Matches
2;Aymen Abdennour\Aymen-Abdennour;tn TUN;DF;Kayserispor;29;1989;12;901;75;41.7;10.0;11;81;1;8;3;0.67;8;21;-13;-1.30;-0.01;Matches
3;Tolgahan Acar\Tolgahan-Acar;tr TUR;GK;Denizlispor;33;1986;0;;;;;0;;0;;22;;;;;;;Matches
4;Yusuf Acer\Yusuf-Acer;tr TUR;DF;Rizespor;22;1997;0;;;;;0;;0;;6;;;;;;;Matches
5;Mertcan Açıkgöz\Mertcan-Acikgoz;tr TUR;MF;Beşiktaş;19;1999;0;;;;;0;;0;;1;;;;;;;Matches
6;Afriyie Acquah\Afriyie-Acquah;gh GHA;MF;Yeni Mal'spor;27;1992;18;1434;80;69.3;15.9;16;86;2;27;1;1.11;27;23;+4;+0.25;+0.68;Matches
7;Emmanuel Adebayor\Emmanuel-Adebayor;tg TOG;FW;Kayserispor;35;1984;8;670;84;31.0;7.4;8;84;0;;0;0.63;9;15;-6;-0.81;+0.70;Matches
8;Übeyd Adıyaman\Ubeyd-Adiyaman;tr TUR;GK;Gençlerbirliği;21;1997;0;;;;;0;;0;;12;;;;;;;Matches
9;Adryan\Adryan;br BRA;FWMF;Kayserispor;24;1994;3;91;30;4.2;1.0;0;;3;30;2;0.67;1;1;0;0.00;+1.35;Matches
10;Sedat Ağçay\Sedat-Agcay;tr TUR;MF;Ankaragücü;37;1981;19;1413;74;62.8;15.7;19;74;0;;4;0.89;12;24;-12;-0.76;+0.42;Matches
11;Ismaïl Aissati\Ismail-Aissati;ma MAR;MF;Denizlispor;30;1988;23;1733;75;80.2;19.3;19;81;4;48;0;1.13;21;22;-1;-0.05;+1.63;Matches
12;Mahmut Akan\Mahmut-Akan;tr TUR;FW;Ankaragücü;26;1993;0;;;;;0;;0;;13;;;;;;;Matches
13;Emre Akbaba\Emre-Akbaba;tr TUR;MF;Galatasaray;26;1992;7;412;59;19.1;4.6;5;79;2;9;0;3.00;12;2;+10;+2.18;+1.46;Matches
14;Mustafa Akbaş\Mustafa-Akbas;tr TUR;DF;Yeni Mal'spor;29;1990;14;1144;82;55.3;12.7;13;87;1;18;6;1.07;20;15;+5;+0.39;+0.78;Matches
15;Abdulcebrail Akbulut\Abdulcebrail-Akbulut;tr TUR;DF;Fenerbahçe;17;2001;0;;;;;0;;0;;1;;;;;;;Matches
16;Arda Akbulut\Arda-Akbulut;tr TUR;GK;Trabzonspor;18;2001;0;;;;;0;;0;;3;;;;;;;Matches
17;Halil Akbunar\Halil-Akbunar;tr TUR;MFFW;Göztepe;25;1993;23;1511;66;73.0;16.8;17;80;6;26;0;1.48;22;20;+2;+0.12;-0.20;Matches
18;Yunus Akgün\Yunus-Akgun;tr TUR;FW;Galatasaray;19;2000;1;7;7;0.3;0.1;0;;1;7;3;3.00;0;1;-1;-12.86;-13.90;Matches
19;Gökhan Akkan\Gokhan-Akkan;tr TUR;GK;Rizespor;24;1995;20;1766;88;85.3;19.6;20;88;0;;0;0.90;20;36;-16;-0.82;-1.11;Matches
20;Atakan Akkaynak\Atakan-Akkaynak;de GER;MF;Rizespor;20;1999;1;9;9;0.4;0.1;0;;1;9;19;0.00;0;0;0;0.00;+0.66;Matches
21;Fatih Aksoy\Fatih-Aksoy;tr TUR;MF;Sivasspor;21;1997;15;1242;83;57.5;13.8;15;83;0;;8;2.20;23;12;+11;+0.80;+0.01;Matches
22;Asım Aksungur\Asim-Aksungur;tr TUR;MF;Denizlispor;18;2000;0;;;;;0;;0;;1;;;;;;;Matches
23;Aksel Aktas\Aksel-Aktas;tr TUR;MF;Kayserispor;20;1999;10;151;15;7.0;1.7;1;65;9;10;9;0.80;1;9;-8;-4.77;-3.74;Matches
24;Kubilay Aktaş\Kubilay-Aktas;tr TUR;MFDF;Gaziantep FK;24;1995;2;180;90;8.3;2.0;2;90;0;;22;1.50;2;1;+1;+0.50;+0.73;Matches
25;Ufuk Akyol\Ufuk-Akyol;de GER;MF;Antalyaspor;21;1997;19;1380;73;63.9;15.3;17;80;2;12;4;1.05;13;27;-14;-0.91;-0.80;Matches
26;Kerem Akyüz\Kerem-Akyuz;tr TUR;DFGK;Denizlispor;30;1989;0;;;;;0;;0;;11;;;;;;;Matches
27;Mehmet Akyüz\Mehmet-Akyuz;tr TUR;FW;Denizlispor;33;1986;7;172;25;8.0;1.9;1;90;6;14;9;1.00;4;4;0;0.00;+0.41;Matches
28;Burak Albayrak\Burak-Albayrak;tr TUR;DF;Rizespor;21;1998;1;90;90;4.3;1.0;1;90;0;;22;0.00;1;2;-1;-1.00;-0.36;Matches
29;Eren Albayrak\Eren-Albayrak;tr TUR;DF;Antalyaspor;28;1991;9;669;74;31.0;7.4;7;88;2;27;11;0.56;5;14;-9;-1.21;-0.85;Matches
30;Danijel Aleksić\Danijel-Aleksic;rs SRB;MF;Başakşehir;28;1991;15;736;49;34.1;8.2;7;83;8;20;1;2.13;17;7;+10;+1.22;+0.46;Matches
31;Doğan Alemdar\Dogan-Alemdar;tr TUR;GK;Kayserispor;16;2002;0;;;;;0;;0;;4;;;;;;;Matches
32;Hasan Ali Kaldırım\Hasan-Ali-Kaldirim;tr TUR;DF;Fenerbahçe;29;1989;9;715;79;33.1;7.9;8;89;1;0;2;1.67;17;12;+5;+0.63;+0.13;Matches
33;Ömer Ali Şahiner\Omer-Ali-Sahiner;tr TUR;MFFW;Konyaspor;27;1992;22;1868;85;86.5;20.8;22;85;0;;0;0.95;17;26;-9;-0.43;+0.80;Matches
34;Barış Alıcı\Baris-Alici;tr TUR;MF;Rizespor;22;1997;7;138;20;6.7;1.5;0;;7;20;10;0.86;2;7;-5;-3.26;-2.80;Matches
35;Ziya Alkurt\Ziya-Alkurt;tr TUR;MF;Kayserispor;28;1990;11;702;64;32.5;7.8;6;79;5;45;5;0.55;6;15;-9;-1.15;+0.20;Matches
36;Ömer Alper Tatlısu\Omer-Alper-Tatlisu;tr TUR;DF;Gençlerbirliği;22;1997;0;;;;;0;;0;;3;;;;;;;Matches
37;Harun Alpsoy\Harun-Alpsoy;ch SUI;MF;Antalyaspor;22;1997;3;35;12;1.6;0.4;0;;3;12;21;2.00;0;0;0;0.00;+0.64;Matches
38;Gökhan Alsan\Gokhan-Alsan;tr TUR;MF;Gaziantep FK;29;1990;1;13;13;0.6;0.1;0;;1;13;2;3.00;0;0;0;0.00;+0.17;Matches
39;Mahmut Altınkaya\Mahmut-Altinkaya;tr TUR;MF;Ankaragücü;19;2000;0;;;;;0;;0;;1;;;;;;;Matches
40;Emircan Altıntaş\Emircan-Altintas;tr TUR;MF;Alanyaspor;24;1995;1;15;15;0.7;0.2;0;;1;15;6;0.00;0;1;-1;-6.00;-6.80;Matches
41;Hüseyin Altıntaş\Huseyin-Altintas;tr TUR;GK;Denizlispor;24;1994;1;;0;0.0;0.0;0;;1;0;8;1.00;1;1;0;;;Matches
42;Amilton\Amilton;br BRA;MFFW;Antalyaspor;29;1989;18;1262;70;58.4;14.0;14;81;4;33;1;1.00;13;27;-14;-1.00;-0.90;Matches
43;Florin Andone\Florin-Andone;ro ROU;FW;Galatasaray;26;1993;7;462;66;21.4;5.1;6;75;1;11;3;2.00;6;3;+3;+0.58;-0.53;Matches
44;Diego Ângelo\Diego-Angelo;br BRA;DF;Antalyaspor;33;1986;15;1344;90;62.2;14.9;15;90;0;;2;0.87;14;29;-15;-1.00;-1.00;Matches
45;Diego Ângelo\Diego-Angelo;br BRA;DF;Kayserispor;33;1986;5;450;90;20.8;5.0;5;90;0;;0;1.60;7;8;-1;-0.20;+1.38;Matches
46;Marin Aničić\Marin-Anicic;ba BIH;DF;Konyaspor;29;1989;20;1800;90;83.3;20.0;20;90;0;;1;1.00;16;26;-10;-0.50;+0.25;Matches
47;Taylan Antalyalı\Taylan-Antalyali;tr TUR;MF;Galatasaray;24;1995;8;250;31;11.6;2.8;2;90;6;12;11;2.38;10;2;+8;+2.88;+2.13;Matches
48;Sefa Anük\Sefa-Anuk;tr TUR;DF;Gaziantep FK;19;1999;0;;;;;0;;0;;1;;;;;;;Matches
49;Aaron Appindangoyé\Aaron-Appindangoye;ga GAB;DF;Sivasspor;27;1992;24;2160;90;100.0;24.0;24;90;0;;0;2.00;45;26;+19;+0.79;;Matches
50;Hakan Arıkan\Hakan-Arikan;tr TUR;GK;Kayserispor;36;1982;0;;;;;0;;0;;15;;;;;;;Matches
51;Hakan Arslan\Hakan-Arslan;tr TUR;MF;Sivasspor;31;1988;23;2070;90;95.8;23.0;23;90;0;;0;1.96;42;25;+17;+0.74;-1.26;Matches
52;Tolgay Arslan\Tolgay-Arslan;de GER;MF;Fenerbahçe;28;1990;8;84;11;3.9;0.9;1;60;7;3;14;2.13;2;2;0;0.00;-0.56;Matches
53;Muhammet Arslantaş\Muhammet-Arslantas;tr TUR;FW;Başakşehir;18;2001;1;2;2;0.1;0.0;0;;1;2;4;1.00;0;0;0;0.00;-0.92;Matches
54;Serkan Asan\Serkan-Asan;tr TUR;DF;Trabzonspor;20;1999;3;123;41;5.9;1.4;1;90;2;17;10;3.00;5;1;+4;+2.93;+1.77;Matches
55;Kerem Atakan Kesgin\Kerem-Atakan-Kesgin;tr TUR;MF;Göztepe;18;2000;1;5;5;0.2;0.1;0;;1;5;2;3.00;0;0;0;0.00;-0.17;Matches
56;Mücahit Atalay\Mucahit-Atalay;tr TUR;GK;Konyaspor;27;1991;0;;;;;0;;0;;19;;;;;;;Matches
57;Ali Ateş\Ali-Ates;tr TUR;MF;Gaziantep FK;20;1999;0;;;;;0;;0;;10;;;;;;;Matches
58;Donis Avdijaj\Donis-Avdijaj;xk KVX;MF;Trabzonspor;22;1996;8;239;30;11.5;2.7;3;59;5;13;9;1.13;6;5;+1;+0.38;-1.00;Matches
59;Selim Ay\Selim-Ay;tr TUR;DF;Konyaspor;28;1991;10;900;90;41.7;10.0;10;90;0;;13;0.90;5;9;-4;-0.40;+0.24;Matches
60;Hasan Ayaroğlu\Hasan-Ayaroglu;tr TUR;FWMF;Alanyaspor;24;1995;0;;;;;0;;0;;3;;;;;;;Matches
61;Berat Ayberk Özdemir\Berat-Ayberk-Ozdemir;tr TUR;MF;Gençlerbirliği;21;1998;21;1237;59;57.3;13.7;14;73;7;31;2;1.29;16;24;-8;-0.58;-0.39;Matches
62;Soner Aydoğdu\Soner-Aydogdu;tr TUR;MF;Başakşehir;28;1991;1;64;64;3.0;0.7;1;64;0;;1;0.00;0;0;0;0.00;-0.94;Matches
63;Soner Aydoğdu\Soner-Aydogdu;tr TUR;MF;Göztepe;28;1991;20;1686;84;81.4;18.7;20;84;0;;0;1.70;27;15;+12;+0.64;+2.52;Matches
64;Ender Aygören\Ender-Aygoren;tr TUR;MF;Ankaragücü;19;2000;1;25;25;1.1;0.3;0;;1;25;11;0.00;0;3;-3;-10.80;-9.99;Matches
65;Yalçın Ayhan\Yalcin-Ayhan;tr TUR;DF;Ankaragücü;37;1982;4;96;24;4.3;1.1;1;45;3;17;9;1.50;1;2;-1;-0.94;-0.02;Matches
66;Floyd Ayité\Floyd-Ayite;tg TOG;MFFW;Gençlerbirliği;30;1988;14;909;65;42.1;10.1;9;82;5;34;0;1.07;17;16;+1;+0.10;+0.89;Matches
67;Sakıb Aytaç\Sakib-Aytac;tr TUR;DF;Yeni Mal'spor;27;1991;17;1496;88;72.3;16.6;17;88;0;;1;1.18;28;25;+3;+0.18;+0.49;Matches
68;Sakıb Aytaç\Sakib-Aytac;tr TUR;DF;Kayserispor;27;1991;0;;;;;0;;0;;1;;;;;;;Matches
