Rk;Player;Nation;Pos;Squad;Age;Born;90s;GA;PKA;Goals-FK;Goals-CK;Goals-OG;Expected-PSxG;Expected-PSxG/SoT;Expected-PSxG+/-;Expected-/90;Launched-Cmp;Launched-Att;Launched-Cmp%;Passes-Att;Passes-Thr;Passes-Launch%;Passes-AvgLen;Goal Kicks-Att;Goal Kicks-Launch%;Goal Kicks-AvgLen;Crosses-Opp;Crosses-Stp;Crosses-Stp%;Sweeper-#OPA;Sweeper-#OPA/90;Sweeper-AvgDist;Matches;
1;Antonio Adán\Antonio-Adan;es ESP;GK;pt Sporting CP;34-143;1987;2.0;6;0;0;0;0;4.6;0.51;-1.4;-0.70;15;29;51.7;67;6;40.3;35.8;8;25.0;30.6;18;4;22.2;0;0.00;12.0;Matches
2;Alisson\Alisson;br BRA;GK;eng Liverpool;29-001;1992;2.0;3;0;0;0;0;2.4;0.41;-0.6;-0.28;10;17;58.8;58;11;27.6;32.0;3;33.3;36.3;7;0;0.0;1;0.50;16.6;Matches
3;Giorgos Athanasiadis\Giorgos-Athanasiadis;gr GRE;GK;md Sheriff Tiraspol;28-179;1993;2.0;1;1;0;0;0;4.2;0.25;+3.2;+1.58;13;40;32.5;34;3;50.0;43.6;35;65.7;47.8;29;1;3.4;0;0.00;8.0;Matches
4;David von Ballmoos\David-von-Ballmoos;ch SUI;GK;ch Young Boys;26-277;1994;2.0;2;0;0;0;0;3.0;0.33;+1.0;+0.50;14;39;35.9;53;2;66.0;44.6;9;44.4;36.7;13;2;15.4;1;0.50;14.5;Matches
5;Yassine Bounou\Yassine-Bounou;ma MAR;GK;es Sevilla;30-181;1991;2.0;2;1;0;0;0;2.9;0.26;+0.9;+0.46;11;20;55.0;41;8;36.6;36.0;8;62.5;43.4;12;2;16.7;1;0.50;17.2;Matches
6;Denys Boyko\Denys-Boyko;ua UKR;GK;ua Dynamo Kyiv;33-247;1988;1.0;0;0;0;0;0;0.5;0.12;+0.5;+0.46;11;22;50.0;27;3;55.6;39.9;8;87.5;61.8;8;0;0.0;0;0.00;13.3;Matches
7;Heorhiy Bushchan\Heorhiy-Bushchan;ua UKR;GK;ua Dynamo Kyiv;27-125;1994;1.0;5;1;0;0;0;2.6;0.30;-2.4;-2.36;7;17;41.2;22;2;40.9;39.7;13;61.5;48.7;11;0;0.0;0;0.00;8.3;Matches
8;Koen Casteels\Koen-Casteels;be BEL;GK;de Wolfsburg;29-100;1992;2.0;1;1;0;0;0;2.9;0.27;+1.9;+0.93;15;47;31.9;65;7;44.6;38.1;19;94.7;63.8;27;3;11.1;0;0.00;14.8;Matches
9;Diogo Costa\Diogo-Costa;pt POR;GK;pt Porto;22-014;1999;2.0;5;0;0;0;0;4.0;0.29;-1.0;-0.51;21;53;39.6;83;7;51.8;43.5;16;62.5;48.9;14;1;7.1;2;1.00;16.2;Matches
10;Thibaut Courtois\Thibaut-Courtois;be BEL;GK;es Real Madrid;29-145;1992;2.0;2;0;0;0;0;3.0;0.37;+1.0;+0.49;4;10;40.0;63;12;11.1;23.9;9;33.3;29.7;17;0;0.0;3;1.50;25.3;Matches
