Squad;# Pl;90s;Goals-GA;Goals-PKA;Goals-FK;Goals-CK;Goals-OG;Expected-PSxG;Expected-PSxG/SoT;Expected-PSxG+/-;Expected-/90;Launched-Cmp;Launched-Att;Launched-Cmp%;Passes-Att;Passes-Thr;Passes-Launch%;Passes-AvgLen;Goal Kicks-Att;Goal Kicks-Launch%;Goal Kicks-AvgLen;Crosses-Opp;Crosses-Stp;Crosses-Stp%;Sweeper-#OPA;Sweeper-#OPA/90;Sweeper-AvgDist;
nl Ajax;1;2.0;1;0;0;0;0;0.8;0.28;-0.2;-0.08;8;18;44.4;56;3;30.4;33.0;9;11.1;26.2;11;0;0.0;0;0.00;13.3
it Atalanta;1;2.0;2;0;0;0;0;3.0;0.37;+1.0;+0.49;8;23;34.8;44;7;31.8;35.0;11;81.8;55.0;9;1;11.1;0;0.00;14.0
es Atlético Madrid;1;2.0;1;0;0;1;0;1.6;0.41;+0.6;+0.32;10;23;43.5;37;12;40.5;32.8;18;44.4;38.7;9;0;0.0;1;0.50;13.9
es Barcelona;1;2.0;6;1;0;0;0;4.4;0.30;-1.6;-0.79;16;26;61.5;70;12;27.1;28.6;13;53.8;39.5;10;2;20.0;3;1.50;19.2
de Bayern Munich;1;2.0;0;0;0;0;0;0.2;0.09;+0.2;+0.09;15;18;83.3;68;11;26.5;30.2;7;0.0;21.3;9;1;11.1;2;1.00;17.4
pt Benfica;1;2.0;0;0;0;0;0;0.9;0.23;+0.9;+0.46;14;24;58.3;39;5;53.8;41.0;9;33.3;36.8;23;2;8.7;1;0.50;11.4
tr Beşiktaş;1;2.0;4;0;0;0;0;4.4;0.31;+0.4;+0.19;11;27;40.7;41;11;39.0;37.7;21;52.4;44.7;25;2;8.0;0;0.00;11.4
eng Chelsea;1;2.0;1;0;0;0;0;0.9;0.30;-0.1;-0.05;2;5;40.0;29;6;10.3;22.6;8;25.0;28.9;2;1;50.0;2;1.00;17.7
be Club Brugge;1;2.0;2;0;0;0;0;3.0;0.37;+1.0;+0.48;22;44;50.0;48;4;70.8;47.1;13;76.9;46.5;9;2;22.2;1;0.50;10.5
de Dortmund;1;2.0;1;0;0;0;0;2.2;0.56;+1.2;+0.61;2;8;25.0;41;5;14.6;27.1;18;11.1;26.8;21;1;4.8;2;1.00;14.5
ua Dynamo Kyiv;2;2.0;5;1;0;0;0;3.1;0.22;-1.9;-0.95;18;39;46.2;49;5;49.0;39.8;21;71.4;53.7;19;0;0.0;0;0.00;10.0
it Inter;1;2.0;1;0;0;0;0;1.2;0.42;+0.2;+0.12;8;18;44.4;63;9;25.4;28.0;8;25.0;26.9;13;1;7.7;0;0.00;8.6
it Juventus;1;2.0;0;0;0;0;0;0.2;0.12;+0.2;+0.12;9;21;42.9;45;13;35.6;36.9;17;29.4;29.5;24;3;12.5;0;0.00;10.8
fr Lille;1;2.0;2;2;0;0;0;1.9;0.07;-0.1;-0.07;13;33;39.4;49;8;51.0;38.3;11;72.7;51.5;12;0;0.0;1;0.50;10.8
eng Liverpool;1;2.0;3;0;0;0;0;2.4;0.41;-0.6;-0.28;10;17;58.8;58;11;27.6;32.0;3;33.3;36.3;7;0;0.0;1;0.50;16.6
se Malmö;2;2.0;7;1;0;1;0;6.3;0.34;-0.7;-0.36;6;13;46.2;33;10;24.2;27.1;22;22.7;33.0;24;0;0.0;0;0.00;12.9
eng Manchester City;1;2.0;5;0;0;0;0;2.3;0.38;-2.7;-1.35;4;9;44.4;42;2;16.7;27.4;10;20.0;24.7;4;0;0.0;0;0.00;11.5
eng Manchester Utd;1;2.0;3;0;0;0;0;3.2;0.26;+0.2;+0.08;11;22;50.0;32;4;40.6;36.5;16;56.3;44.0;18;1;5.6;1;0.50;13.9
it Milan;1;2.0;5;1;0;1;1;3.7;0.21;-0.3;-0.14;6;32;18.8;58;12;34.5;36.3;18;66.7;59.0;26;1;3.8;1;0.50;10.7
fr Paris S-G;2;2.0;1;0;0;0;0;2.7;0.19;+1.7;+0.83;6;18;33.3;52;13;23.1;29.1;15;40.0;33.1;20;2;10.0;1;0.50;12.0
pt Porto;1;2.0;5;0;0;0;0;4.0;0.29;-1.0;-0.51;21;53;39.6;83;7;51.8;43.5;16;62.5;48.9;14;1;7.1;2;1.00;16.2
de RB Leipzig;1;2.0;8;1;0;2;1;5.7;0.37;-1.3;-0.63;13;31;41.9;86;9;34.9;33.2;5;20.0;18.8;10;1;10.0;2;1.00;18.8
at RB Salzburg;1;2.0;2;1;1;0;0;1.5;0.17;-0.5;-0.27;10;23;43.5;43;10;32.6;34.3;16;56.3;43.1;20;2;10.0;1;0.50;9.8
es Real Madrid;1;2.0;2;0;0;0;0;3.0;0.37;+1.0;+0.49;4;10;40.0;63;12;11.1;23.9;9;33.3;29.7;17;0;0.0;3;1.50;25.3
es Sevilla;1;2.0;2;1;0;0;0;2.9;0.26;+0.9;+0.46;11;20;55.0;41;8;36.6;36.0;8;62.5;43.4;12;2;16.7;1;0.50;17.2
ua Shakhtar;1;2.0;2;0;0;0;0;1.5;0.26;-0.5;-0.23;6;10;60.0;48;7;14.6;25.4;9;33.3;30.1;11;0;0.0;2;1.00;32.0
