Squad;# Pl;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;
nl Ajax;16;2.0;37;23;13;20;4;13;30;43.3;17;283;92;32.5;60;141;82;24;4;0;20;18;55;28;1
it Atalanta;19;2.0;46;30;22;13;11;26;49;53.1;23;297;126;42.4;82;115;100;26;3;0;23;28;74;25;0
es Atlético Madrid;17;2.0;36;26;24;10;2;13;31;41.9;18;240;86;35.8;93;90;57;13;1;0;12;25;61;34;2
es Barcelona;19;2.0;33;20;16;12;5;19;42;45.2;23;348;83;23.9;113;162;73;34;8;0;26;22;55;22;0
de Bayern Munich;18;2.0;24;19;12;5;7;3;13;23.1;10;325;93;28.6;63;157;105;26;5;0;21;26;50;28;0
pt Benfica;19;2.0;24;17;14;8;2;12;37;32.4;25;269;87;32.3;83;111;75;23;7;1;16;18;42;41;0
tr Beşiktaş;20;2.0;41;24;27;11;3;20;59;33.9;39;374;104;27.8;198;138;38;25;6;0;19;32;73;34;0
eng Chelsea;18;2.0;29;17;9;11;9;9;17;52.9;8;253;75;29.6;54;100;99;25;2;0;23;27;56;17;0
be Club Brugge;16;2.0;45;30;17;19;9;17;39;43.6;22;420;123;29.3;113;220;87;38;8;0;30;44;89;27;0
de Dortmund;19;2.0;38;24;13;17;8;8;42;19.0;34;416;135;32.5;99;212;105;38;4;0;34;37;75;21;0
ua Dynamo Kyiv;20;2.0;41;22;29;11;1;12;44;27.3;32;417;115;27.6;216;156;45;34;10;0;24;33;74;38;1
it Inter;18;2.0;26;16;11;14;1;8;31;25.8;23;345;91;26.4;91;168;86;36;13;0;23;37;63;35;0
it Juventus;19;2.0;36;25;23;7;6;11;28;39.3;17;358;84;23.5;166;132;60;32;11;0;21;24;60;35;0
fr Lille;18;2.0;46;28;19;20;7;27;44;61.4;17;293;115;39.2;87;151;55;31;4;0;27;30;76;26;0
eng Liverpool;19;2.0;46;32;15;21;10;15;28;53.6;13;262;104;39.7;46;131;85;26;5;1;21;24;70;31;0
se Malmö;19;2.0;20;10;13;6;1;3;28;10.7;25;222;43;19.4;96;90;36;28;6;0;22;23;43;42;2
eng Manchester City;18;2.0;40;22;14;21;5;20;41;48.8;21;284;67;23.6;65;136;83;24;4;0;20;36;76;15;0
eng Manchester Utd;20;2.0;40;22;14;19;7;17;38;44.7;21;284;69;24.3;90;113;81;27;7;0;20;21;61;47;1
it Milan;18;2.0;58;37;34;19;5;18;36;50.0;18;275;84;30.5;141;109;25;35;16;0;19;41;99;51;0
fr Paris S-G;18;2.0;43;26;28;10;5;11;33;33.3;22;313;98;31.3;156;95;62;35;12;0;23;34;77;44;0
pt Porto;18;2.0;32;17;18;11;3;8;32;25.0;24;277;67;24.2;114;124;39;21;5;0;16;35;67;33;5
de RB Leipzig;18;2.0;32;22;19;10;3;15;33;45.5;18;357;114;31.9;97;180;80;33;7;0;26;29;61;39;2
at RB Salzburg;16;2.0;43;26;18;13;12;16;43;37.2;27;362;116;32.0;87;170;105;27;10;0;17;31;74;45;1
es Real Madrid;18;2.0;32;17;14;13;5;13;30;43.3;17;277;101;36.5;77;106;94;26;6;0;20;19;51;21;0
es Sevilla;19;2.0;26;17;13;7;6;7;27;25.9;20;196;79;40.3;60;73;63;27;5;0;22;28;54;31;0
ua Shakhtar;17;2.0;24;17;10;9;5;3;13;23.1;10;239;74;31.0;61;105;73;22;5;0;17;16;40;24;0
md Sheriff Tiraspol;16;2.0;44;32;32;9;3;16;52;30.8;36;301;87;28.9;164;109;28;55;20;0;35;40;84;71;0
pt Sporting CP;18;2.0;24;14;14;5;5;5;27;18.5;22;315;88;27.9;92;145;78;38;5;0;33;35;59;26;1
es Villarreal;20;2.0;37;22;20;13;4;9;28;32.1;19;241;74;30.7;96;99;46;19;5;0;14;36;73;32;0
de Wolfsburg;16;2.0;42;27;23;15;4;7;23;30.4;16;350;90;25.7;135;163;52;40;7;0;33;23;65;49;0
ch Young Boys;19;2.0;57;30;43;11;3;21;48;43.8;27;325;122;37.5;145;128;52;29;3;0;26;28;85;20;1
ru Zenit;16;2.0;26;15;17;7;2;3;21;14.3;18;352;94;26.7;129;131;92;29;7;0;22;36;62;28;0
