Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;W;D;L;Performance-CS;Performance-CS%;Performance-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;Matches;
1;Antonio Adán\Antonio-Adan;es ESP;GK;pt Sporting CP;34-143;1987;2;2;180;2.0;6;3.00;9;3;33.3;0;0;2;0;0.0;0;0;0;0;;Matches
2;Alisson\Alisson;br BRA;GK;eng Liverpool;29-001;1992;2;2;180;2.0;3;1.50;6;3;50.0;2;0;0;0;0.0;0;0;0;0;;Matches
3;Giorgos Athanasiadis\Giorgos-Athanasiadis;gr GRE;GK;md Sheriff Tiraspol;28-179;1993;2;2;180;2.0;1;0.50;13;13;100.0;2;0;0;1;50.0;1;1;0;0;0.0;Matches
4;David von Ballmoos\David-von-Ballmoos;ch SUI;GK;ch Young Boys;26-277;1994;2;2;180;2.0;2;1.00;9;7;77.8;1;0;1;0;0.0;0;0;0;0;;Matches
5;Yassine Bounou\Yassine-Bounou;ma MAR;GK;es Sevilla;30-181;1991;2;2;180;2.0;2;1.00;8;7;87.5;0;2;0;0;0.0;3;1;0;2;0.0;Matches
6;Denys Boyko\Denys-Boyko;ua UKR;GK;ua Dynamo Kyiv;33-247;1988;1;1;90;1.0;0;0.00;4;4;100.0;0;1;0;1;100.0;0;0;0;0;;Matches
7;Heorhiy Bushchan\Heorhiy-Bushchan;ua UKR;GK;ua Dynamo Kyiv;27-125;1994;1;1;90;1.0;5;5.00;6;2;33.3;0;0;1;0;0.0;1;1;0;0;0.0;Matches
8;Koen Casteels\Koen-Casteels;be BEL;GK;de Wolfsburg;29-100;1992;2;2;180;2.0;1;0.50;7;7;100.0;0;2;0;1;50.0;1;1;0;0;0.0;Matches
9;Diogo Costa\Diogo-Costa;pt POR;GK;pt Porto;22-014;1999;2;2;180;2.0;5;2.50;15;10;66.7;0;1;1;1;50.0;0;0;0;0;;Matches
10;Thibaut Courtois\Thibaut-Courtois;be BEL;GK;es Real Madrid;29-145;1992;2;2;180;2.0;2;1.00;8;6;75.0;1;0;1;1;50.0;0;0;0;0;;Matches
