Squad;# Pl;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;Performance-W;Performance-D;Performance-L;Performance-CS;Performance-CS%;Penalty Kicks-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;
nl Ajax;1;2;2;180;2.0;1;0.50;3;2;66.7;2;0;0;1;50.0;0;0;0;0;
it Atalanta;1;2;2;180;2.0;2;1.00;8;6;75.0;1;1;0;1;50.0;0;0;0;0;
es Atlético Madrid;1;2;2;180;2.0;1;0.50;4;3;75.0;1;1;0;1;50.0;0;0;0;0;
es Barcelona;1;2;2;180;2.0;6;3.00;12;7;58.3;0;0;2;0;0.0;1;1;0;0;0.0
de Bayern Munich;1;2;2;180;2.0;0;0.00;2;2;100.0;2;0;0;2;100.0;0;0;0;0;
pt Benfica;1;2;2;180;2.0;0;0.00;4;3;100.0;1;1;0;2;100.0;0;0;0;0;
tr Beşiktaş;1;2;2;180;2.0;4;2.00;14;10;71.4;0;0;2;0;0.0;0;0;0;0;
eng Chelsea;1;2;2;180;2.0;1;0.50;3;2;66.7;1;0;1;1;50.0;0;0;0;0;
be Club Brugge;1;2;2;180;2.0;2;1.00;8;6;75.0;1;1;0;0;0.0;0;0;0;0;
de Dortmund;1;2;2;180;2.0;1;0.50;4;3;75.0;2;0;0;1;50.0;0;0;0;0;
ua Dynamo Kyiv;2;2;2;180;2.0;5;2.50;10;6;60.0;0;1;1;1;50.0;1;1;0;0;0.0
it Inter;1;2;2;180;2.0;1;0.50;3;2;66.7;0;1;1;1;50.0;0;0;0;0;
it Juventus;1;2;2;180;2.0;0;0.00;2;2;100.0;2;0;0;2;100.0;0;0;0;0;
fr Lille;1;2;2;180;2.0;2;1.00;2;2;100.0;0;1;1;1;50.0;2;2;0;0;0.0
eng Liverpool;1;2;2;180;2.0;3;1.50;6;3;50.0;2;0;0;0;0.0;0;0;0;0;
se Malmö;2;2;2;180;2.0;7;3.50;16;10;62.5;0;0;2;0;0.0;1;1;0;0;0.0
eng Manchester City;1;2;2;180;2.0;5;2.50;6;1;16.7;1;0;1;0;0.0;0;0;0;0;
eng Manchester Utd;1;2;2;180;2.0;3;1.50;12;9;75.0;1;0;1;0;0.0;0;0;0;0;
it Milan;1;2;2;180;2.0;5;2.50;11;8;63.6;0;0;2;0;0.0;2;1;0;1;0.0
fr Paris S-G;2;2;2;180;2.0;1;0.50;14;13;92.9;1;1;0;1;50.0;0;0;0;0;
pt Porto;1;2;2;180;2.0;5;2.50;15;10;66.7;0;1;1;1;50.0;0;0;0;0;
de RB Leipzig;1;2;2;180;2.0;8;4.00;13;7;46.2;0;0;2;0;0.0;1;1;0;0;0.0
at RB Salzburg;1;2;2;180;2.0;2;1.00;3;2;66.7;1;1;0;0;0.0;1;1;0;0;0.0
es Real Madrid;1;2;2;180;2.0;2;1.00;8;6;75.0;1;0;1;1;50.0;0;0;0;0;
es Sevilla;1;2;2;180;2.0;2;1.00;8;7;87.5;0;2;0;0;0.0;3;1;0;2;0.0
ua Shakhtar;1;2;2;180;2.0;2;1.00;6;4;66.7;0;1;1;1;50.0;0;0;0;0;
md Sheriff Tiraspol;1;2;2;180;2.0;1;0.50;13;13;100.0;2;0;0;1;50.0;1;1;0;0;0.0
pt Sporting CP;1;2;2;180;2.0;6;3.00;9;3;33.3;0;0;2;0;0.0;0;0;0;0;
es Villarreal;1;2;2;180;2.0;4;2.00;12;8;66.7;0;1;1;0;0.0;0;0;0;0;
de Wolfsburg;1;2;2;180;2.0;1;0.50;7;7;100.0;0;2;0;1;50.0;1;1;0;0;0.0
ch Young Boys;1;2;2;180;2.0;2;1.00;9;7;77.8;1;0;1;0;0.0;0;0;0;0;
ru Zenit;1;2;2;180;2.0;1;0.50;5;4;80.0;1;0;1;1;50.0;0;0;0;0;
