id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
1,Tammy Abraham\Tammy-Abraham,eng ENG,FW,eng Chelsea,21,1997,5.4,0,0,0,12,4,3,2,1,4,0,0,1,14,22,9,71.0,Matches
2,Tyler Adams\Tyler-Adams,us USA,DF,de RB Leipzig,20,1999,0.4,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,100.0,Matches
3,Arijan Ademi\Arijan-Ademi,mk MKD,MFDF,hr Dinamo Zagreb,28,1991,5.7,3,0,0,10,3,3,0,2,4,0,0,0,41,3,4,42.9,Matches
4,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3.3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,,Matches
5,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,31,1988,2.2,0,0,0,1,2,0,2,0,0,0,0,0,11,2,3,40.0,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,0,0,0,3,6,0,0,9,2,0,0,0,48,10,6,62.5,Matches
7,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,27,1992,3.5,0,0,0,0,1,0,4,1,2,0,0,0,38,5,1,83.3,Matches
8,Lucas Alario\Lucas-Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,0,0,0,5,3,3,0,3,1,0,0,0,6,4,7,36.4,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,30,1989,1.9,1,0,0,0,4,0,2,2,1,0,0,0,14,1,3,25.0,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,25,1993,1.3,0,0,0,0,0,1,2,4,1,0,0,0,3,0,3,0.0,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,28,1991,5.5,2,0,0,8,6,0,0,18,19,0,0,0,94,9,3,75.0,Matches
12,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,1,0,0,5,0,0,0,5,2,0,0,0,45,8,10,44.4,Matches
13,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,21,1998,1.0,0,0,0,1,2,0,3,1,3,0,0,0,5,1,1,50.0,Matches
