Squad;# Pl;90s;Performance-CrdY;Performance-CrdR;Performance-2CrdY;Performance-Fls;Performance-Fld;Performance-Off;Performance-Crs;Performance-Int;Performance-TklW;Performance-PKwon;Performance-PKcon;Performance-OG;Performance-Recov;Aerial Duels-Won;Aerial Duels-Lost;Aerial Duels-Won%;
nl Ajax;16;2.0;3;0;0;35;23;3;38;18;23;0;0;0;153;32;19;62.7
it Atalanta;19;2.0;2;0;0;21;25;3;24;28;30;0;0;0;184;30;28;51.7
es Atlético Madrid;17;2.0;4;0;0;25;26;6;24;25;26;0;0;0;171;32;13;71.1
es Barcelona;19;2.0;6;1;1;24;24;6;27;22;20;0;1;0;119;19;21;47.5
de Bayern Munich;18;2.0;3;0;0;24;12;2;28;26;19;0;0;0;150;24;18;57.1
pt Benfica;19;2.0;7;0;0;24;23;1;17;18;17;0;0;0;158;31;25;55.4
tr Beşiktaş;20;2.0;5;0;0;21;19;3;23;32;24;0;0;0;177;16;22;42.1
eng Chelsea;18;2.0;4;0;0;27;12;1;37;27;17;0;0;0;156;30;24;55.6
be Club Brugge;16;2.0;4;0;0;28;23;7;19;44;30;0;0;0;193;25;16;61.0
de Dortmund;19;2.0;4;0;0;27;13;7;27;37;24;0;0;0;171;22;17;56.4
ua Dynamo Kyiv;20;2.0;4;0;0;16;23;12;12;33;22;0;1;0;145;24;34;41.4
it Inter;18;2.0;2;0;0;26;26;6;25;37;16;0;0;0;127;21;17;55.3
it Juventus;19;2.0;2;0;0;19;31;8;13;24;25;1;0;0;138;21;26;44.7
fr Lille;18;2.0;7;0;0;17;32;9;26;30;28;0;2;0;203;31;33;48.4
eng Liverpool;19;2.0;1;0;0;21;18;3;32;24;32;0;0;0;209;30;26;53.6
se Malmö;19;2.0;4;1;0;23;25;0;14;23;10;0;1;0;116;20;18;52.6
eng Manchester City;18;2.0;3;0;0;21;24;9;31;36;22;0;0;0;131;16;19;45.7
eng Manchester Utd;20;2.0;4;1;0;13;22;4;21;21;22;0;0;0;139;29;19;60.4
it Milan;18;2.0;8;1;1;18;21;4;11;41;37;0;2;1;139;14;27;34.1
fr Paris S-G;18;2.0;3;0;0;17;24;7;13;34;26;0;0;0;122;6;13;31.6
pt Porto;18;2.0;6;1;0;31;23;1;13;35;17;0;0;0;142;25;35;41.7
de RB Leipzig;18;2.0;4;1;1;31;24;4;14;29;22;0;1;1;173;29;28;50.9
at RB Salzburg;16;2.0;6;0;0;34;27;3;23;31;26;4;1;0;180;26;34;43.3
es Real Madrid;18;2.0;3;0;0;18;21;4;51;19;17;1;0;0;167;15;17;46.9
es Sevilla;19;2.0;9;1;1;30;30;1;39;28;17;2;3;0;179;32;39;45.1
ua Shakhtar;17;2.0;0;0;0;23;21;0;14;16;17;0;0;0;135;33;27;55.0
md Sheriff Tiraspol;16;2.0;5;0;0;12;8;3;11;40;32;0;1;0;104;23;31;42.6
pt Sporting CP;18;2.0;5;0;0;17;39;7;16;35;14;0;0;0;151;20;32;38.5
es Villarreal;20;2.0;9;1;1;23;20;1;13;36;22;0;0;0;134;24;32;42.9
de Wolfsburg;16;2.0;13;2;2;31;15;2;9;23;27;0;0;0;157;46;29;61.3
ch Young Boys;19;2.0;3;0;0;26;11;3;22;28;30;0;0;0;181;23;27;46.0
ru Zenit;16;2.0;1;0;0;20;17;1;27;36;15;0;0;0;119;21;24;46.7
