Squad;# Pl;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Outcomes-Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;
nl Ajax;16;2.0;1252;1162;90;29;4;206;25;38;6;2;1;0;936;163;153;543;601;36;42;8;1086;3;16;36;20
it Atalanta;19;2.0;1133;1036;97;28;0;127;39;24;9;3;6;0;818;129;186;319;697;41;45;8;952;2;21;30;28
es Atlético Madrid;17;2.0;1089;989;100;27;1;125;33;24;9;1;4;2;786;124;179;302;663;43;43;19;917;5;25;30;12
es Barcelona;19;2.0;1139;1049;90;28;3;118;35;27;7;2;0;0;899;101;139;208;849;21;34;15;993;5;10;21;19
de Bayern Munich;18;2.0;1345;1281;64;19;0;181;37;28;9;3;4;0;1089;116;140;396;885;9;27;20;1193;2;12;35;22
pt Benfica;19;2.0;1054;957;97;36;4;191;29;17;7;1;3;0;801;124;129;296;663;23;43;7;903;1;13;18;29
tr Beşiktaş;20;2.0;995;913;82;23;4;145;22;23;7;6;0;0;682;139;174;333;582;23;25;20;812;3;14;26;26
eng Chelsea;18;2.0;1648;1576;72;18;0;290;21;37;15;8;5;0;1398;117;133;423;1142;29;28;8;1477;1;18;36;25
be Club Brugge;16;2.0;752;666;86;26;1;141;18;19;11;5;0;0;460;121;171;281;369;33;32;6;540;5;19;30;26
de Dortmund;19;2.0;1144;1058;86;18;4;108;20;27;10;3;4;1;855;130;159;323;720;36;37;12;949;7;12;28;32
ua Dynamo Kyiv;20;2.0;779;686;93;23;0;108;14;12;9;4;2;2;505;112;162;269;417;31;33;10;591;11;13;23;17
it Inter;18;2.0;899;817;82;27;3;181;32;25;9;6;3;0;647;91;161;215;606;27;30;14;761;2;13;24;18
it Juventus;19;2.0;986;905;81;30;6;105;27;13;4;0;3;0;687;132;167;318;581;27;28;15;821;8;7;30;21
fr Lille;18;2.0;1005;905;100;32;0;180;19;26;8;6;2;0;650;164;191;321;544;50;45;16;786;9;16;27;30
eng Liverpool;19;2.0;1273;1181;92;22;1;83;40;32;19;3;10;0;946;146;181;314;857;29;43;15;1077;2;16;45;25
se Malmö;19;2.0;915;827;88;30;0;124;42;14;3;2;1;0;657;102;156;128;711;27;24;12;768;0;8;23;17
eng Manchester City;18;2.0;1082;982;100;28;2;194;46;31;16;9;2;0;811;125;146;397;611;21;39;6;920;8;15;32;21
eng Manchester Utd;20;2.0;1014;923;91;24;1;146;39;21;5;0;4;0;740;118;156;262;653;34;41;7;870;4;10;29;11
it Milan;18;2.0;736;643;93;23;1;109;26;11;4;1;1;0;479;99;158;282;364;24;38;20;565;4;18;28;12
fr Paris S-G;18;2.0;1223;1134;89;28;3;199;12;13;4;1;0;0;987;133;103;396;746;17;39;20;1074;7;9;36;21
pt Porto;18;2.0;721;625;96;31;0;99;26;13;4;0;3;0;409;124;188;171;442;38;38;11;543;1;17;19;19
de RB Leipzig;18;2.0;1118;1020;98;36;5;174;12;14;7;4;2;0;791;159;168;190;824;35;40;12;913;4;13;42;31
at RB Salzburg;16;2.0;874;784;90;24;1;122;30;23;11;5;2;1;562;132;180;259;512;37;36;12;669;2;11;36;23
es Real Madrid;18;2.0;1402;1304;98;23;3;152;42;51;18;2;4;2;1091;163;148;407;884;37;43;22;1208;4;16;33;33
es Sevilla;19;2.0;1064;965;99;30;3;168;57;39;15;7;4;1;688;170;206;293;644;50;42;13;859;1;15;24;22
ua Shakhtar;17;2.0;1434;1334;100;27;1;164;20;14;20;9;9;1;1135;153;146;701;637;23;38;16;1275;0;16;40;25
md Sheriff Tiraspol;16;2.0;531;438;93;17;0;76;20;11;5;2;2;0;305;74;152;206;247;21;33;5;371;3;17;10;19
pt Sporting CP;18;2.0;871;751;120;48;2;174;21;16;10;1;8;0;561;121;189;345;430;23;46;11;689;6;19;27;28
es Villarreal;20;2.0;888;793;95;25;3;102;16;13;11;2;5;1;649;96;143;302;500;23;33;16;730;1;6;27;16
de Wolfsburg;16;2.0;761;683;78;23;1;118;14;9;1;0;0;0;466;90;205;329;324;33;31;10;576;1;17;20;24
ch Young Boys;19;2.0;906;821;85;15;0;101;26;22;11;3;6;0;577;135;194;188;612;26;41;14;703;3;16;19;28
ru Zenit;16;2.0;1036;952;84;18;1;90;38;27;14;0;3;3;753;109;174;353;593;28;33;10;894;1;11;18;25
