Squad;# Pl;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;
nl Ajax;16;2.0;1086;1252;86.7;20230;6670;442;493;89.7;502;550;91.3;120;164;73.2;7;5.0;+2.0;29;91;39;11;105
it Atalanta;19;2.0;952;1133;84.0;18608;5998;381;426;89.4;419;472;88.8;143;201;71.1;3;3.2;-0.2;23;81;27;2;102
es Atlético Madrid;17;2.0;917;1089;84.2;17405;5507;398;435;91.5;387;433;89.4;122;188;64.9;1;1.6;-0.6;21;76;19;2;99
es Barcelona;19;2.0;993;1139;87.2;19162;5810;375;405;92.6;465;509;91.4;133;184;72.3;0;1.5;-1.5;12;58;15;5;71
de Bayern Munich;18;2.0;1193;1345;88.7;22110;6686;546;588;92.9;479;537;89.2;157;192;81.8;6;2.9;+3.1;31;123;36;7;110
pt Benfica;19;2.0;903;1054;85.7;17606;5375;329;365;90.1;419;453;92.5;128;176;72.7;1;2.1;-1.1;16;76;14;2;76
tr Beşiktaş;20;2.0;812;995;81.6;14996;5390;363;408;89.0;329;378;87.0;104;167;62.3;1;1.4;-0.4;14;56;17;7;59
eng Chelsea;18;2.0;1477;1648;89.6;25015;6758;695;731;95.1;617;672;91.8;129;186;69.4;1;1.8;-0.8;24;137;36;7;111
be Club Brugge;16;2.0;540;752;71.8;10157;4401;271;323;83.9;173;241;71.8;83;154;53.9;3;1.9;+1.1;17;40;19;4;61
de Dortmund;19;2.0;949;1144;83.0;17940;5618;376;436;86.2;429;485;88.5;122;183;66.7;3;2.6;+0.4;15;71;11;2;71
ua Dynamo Kyiv;20;2.0;591;779;75.9;11377;4191;266;310;85.8;230;285;80.7;86;158;54.4;0;0.5;-0.5;8;29;9;1;38
it Inter;18;2.0;761;899;84.6;15114;4843;295;329;89.7;343;380;90.3;114;163;69.9;0;1.8;-1.8;19;56;19;6;63
it Juventus;19;2.0;821;986;83.3;16205;4883;338;374;90.4;350;394;88.8;124;192;64.6;2;2.7;-0.7;18;52;19;4;52
fr Lille;18;2.0;786;1005;78.2;15270;5502;333;382;87.2;323;398;81.2;121;186;65.1;0;0.7;-0.7;17;64;16;5;67
eng Liverpool;19;2.0;1077;1273;84.6;21112;6414;422;463;91.1;487;534;91.2;149;229;65.1;4;3.5;+0.5;27;89;22;5;106
se Malmö;19;2.0;768;915;83.9;15904;4631;281;315;89.2;338;380;88.9;135;191;70.7;0;0.9;-0.9;15;37;10;4;40
eng Manchester City;18;2.0;920;1082;85.0;18300;5255;363;401;90.5;412;454;90.7;135;190;71.1;2;1.9;+0.1;26;86;21;3;90
eng Manchester Utd;20;2.0;870;1014;85.8;18314;5480;294;328;89.6;419;459;91.3;152;212;71.7;3;2.0;+1.0;15;78;19;7;71
it Milan;18;2.0;565;736;76.8;10597;3919;264;303;87.1;215;254;84.6;73;157;46.5;2;1.3;+0.7;8;22;10;1;31
fr Paris S-G;18;2.0;1074;1223;87.8;17207;5591;582;633;91.9;376;416;90.4;90;127;70.9;2;1.7;+0.3;13;56;14;2;54
pt Porto;18;2.0;543;721;75.3;11792;3910;193;220;87.7;236;275;85.8;107;199;53.8;1;0.5;+0.5;5;28;11;3;38
de RB Leipzig;18;2.0;913;1118;81.7;16199;5654;419;468;89.5;375;429;87.4;99;170;58.2;4;1.6;+2.4;16;61;23;2;80
at RB Salzburg;16;2.0;669;874;76.5;13848;4929;253;292;86.6;286;338;84.6;121;207;58.5;0;0.8;-0.8;15;67;15;2;81
es Real Madrid;18;2.0;1208;1402;86.2;23107;6454;483;527;91.7;534;595;89.7;163;218;74.8;1;3.3;-2.3;38;100;34;7;112
es Sevilla;19;2.0;859;1064;80.7;17665;5202;321;371;86.5;352;402;87.6;162;246;65.9;0;1.2;-1.2;17;63;16;4;63
ua Shakhtar;17;2.0;1275;1434;88.9;22643;6325;545;589;92.5;586;627;93.5;121;166;72.9;0;1.8;-1.8;25;86;22;2;86
md Sheriff Tiraspol;16;2.0;371;531;69.9;7772;3238;145;165;87.9;154;193;79.8;67;148;45.3;4;1.0;+3.0;13;23;5;4;18
pt Sporting CP;18;2.0;689;871;79.1;13927;4432;238;276;86.2;335;387;86.6;106;177;59.9;1;0.7;+0.3;13;31;7;2;51
es Villarreal;20;2.0;730;888;82.2;14863;5074;245;271;90.4;372;426;87.3;108;170;63.5;2;2.7;-0.7;23;51;16;4;51
de Wolfsburg;16;2.0;576;761;75.7;11494;4218;217;262;82.8;244;286;85.3;97;172;56.4;0;1.0;-1.0;8;24;5;3;29
ch Young Boys;19;2.0;703;906;77.6;13839;4627;269;314;85.7;309;356;86.8;107;196;54.6;1;1.2;-0.2;17;62;16;5;51
ru Zenit;16;2.0;894;1036;86.3;17580;5515;356;389;91.5;396;435;91.0;132;183;72.1;3;2.6;+0.4;28;58;31;10;68
