Squad;# Pl;Poss;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;
nl Ajax;16;62.5;2.0;1460;105;343;701;511;86;1376;22;37;59.5;24;1;1058;5112;2835;129;37;14;24;13;1202;1086;90.3;105
it Atalanta;19;58.0;2.0;1396;89;334;687;468;62;1302;26;50;52.0;30;1;920;4372;2356;106;33;10;41;38;1083;952;87.9;102
es Atlético Madrid;17;60.0;2.0;1322;106;374;624;430;71;1224;14;28;50.0;16;2;912;4803;2884;136;45;11;27;31;1048;917;87.5;99
es Barcelona;19;54.0;2.0;1338;162;478;683;276;29;1259;23;35;65.7;25;0;949;4919;2591;106;33;5;25;25;1093;993;90.9;71
de Bayern Munich;18;58.0;2.0;1537;116;383;752;510;72;1472;25;38;65.8;25;1;1056;6122;3571;151;45;10;20;14;1293;1193;92.3;110
pt Benfica;19;54.0;2.0;1296;95;326;680;376;52;1203;25;48;52.1;30;2;894;4474;2347;103;29;9;33;29;1014;903;89.1;76
tr Beşiktaş;20;43.5;2.0;1240;165;451;634;236;35;1160;21;36;58.3;24;2;862;3789;1914;80;24;6;28;31;912;812;89.0;59
eng Chelsea;18;69.5;2.0;1838;66;279;944;735;70;1769;20;29;69.0;21;0;1426;6366;3548;178;66;7;20;27;1586;1477;93.1;111
be Club Brugge;16;35.0;2.0;1014;117;305;445;312;49;929;20;31;64.5;22;1;505;2703;1318;53;21;9;34;28;708;540;76.3;61
de Dortmund;19;50.5;2.0;1380;131;443;678;344;60;1293;34;49;69.4;37;2;965;4358;2411;98;20;8;27;27;1055;949;90.0;71
ua Dynamo Kyiv;20;34.5;2.0;999;177;487;354;205;29;910;8;15;53.3;10;1;547;2752;1372;43;14;5;31;8;745;591;79.3;38
it Inter;18;40.5;2.0;1118;167;409;479;295;59;1041;10;17;58.8;10;1;686;3402;1957;68;24;7;24;22;861;761;88.4;63
it Juventus;19;43.5;2.0;1206;163;432;580;257;42;1128;13;21;61.9;15;1;752;3736;1944;76;23;6;19;19;967;821;84.9;52
fr Lille;18;54.0;2.0;1249;103;387;641;285;43;1154;17;28;60.7;19;1;783;3913;2042;79;18;9;38;31;954;786;82.4;67
eng Liverpool;19;64.0;2.0;1547;91;356;767;529;83;1459;25;41;61.0;26;2;963;4422;2497;123;36;20;30;33;1258;1077;85.6;106
se Malmö;19;42.5;2.0;1115;162;474;516;178;26;1028;12;20;60.0;14;4;719;3332;1743;61;15;6;16;21;863;768;89.0;40
eng Manchester City;18;52.0;2.0;1287;109;363;582;435;73;1192;18;35;51.4;18;1;864;4948;3089;127;27;25;15;21;1033;920;89.1;90
eng Manchester Utd;20;51.0;2.0;1263;119;382;667;307;41;1176;16;26;61.5;16;2;780;3905;2210;86;26;5;34;26;991;870;87.8;71
it Milan;18;37.5;2.0;1010;204;494;375;203;31;924;12;28;42.9;13;1;641;3561;1743;51;19;6;30;28;686;565;82.4;31
fr Paris S-G;18;55.0;2.0;1478;202;542;737;288;44;1393;30;51;58.8;33;4;980;5016;2736;106;25;13;20;29;1204;1074;89.2;54
pt Porto;18;38.5;2.0;948;170;441;395;164;28;857;15;31;48.4;18;1;531;2455;1310;41;15;2;33;26;652;543;83.3;38
de RB Leipzig;18;58.0;2.0;1343;151;456;670;297;45;1254;10;29;34.5;10;2;840;4248;2149;87;27;7;17;19;1066;913;85.6;80
at RB Salzburg;16;49.0;2.0;1126;117;368;506;334;40;1033;19;33;57.6;21;1;668;3433;1964;82;31;8;34;25;846;669;79.1;81
es Real Madrid;18;64.5;2.0;1602;136;404;666;642;87;1504;29;40;72.5;31;1;1155;5930;3493;146;46;20;14;21;1370;1208;88.2;112
es Sevilla;19;59.0;2.0;1279;107;398;614;343;42;1186;22;38;57.9;24;3;880;3567;1868;77;19;4;28;31;941;859;91.3;63
ua Shakhtar;17;70.5;2.0;1628;134;402;900;436;66;1532;27;43;62.8;28;2;1218;5743;3194;150;44;11;20;25;1362;1275;93.6;86
md Sheriff Tiraspol;16;25.0;2.0;820;230;489;263;104;20;727;15;26;57.7;17;1;367;2476;1396;36;11;6;25;18;492;371;75.4;18
pt Sporting CP;18;43.5;2.0;1104;151;454;526;196;31;989;22;36;61.1;27;0;658;3016;1562;41;20;4;32;23;784;689;87.9;51
es Villarreal;20;46.0;2.0;1107;168;478;466;232;46;1013;21;46;45.7;22;1;722;3485;2026;59;18;9;22;21;843;730;86.6;51
de Wolfsburg;16;38.5;2.0;1001;160;443;464;152;20;925;15;38;39.5;16;3;565;2875;1480;47;17;4;30;13;708;576;81.4;29
ch Young Boys;19;45.0;2.0;1142;129;432;511;269;33;1058;16;41;39.0;22;0;655;3824;2042;82;23;2;27;22;867;703;81.1;51
ru Zenit;16;44.5;2.0;1252;131;401;581;341;59;1170;16;24;66.7;18;1;856;3931;2046;100;27;9;25;18;975;894;91.7;68
