Squad;# Pl;90s;Standard-Gls;Standard-Sh;Standard-SoT;Standard-SoT%;Standard-Sh/90;Standard-SoT/90;Standard-G/Sh;Standard-G/SoT;Standard-Dist;Standard-FK;Standard-PK;Standard-PKatt;Expected-xG;Expected-npxG;Expected-npxG/Sh;Expected-G-xG;Expected-np:G-xG;
nl Ajax;16;2.0;7;36;13;36.1;18.00;6.50;0.19;0.54;14.7;0;0;0;6.8;6.8;0.20;+0.2;+0.2
it Atalanta;19;2.0;3;27;11;40.7;13.50;5.50;0.11;0.27;15.9;0;0;0;3.3;3.3;0.12;-0.3;-0.3
es Atlético Madrid;17;2.0;2;27;6;22.2;13.50;3.00;0.04;0.17;20.1;2;1;1;2.5;1.7;0.06;-0.5;-0.7
es Barcelona;19;2.0;0;13;0;0.0;6.50;0.00;0.00;;17.1;0;0;0;1.5;1.5;0.12;-1.5;-1.5
de Bayern Munich;18;2.0;8;38;13;34.2;19.00;6.50;0.18;0.54;17.5;2;1;1;4.7;3.9;0.11;+3.3;+3.1
pt Benfica;19;2.0;3;23;9;39.1;11.50;4.50;0.09;0.22;16.9;0;1;1;3.5;2.8;0.13;-0.5;-0.8
tr Beşiktaş;20;2.0;1;17;3;17.6;8.50;1.50;0.06;0.33;14.5;0;0;0;1.5;1.5;0.09;-0.5;-0.5
eng Chelsea;18;2.0;1;26;3;11.5;13.00;1.50;0.04;0.33;16.1;0;0;0;1.9;1.9;0.07;-0.9;-0.9
be Club Brugge;16;2.0;3;24;12;50.0;12.00;6.00;0.13;0.25;14.9;2;0;0;3.0;3.0;0.13;0.0;0.0
de Dortmund;19;2.0;3;20;10;50.0;10.00;5.00;0.15;0.30;15.2;1;0;0;3.1;3.1;0.15;-0.1;-0.1
ua Dynamo Kyiv;20;2.0;0;14;6;42.9;7.00;3.00;0.00;0.00;18.4;1;0;0;1.0;1.0;0.07;-1.0;-1.0
it Inter;18;2.0;0;29;7;24.1;14.50;3.50;0.00;0.00;16.2;1;0;0;3.3;3.3;0.11;-3.3;-3.3
it Juventus;19;2.0;4;21;8;38.1;10.50;4.00;0.14;0.38;16.2;1;1;1;4.1;3.3;0.16;-0.1;-0.3
fr Lille;18;2.0;1;27;6;22.2;13.50;3.00;0.04;0.17;18.9;4;0;0;1.7;1.7;0.06;-0.7;-0.7
eng Liverpool;19;2.0;7;43;20;46.5;21.50;10.00;0.16;0.35;18.6;1;0;1;6.1;5.4;0.13;+0.9;+1.6
se Malmö;19;2.0;0;20;4;20.0;10.00;2.00;0.00;0.00;20.0;1;0;0;1.3;1.3;0.07;-1.3;-1.3
eng Manchester City;18;2.0;5;34;15;44.1;17.00;7.50;0.12;0.27;15.2;2;1;1;4.0;3.2;0.12;+1.0;+0.8
eng Manchester Utd;20;2.0;3;16;10;62.5;8.00;5.00;0.19;0.30;14.9;0;0;0;2.0;2.0;0.12;+1.0;+1.0
it Milan;18;2.0;3;14;6;42.9;7.00;3.00;0.21;0.50;18.2;0;0;0;1.9;1.9;0.17;+1.1;+1.1
fr Paris S-G;18;2.0;3;15;7;46.7;7.50;3.50;0.20;0.43;14.3;0;0;0;2.0;2.0;0.13;+1.0;+1.0
pt Porto;18;2.0;1;11;4;36.4;5.50;2.00;0.09;0.25;12.7;0;0;0;1.6;1.6;0.15;-0.6;-0.6
de RB Leipzig;18;2.0;4;23;7;30.4;11.50;3.50;0.17;0.57;17.8;1;0;0;1.7;1.7;0.07;+2.3;+2.3
at RB Salzburg;16;2.0;3;22;8;36.4;11.00;4.00;0.00;0.00;25.2;2;3;5;5.1;1.4;0.06;-2.1;-1.4
es Real Madrid;18;2.0;2;42;12;28.6;21.00;6.00;0.02;0.08;17.2;2;1;1;4.4;3.6;0.09;-2.4;-2.6
es Sevilla;19;2.0;2;20;4;20.0;10.00;2.00;0.00;0.00;18.7;1;2;2;2.9;1.4;0.07;-0.9;-1.4
ua Shakhtar;17;2.0;0;32;4;12.5;16.00;2.00;0.00;0.00;19.0;0;0;0;2.1;2.1;0.07;-2.1;-2.1
md Sheriff Tiraspol;16;2.0;4;15;7;46.7;7.50;3.50;0.27;0.57;18.4;0;0;0;1.0;1.0;0.07;+3.0;+3.0
pt Sporting CP;18;2.0;1;17;4;23.5;8.50;2.00;0.06;0.25;15.9;0;0;0;0.9;0.9;0.05;+0.1;+0.1
es Villarreal;20;2.0;3;29;14;48.3;14.50;7.00;0.10;0.21;13.6;1;0;0;3.8;3.8;0.14;-0.8;-0.8
de Wolfsburg;16;2.0;1;11;2;18.2;5.50;1.00;0.09;0.50;18.2;1;0;0;1.3;1.3;0.13;-0.3;-0.3
ch Young Boys;19;2.0;2;23;6;26.1;11.50;3.00;0.09;0.33;20.6;0;0;0;1.8;1.8;0.08;+0.2;+0.2
ru Zenit;16;2.0;4;31;11;35.5;15.50;5.50;0.13;0.36;16.9;1;0;0;2.9;2.9;0.10;+1.1;+1.1
