Squad;# Pl;Age;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Starts-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;
nl Ajax;16;26.4;2;180;90;100;2.0;22;85;16;6;18;15;3.00;7;1;+6;+3.00;6.8;1.0;+5.7;+2.87
it Atalanta;19;28.4;2;180;90;100;2.0;22;80;12;10;22;14;2.00;3;2;+1;+0.50;3.3;2.2;+1.1;+0.54
es Atlético Madrid;17;28.3;2;180;90;100;2.0;22;73;12;10;37;10;2.00;2;1;+1;+0.50;2.5;1.7;+0.8;+0.39
es Barcelona;19;25.9;2;180;90;100;2.0;22;78;11;10;26;13;0.00;0;6;-6;-3.00;1.5;4.2;-2.7;-1.37
de Bayern Munich;18;27.1;2;180;90;100;2.0;22;83;12;10;15;13;3.00;8;0;+8;+4.00;4.7;0.6;+4.1;+2.03
pt Benfica;19;27.8;2;180;90;100;2.0;22;81;12;10;19;14;2.00;3;0;+3;+1.50;3.5;1.9;+1.6;+0.82
tr Beşiktaş;20;27.3;2;180;90;100;2.0;22;83;16;6;26;9;0.00;1;4;-3;-1.50;1.5;5.5;-4.1;-2.03
eng Chelsea;18;27.9;2;180;90;100;2.0;22;81;13;9;21;13;1.50;1;1;0;0.00;1.9;1.7;+0.1;+0.06
be Club Brugge;16;26.3;2;180;90;100;2.0;22;87;17;5;13;13;2.00;3;2;+1;+0.50;3.0;2.3;+0.7;+0.36
de Dortmund;19;26.7;2;180;90;100;2.0;22;79;13;9;28;10;3.00;3;1;+2;+1.00;3.1;1.3;+1.8;+0.89
ua Dynamo Kyiv;20;26.1;2;180;90;100;2.0;22;81;15;7;28;17;0.50;0;5;-5;-2.50;1.0;4.0;-3.0;-1.48
it Inter;18;28.4;2;180;90;100;2.0;22;79;12;10;24;14;0.50;0;1;-1;-0.50;3.3;2.3;+1.0;+0.50
it Juventus;19;28.1;2;180;90;100;2.0;22;84;13;9;15;8;3.00;4;0;+4;+2.00;4.1;1.4;+2.7;+1.35
fr Lille;18;26.6;2;180;90;100;2.0;22;83;14;8;19;9;0.50;1;2;-1;-0.50;1.7;2.3;-0.6;-0.31
eng Liverpool;19;27.9;2;180;90;100;2.0;22;82;12;10;18;14;3.00;8;3;+5;+2.50;6.1;1.8;+4.3;+2.15
se Malmö;19;28.3;2;180;90;100;2.0;22;79;12;9;22;11;0.00;0;7;-7;-3.50;1.3;5.3;-4.0;-1.99
eng Manchester City;18;27.3;2;180;90;100;2.0;22;83;15;7;21;13;1.50;6;5;+1;+0.50;4.0;1.4;+2.6;+1.29
eng Manchester Utd;20;27.6;2;180;90;100;2.0;22;80;12;9;19;13;1.50;3;3;0;0.00;2.0;3.4;-1.4;-0.70
it Milan;18;25.0;2;180;90;100;2.0;22;77;12;9;26;10;0.00;3;5;-2;-1.00;1.9;4.6;-2.7;-1.34
fr Paris S-G;18;27.9;2;180;90;100;2.0;22;83;16;6;27;17;2.00;3;1;+2;+1.00;2.0;3.2;-1.2;-0.62
pt Porto;18;27.1;2;180;90;100;2.0;22;74;11;10;36;14;0.50;1;5;-4;-2.00;1.6;4.0;-2.4;-1.20
de RB Leipzig;18;25.8;2;180;90;100;2.0;22;77;11;10;27;9;0.00;4;8;-4;-2.00;1.7;3.8;-2.0;-1.02
at RB Salzburg;16;22.9;2;180;90;100;2.0;22;83;15;7;22;17;2.00;3;2;+1;+0.50;5.1;2.2;+2.9;+1.47
es Real Madrid;18;27.5;2;180;90;100;2.0;22;84;15;7;20;17;1.50;2;2;0;0.00;4.4;2.2;+2.1;+1.07
es Sevilla;19;29.6;2;180;90;100;2.0;22;74;11;10;31;14;1.00;2;2;0;0.00;2.9;4.2;-1.3;-0.63
ua Shakhtar;17;26.5;2;180;90;100;2.0;22;81;15;7;30;17;0.50;0;2;-2;-1.00;2.1;2.1;0.0;0.00
md Sheriff Tiraspol;16;26.1;2;180;90;100;2.0;22;85;15;7;17;11;3.00;4;1;+3;+1.50;1.0;4.2;-3.1;-1.57
pt Sporting CP;18;27.7;2;180;90;100;2.0;22;77;12;10;28;14;0.00;1;6;-5;-2.50;0.9;4.3;-3.4;-1.72
es Villarreal;20;28.0;2;180;90;100;2.0;22;80;12;10;22;12;0.50;3;4;-1;-0.50;3.8;2.7;+1.1;+0.57
de Wolfsburg;16;26.8;2;180;90;100;2.0;22;81;12;8;21;13;1.00;1;1;0;0.00;1.3;2.4;-1.0;-0.52
ch Young Boys;19;25.3;2;180;90;100;2.0;22;83;12;10;15;13;1.50;2;2;0;0.00;1.8;2.6;-0.8;-0.41
ru Zenit;16;27.9;2;180;90;100;2.0;22;85;12;10;10;8;1.50;4;1;+3;+1.50;2.9;1.8;+1.1;+0.57
