Rk;Player;Nation;Pos;Squad;Age;Born;90s;GA;PKA;Goals-FK;Goals-CK;Goals-OG;Expected-PSxG;Expected-PSxG/SoT;Expected-PSxG+/-;Expected-/90;Launched-Cmp;Launched-Att;Launched-Cmp%;Passes-Att;Passes-Thr;Passes-Launch%;Passes-AvgLen;Goal Kicks-Att;Goal Kicks-Launch%;Goal Kicks-AvgLen;Crosses-Opp;Crosses-Stp;Crosses-Stp%;Sweeper-#OPA;Sweeper-#OPA/90;Sweeper-AvgDist;Matches;
1;Alphonse Areola\Alphonse-Areola;fr FRA;GK;eng West Ham;28-218;1993;1.0;0;0;0;0;0;0.0;0.02;0.0;+0.02;8;17;47.1;23;1;56.5;44.5;4;100.0;67.5;5;0;0.0;1;1.00;14.6;Matches
2;Altay Bayındır\Altay-Bayindir;tr TUR;GK;tr Fenerbahçe;23-172;1998;2.0;4;0;0;0;0;4.5;0.44;+0.5;+0.25;1;20;5.0;34;6;52.9;45.7;8;25.0;30.6;10;1;10.0;3;1.50;20.2;Matches
3;Milan Borjan\Milan-Borjan;ca CAN;GK;rs Red Star;33-345;1987;1.0;1;0;0;0;0;0.8;0.42;-0.2;-0.16;6;22;27.3;19;2;73.7;52.9;13;61.5;45.8;4;1;25.0;0;0.00;11.8;Matches
4;Artur Boruc\Artur-Boruc;pl POL;GK;pl Legia Warsaw;41-225;1980;1.0;0;0;0;0;0;0.1;0.03;+0.1;+0.08;6;18;33.3;29;8;44.8;38.7;11;45.5;37.6;8;0;0.0;1;1.00;13.1;Matches
5;Claudio Bravo\Claudio-Bravo;cl CHI;GK;es Betis;38-173;1983;1.0;3;1;0;0;0;3.0;0.35;0.0;-0.02;4;19;21.1;29;5;51.7;43.1;4;100.0;83.0;8;1;12.5;0;0.00;11.2;Matches
6;Jean Butez\Jean-Butez;fr FRA;GK;be Antwerp;26-117;1995;2.0;3;1;0;0;0;3.2;0.39;+0.2;+0.09;22;47;46.8;68;8;57.4;46.3;13;61.5;49.2;28;3;10.7;0;0.00;12.4;Matches
7;Dénes Dibusz\Denes-Dibusz;hu HUN;GK;hu Ferencváros;30-321;1990;2.0;5;0;0;0;1;3.5;0.27;-0.5;-0.25;12;21;57.1;45;12;28.9;33.2;21;38.1;33.0;19;2;10.5;0;0.00;11.7;Matches
8;Joel Drommel\Joel-Drommel;nl NED;GK;nl PSV Eindhoven;24-321;1996;2.0;3;0;0;0;0;2.7;0.30;-0.3;-0.16;3;22;13.6;55;10;30.9;35.2;12;41.7;40.4;13;1;7.7;3;1.50;17.8;Matches
9;Łukasz Fabiański\Lukasz-Fabianski;pl POL;GK;eng West Ham;36-168;1985;1.0;0;0;0;0;0;0.0;;0.0;0.00;6;11;54.5;16;3;31.3;33.7;9;66.7;53.7;4;1;25.0;0;0.00;14.5;Matches
10;Paul Gartler\Paul-Gartler;at AUT;GK;at Rapid Wien;24-207;1997;2.0;3;0;0;1;0;2.4;0.41;-0.6;-0.28;11;31;35.5;46;8;47.8;38.4;19;47.4;38.5;13;3;23.1;1;0.50;14.2;Matches
11;Joe Hart\Joe-Hart;eng ENG;GK;sct Celtic;34-167;1987;2.0;8;1;0;2;0;7.5;0.37;-0.5;-0.24;2;10;20.0;75;17;12.0;24.9;10;10.0;23.2;9;0;0.0;2;1.00;16.8;Matches
12;Mads Hermansen\Mads-Hermansen;dk DEN;GK;dk Brøndby;21-084;2000;2.0;3;0;0;0;0;4.1;0.32;+1.1;+0.56;20;48;41.7;64;10;54.7;39.3;23;56.5;45.3;16;0;0.0;2;1.00;17.5;Matches
13;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;de Leverkusen;31-313;1989;2.0;1;0;0;0;0;2.6;0.26;+1.6;+0.79;12;27;44.4;78;17;26.9;32.8;10;60.0;49.3;18;3;16.7;2;1.00;14.8;Matches
14;Kristijan Kahlina\Kristijan-Kahlina;hr CRO;GK;bg Ludogorets;29-071;1992;2.0;2;0;0;0;0;1.8;0.18;-0.2;-0.11;10;44;22.7;73;12;45.2;40.7;20;55.0;43.5;22;3;13.6;2;1.00;13.8;Matches
15;Dominik Livaković\Dominik-Livakovic;hr CRO;GK;hr Dinamo Zagreb;26-267;1995;2.0;2;0;0;0;0;1.9;0.31;-0.1;-0.06;8;19;42.1;36;7;27.8;27.7;13;69.2;44.6;18;1;5.6;0;0.00;13.1;Matches
16;Anthony Lopes\Anthony-Lopes;pt POR;GK;fr Lyon;31-002;1990;2.0;0;0;0;0;0;0.4;0.20;+0.4;+0.20;10;17;58.8;43;3;27.9;30.9;17;29.4;32.9;21;2;9.5;3;1.50;35.7;Matches
17;Pau López\Pau-Lopez;es ESP;GK;fr Marseille;26-294;1994;2.0;1;0;0;0;0;0.4;0.15;-0.6;-0.28;2;7;28.6;45;11;15.6;24.0;7;0.0;15.9;2;0;0.0;2;1.00;16.3;Matches
18;Aleksandr Maksimenko\Aleksandr-Maksimenko;ru RUS;GK;ru Spartak Moscow;23-198;1998;2.0;3;0;0;0;0;3.3;0.65;+0.3;+0.13;10;27;37.0;46;7;43.5;41.5;13;53.8;47.6;14;0;0.0;6;3.00;21.4;Matches
19;Guilherme Marinato\Guilherme-Marinato;ru RUS;GK;ru Loko Moscow;35-295;1985;2.0;3;1;0;1;0;4.3;0.35;+1.3;+0.66;10;19;52.6;49;11;24.5;30.7;18;38.9;35.3;29;1;3.4;1;0.50;11.6;Matches
20;Matheus\Matheus;br BRA;GK;pt Braga;29-076;1992;2.0;3;1;0;1;0;2.9;0.23;-0.1;-0.04;14;28;50.0;58;13;34.5;34.5;20;40.0;35.9;16;1;6.3;1;0.50;11.1;Matches
21;Allan McGregor\Allan-McGregor;sct SCO;GK;sct Rangers;39-245;1982;2.0;3;0;0;1;1;1.6;0.23;-0.4;-0.20;12;26;46.2;57;9;38.6;34.9;13;30.8;30.2;11;0;0.0;4;2.00;18.3;Matches
22;Alex Meret\Alex-Meret;it ITA;GK;it Napoli;24-195;1997;1.0;3;0;0;1;0;2.2;0.75;-0.8;-0.76;1;7;14.3;19;1;31.6;31.8;7;14.3;21.3;7;1;14.3;0;0.00;14.0;Matches
23;Cezary Miszta\Cezary-Miszta;pl POL;GK;pl Legia Warsaw;19-338;2001;1.0;0;0;0;0;0;1.0;0.33;+1.0;+1.00;4;24;16.7;23;3;60.9;48.7;11;90.9;58.0;10;0;0.0;0;0.00;13.0;Matches
24;Fernando Muslera\Fernando-Muslera;uy URU;GK;tr Galatasaray;35-109;1986;2.0;0;0;0;0;0;1.6;0.22;+1.6;+0.79;15;36;41.7;83;10;27.7;33.5;20;65.0;52.7;18;2;11.1;1;0.50;14.8;Matches
25;Florin Niță\Florin-Nita;ro ROU;GK;cz Sparta Prague;34-092;1987;2.0;0;0;0;0;0;0.3;0.07;+0.3;+0.15;21;48;43.8;67;10;61.2;46.2;10;70.0;47.8;20;2;10.0;3;1.50;19.5;Matches
26;Alexander Nübel\Alexander-Nubel;de GER;GK;fr Monaco;25-003;1996;2.0;1;0;0;1;0;0.8;0.28;-0.2;-0.08;13;44;29.5;66;2;42.4;38.9;18;88.9;62.1;12;0;0.0;1;0.50;13.5;Matches
27;David Ospina\David-Ospina;co COL;GK;it Napoli;33-033;1988;1.0;2;0;0;0;0;2.0;0.40;0.0;+0.01;4;6;66.7;25;2;24.0;26.8;3;0.0;20.3;5;0;0.0;2;2.00;18.8;Matches
28;Zoran Popović\Zoran-Popovic;rs SRB;GK;rs Red Star;33-128;1988;1.0;0;0;0;0;0;0.0;0.03;0.0;+0.03;6;21;28.6;25;0;68.0;48.6;4;100.0;64.5;7;3;42.9;1;1.00;14.0;Matches
