Squad;# Pl;90s;Goals-GA;Goals-PKA;Goals-FK;Goals-CK;Goals-OG;Expected-PSxG;Expected-PSxG/SoT;Expected-PSxG+/-;Expected-/90;Launched-Cmp;Launched-Att;Launched-Cmp%;Passes-Att;Passes-Thr;Passes-Launch%;Passes-AvgLen;Goal Kicks-Att;Goal Kicks-Launch%;Goal Kicks-AvgLen;Crosses-Opp;Crosses-Stp;Crosses-Stp%;Sweeper-#OPA;Sweeper-#OPA/90;Sweeper-AvgDist;
be Antwerp;1;2.0;3;1;0;0;0;3.2;0.39;+0.2;+0.09;22;47;46.8;68;8;57.4;46.3;13;61.5;49.2;28;3;10.7;0;0.00;12.4
es Betis;2;2.0;4;1;0;0;0;3.7;0.35;-0.3;-0.17;8;32;25.0;45;6;51.1;42.7;14;64.3;53.8;12;2;16.7;0;0.00;12.0
pt Braga;1;2.0;3;1;0;1;0;2.9;0.23;-0.1;-0.04;14;28;50.0;58;13;34.5;34.5;20;40.0;35.9;16;1;6.3;1;0.50;11.1
dk Brøndby;1;2.0;3;0;0;0;0;4.1;0.32;+1.1;+0.56;20;48;41.7;64;10;54.7;39.3;23;56.5;45.3;16;0;0.0;2;1.00;17.5
sct Celtic;1;2.0;8;1;0;2;0;7.5;0.37;-0.5;-0.24;2;10;20.0;75;17;12.0;24.9;10;10.0;23.2;9;0;0.0;2;1.00;16.8
hr Dinamo Zagreb;1;2.0;2;0;0;0;0;1.9;0.31;-0.1;-0.06;8;19;42.1;36;7;27.8;27.7;13;69.2;44.6;18;1;5.6;0;0.00;13.1
de Eint Frankfurt;1;2.0;1;0;0;0;0;1.5;0.18;+0.5;+0.27;17;33;51.5;61;13;42.6;35.5;11;63.6;47.5;8;0;0.0;1;0.50;15.3
tr Fenerbahçe;1;2.0;4;0;0;0;0;4.5;0.44;+0.5;+0.25;1;20;5.0;34;6;52.9;45.7;8;25.0;30.6;10;1;10.0;3;1.50;20.2
hu Ferencváros;1;2.0;5;0;0;0;1;3.5;0.27;-0.5;-0.25;12;21;57.1;45;12;28.9;33.2;21;38.1;33.0;19;2;10.5;0;0.00;11.7
tr Galatasaray;1;2.0;0;0;0;0;0;1.6;0.22;+1.6;+0.79;15;36;41.7;83;10;27.7;33.5;20;65.0;52.7;18;2;11.1;1;0.50;14.8
be Genk;1;2.0;3;2;0;0;0;3.2;0.23;+0.2;+0.11;9;20;45.0;54;10;20.4;28.0;15;60.0;48.1;14;0;0.0;2;1.00;17.8
it Lazio;1;2.0;1;0;0;0;1;1.0;0.20;+1.0;+0.51;3;12;25.0;36;3;30.6;28.9;13;7.7;17.9;9;0;0.0;0;0.00;10.8
pl Legia Warsaw;2;2.0;0;0;0;0;0;1.1;0.18;+1.1;+0.54;10;42;23.8;52;11;51.9;43.1;22;68.2;47.8;18;0;0.0;1;0.50;13.1
eng Leicester City;1;2.0;3;0;0;0;0;3.0;0.27;0.0;-0.01;8;23;34.8;46;4;39.1;39.2;20;25.0;32.2;9;0;0.0;2;1.00;15.1
de Leverkusen;1;2.0;1;0;0;0;0;2.6;0.26;+1.6;+0.79;12;27;44.4;78;17;26.9;32.8;10;60.0;49.3;18;3;16.7;2;1.00;14.8
ru Loko Moscow;1;2.0;3;1;0;1;0;4.3;0.35;+1.3;+0.66;10;19;52.6;49;11;24.5;30.7;18;38.9;35.3;29;1;3.4;1;0.50;11.6
bg Ludogorets;1;2.0;2;0;0;0;0;1.8;0.18;-0.2;-0.11;10;44;22.7;73;12;45.2;40.7;20;55.0;43.5;22;3;13.6;2;1.00;13.8
fr Lyon;1;2.0;0;0;0;0;0;0.4;0.20;+0.4;+0.20;10;17;58.8;43;3;27.9;30.9;17;29.4;32.9;21;2;9.5;3;1.50;35.7
fr Marseille;1;2.0;1;0;0;0;0;0.4;0.15;-0.6;-0.28;2;7;28.6;45;11;15.6;24.0;7;0.0;15.9;2;0;0.0;2;1.00;16.3
dk Midtjylland;1;2.0;4;1;0;0;0;3.7;0.35;-0.3;-0.17;11;32;34.4;58;12;43.1;40.4;9;77.8;51.6;8;2;25.0;4;2.00;15.0
fr Monaco;1;2.0;1;0;0;1;0;0.8;0.28;-0.2;-0.08;13;44;29.5;66;2;42.4;38.9;18;88.9;62.1;12;0;0.0;1;0.50;13.5
it Napoli;2;2.0;5;0;0;1;0;4.3;0.53;-0.7;-0.37;5;13;38.5;44;3;27.3;29.0;10;10.0;21.0;12;1;8.3;2;1.00;16.7
gr Olympiacos;1;2.0;1;0;0;1;0;1.5;0.38;+0.5;+0.27;11;30;36.7;30;9;40.0;36.0;31;58.1;49.9;24;4;16.7;0;0.00;10.9
nl PSV Eindhoven;1;2.0;3;0;0;0;0;2.7;0.30;-0.3;-0.16;3;22;13.6;55;10;30.9;35.2;12;41.7;40.4;13;1;7.7;3;1.50;17.8
sct Rangers;1;2.0;3;0;0;1;1;1.6;0.23;-0.4;-0.20;12;26;46.2;57;9;38.6;34.9;13;30.8;30.2;11;0;0.0;4;2.00;18.3
at Rapid Wien;1;2.0;3;0;0;1;0;2.4;0.41;-0.6;-0.28;11;31;35.5;46;8;47.8;38.4;19;47.4;38.5;13;3;23.1;1;0.50;14.2
es Real Sociedad;1;2.0;3;0;0;1;0;1.6;0.20;-1.4;-0.70;14;25;56.0;48;8;37.5;34.9;13;53.8;42.5;16;0;0.0;3;1.50;16.1
rs Red Star;2;2.0;1;0;0;0;0;0.9;0.29;-0.1;-0.07;12;43;27.9;44;2;70.5;50.5;17;70.6;50.2;11;4;36.4;1;0.50;13.3
cz Sparta Prague;1;2.0;0;0;0;0;0;0.3;0.07;+0.3;+0.15;21;48;43.8;67;10;61.2;46.2;10;70.0;47.8;20;2;10.0;3;1.50;19.5
ru Spartak Moscow;1;2.0;3;0;0;0;0;3.3;0.65;+0.3;+0.13;10;27;37.0;46;7;43.5;41.5;13;53.8;47.6;14;0;0.0;6;3.00;21.4
at Sturm Graz;1;2.0;5;0;0;2;0;3.2;0.27;-1.8;-0.88;14;27;51.9;42;11;45.2;38.0;15;53.3;43.7;16;1;6.3;0;0.00;12.4
eng West Ham;2;2.0;0;0;0;0;0;0.0;0.02;0.0;+0.01;14;28;50.0;39;4;46.2;40.1;13;76.9;57.9;9;1;11.1;1;0.50;14.5
