Squad;# Pl;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;
be Antwerp;15;2.0;25;12;15;8;2;9;31;29.0;22;273;73;26.7;86;146;41;42;10;0;32;31;56;53;0
es Betis;23;2.0;32;21;14;15;3;17;42;40.5;25;266;67;25.2;87;122;57;31;7;0;24;17;49;37;1
pt Braga;20;2.0;42;26;16;20;6;16;33;48.5;17;275;90;32.7;85;143;47;23;5;1;18;26;68;53;1
dk Brøndby;18;2.0;33;23;18;15;0;15;39;38.5;24;362;93;25.7;130;170;62;36;8;0;28;36;69;43;0
sct Celtic;17;2.0;30;24;11;14;5;11;23;47.8;12;251;87;34.7;73;98;80;27;12;0;15;20;50;38;2
hr Dinamo Zagreb;20;2.0;29;18;14;14;1;10;32;31.3;22;324;86;26.5;146;140;38;37;8;0;29;20;49;51;1
de Eint Frankfurt;20;2.0;36;22;18;12;6;14;39;35.9;25;311;104;33.4;102;142;67;22;4;0;18;35;71;69;0
tr Fenerbahçe;18;2.0;23;12;11;8;4;11;30;36.7;19;244;71;29.1;52;128;64;22;2;0;20;40;63;33;0
hu Ferencváros;16;2.0;39;26;21;15;3;8;25;32.0;17;266;73;27.4;103;120;43;27;12;0;15;25;64;49;1
tr Galatasaray;18;2.0;44;24;21;21;2;21;42;50.0;21;291;74;25.4;95;138;58;26;6;1;20;29;73;37;1
be Genk;17;2.0;34;18;17;11;6;8;24;33.3;16;198;72;36.4;72;79;47;31;6;0;25;28;62;41;0
it Lazio;19;2.0;38;26;14;18;6;19;43;44.2;24;336;87;25.9;77;175;84;24;5;0;19;25;63;26;1
pl Legia Warsaw;18;2.0;31;20;15;13;3;10;28;35.7;18;218;63;28.9;105;87;26;43;16;0;27;33;64;56;1
eng Leicester City;19;2.0;31;16;10;13;8;10;27;37.0;17;284;74;26.1;77;137;70;30;8;0;22;18;49;40;0
de Leverkusen;19;2.0;34;19;19;11;4;10;28;35.7;18;336;118;35.1;118;128;90;27;8;0;19;44;78;23;0
ru Loko Moscow;20;2.0;39;23;22;13;4;21;49;42.9;28;394;91;23.1;142;186;66;37;11;1;26;40;79;35;1
bg Ludogorets;18;2.0;38;21;19;18;1;11;43;25.6;32;270;68;25.2;114;108;48;30;9;0;21;23;61;43;0
fr Lyon;19;2.0;30;21;12;14;4;10;26;38.5;16;259;92;35.5;69;132;58;22;4;0;18;35;65;37;1
fr Marseille;17;2.0;28;18;12;9;7;14;36;38.9;22;248;116;46.8;58;101;89;18;3;0;15;21;49;22;0
dk Midtjylland;17;2.0;28;18;8;14;6;9;20;45.0;11;193;62;32.1;48;80;65;24;4;0;20;26;54;23;0
fr Monaco;22;2.0;52;33;25;22;5;18;37;48.6;19;232;93;40.1;87;99;46;20;4;0;16;29;81;31;0
it Napoli;19;2.0;36;17;21;8;7;16;31;51.6;15;358;99;27.7;130;136;92;31;9;0;22;28;64;37;0
gr Olympiacos;18;2.0;34;21;20;12;2;7;24;29.2;17;208;52;25.0;90;86;32;23;9;0;14;40;74;56;0
nl PSV Eindhoven;20;2.0;25;19;16;7;2;9;33;27.3;24;297;120;40.4;95;151;51;21;3;0;18;38;63;17;2
sct Rangers;17;2.0;37;17;15;17;5;15;36;41.7;21;342;110;32.2;105;147;90;20;4;1;16;21;58;25;0
at Rapid Wien;18;2.0;62;35;38;21;3;22;56;39.3;34;469;120;25.6;170;235;64;43;6;0;37;17;79;42;1
es Real Sociedad;20;2.0;44;24;18;20;6;13;35;37.1;22;395;111;28.1;136;172;87;26;7;0;19;31;75;49;0
rs Red Star;19;2.0;32;21;16;14;2;6;16;37.5;10;249;91;36.5;92;106;51;21;8;0;13;41;73;44;2
cz Sparta Prague;17;2.0;35;20;16;17;2;14;31;45.2;17;277;106;38.3;95;129;53;21;4;0;17;35;70;37;0
ru Spartak Moscow;18;2.0;29;16;12;12;5;9;24;37.5;15;217;56;25.8;54;104;59;25;6;0;19;29;58;38;1
at Sturm Graz;18;2.0;42;24;23;13;6;16;43;37.2;27;328;95;29.0;124;140;64;33;8;1;25;32;74;55;0
eng West Ham;19;2.0;38;24;15;19;4;13;42;31.0;29;293;78;26.6;79;151;63;23;9;0;14;36;74;26;0
