Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;W;D;L;Performance-CS;Performance-CS%;Performance-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;Matches;
1;Alphonse Areola\Alphonse-Areola;fr FRA;GK;eng West Ham;28-218;1993;1;1;90;1.0;0;0.00;1;1;100.0;1;0;0;1;100.0;0;0;0;0;;Matches
2;Altay Bayındır\Altay-Bayindir;tr TUR;GK;tr Fenerbahçe;23-172;1998;2;2;180;2.0;4;2.00;11;7;63.6;0;1;1;0;0.0;0;0;0;0;;Matches
3;Milan Borjan\Milan-Borjan;ca CAN;GK;rs Red Star;33-345;1987;1;1;90;1.0;1;1.00;2;1;50.0;1;0;0;0;0.0;0;0;0;0;;Matches
4;Artur Boruc\Artur-Boruc;pl POL;GK;pl Legia Warsaw;41-225;1980;1;1;90;1.0;0;0.00;3;3;100.0;1;0;0;1;100.0;0;0;0;0;;Matches
5;Claudio Bravo\Claudio-Bravo;cl CHI;GK;es Betis;38-173;1983;1;1;90;1.0;3;3.00;6;4;66.7;1;0;0;0;0.0;1;1;0;0;0.0;Matches
6;Jean Butez\Jean-Butez;fr FRA;GK;be Antwerp;26-117;1995;2;2;180;2.0;3;1.50;6;4;66.7;0;0;2;0;0.0;1;1;0;0;0.0;Matches
7;Dénes Dibusz\Denes-Dibusz;hu HUN;GK;hu Ferencváros;30-321;1990;2;2;180;2.0;5;2.50;13;9;61.5;0;0;2;0;0.0;0;0;0;0;;Matches
8;Joel Drommel\Joel-Drommel;nl NED;GK;nl PSV Eindhoven;24-321;1996;2;2;180;2.0;3;1.50;9;6;66.7;1;1;0;0;0.0;0;0;0;0;;Matches
9;Łukasz Fabiański\Lukasz-Fabianski;pl POL;GK;eng West Ham;36-168;1985;1;1;90;1.0;0;0.00;0;0;;1;0;0;1;100.0;0;0;0;0;;Matches
10;Paul Gartler\Paul-Gartler;at AUT;GK;at Rapid Wien;24-207;1997;2;2;180;2.0;3;1.50;6;3;50.0;0;0;2;0;0.0;0;0;0;0;;Matches
11;Joe Hart\Joe-Hart;eng ENG;GK;sct Celtic;34-167;1987;2;2;180;2.0;8;4.00;18;11;61.1;0;0;2;0;0.0;1;1;0;0;0.0;Matches
12;Mads Hermansen\Mads-Hermansen;dk DEN;GK;dk Brøndby;21-084;2000;2;2;180;2.0;3;1.50;13;10;76.9;0;1;1;1;50.0;0;0;0;0;;Matches
13;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;de Leverkusen;31-313;1989;2;2;180;2.0;1;0.50;10;9;90.0;2;0;0;1;50.0;0;0;0;0;;Matches
14;Kristijan Kahlina\Kristijan-Kahlina;hr CRO;GK;bg Ludogorets;29-071;1992;2;2;180;2.0;2;1.00;10;8;80.0;0;1;1;0;0.0;0;0;0;0;;Matches
15;Dominik Livaković\Dominik-Livakovic;hr CRO;GK;hr Dinamo Zagreb;26-267;1995;2;2;180;2.0;2;1.00;6;4;66.7;1;0;1;1;50.0;0;0;0;0;;Matches
16;Anthony Lopes\Anthony-Lopes;pt POR;GK;fr Lyon;31-002;1990;2;2;180;2.0;0;0.00;2;2;100.0;2;0;0;2;100.0;0;0;0;0;;Matches
17;Pau López\Pau-Lopez;es ESP;GK;fr Marseille;26-294;1994;2;2;180;2.0;1;0.50;3;2;66.7;0;2;0;1;50.0;0;0;0;0;;Matches
18;Aleksandr Maksimenko\Aleksandr-Maksimenko;ru RUS;GK;ru Spartak Moscow;23-198;1998;2;2;180;2.0;3;1.50;5;2;40.0;1;0;1;0;0.0;0;0;0;0;;Matches
19;Guilherme Marinato\Guilherme-Marinato;ru RUS;GK;ru Loko Moscow;35-295;1985;2;2;180;2.0;3;1.50;10;8;80.0;0;1;1;0;0.0;1;1;0;0;0.0;Matches
20;Matheus\Matheus;br BRA;GK;pt Braga;29-076;1992;2;2;180;2.0;3;1.50;5;4;60.0;1;0;1;0;0.0;1;1;0;0;0.0;Matches
21;Allan McGregor\Allan-McGregor;sct SCO;GK;sct Rangers;39-245;1982;2;2;180;2.0;3;1.50;7;5;57.1;0;0;2;0;0.0;0;0;0;0;;Matches
22;Alex Meret\Alex-Meret;it ITA;GK;it Napoli;24-195;1997;1;1;90;1.0;3;3.00;3;0;0.0;0;0;1;0;0.0;0;0;0;0;;Matches
23;Cezary Miszta\Cezary-Miszta;pl POL;GK;pl Legia Warsaw;19-338;2001;1;1;90;1.0;0;0.00;3;3;100.0;1;0;0;1;100.0;0;0;0;0;;Matches
24;Fernando Muslera\Fernando-Muslera;uy URU;GK;tr Galatasaray;35-109;1986;2;2;180;2.0;0;0.00;7;7;100.0;1;1;0;2;100.0;0;0;0;0;;Matches
25;Florin Niță\Florin-Nita;ro ROU;GK;cz Sparta Prague;34-092;1987;2;2;180;2.0;0;0.00;4;4;100.0;1;1;0;2;100.0;0;0;0;0;;Matches
26;Alexander Nübel\Alexander-Nubel;de GER;GK;fr Monaco;25-003;1996;2;2;180;2.0;1;0.50;3;2;66.7;1;1;0;1;50.0;0;0;0;0;;Matches
27;David Ospina\David-Ospina;co COL;GK;it Napoli;33-033;1988;1;1;90;1.0;2;2.00;5;3;60.0;0;1;0;0;0.0;0;0;0;0;;Matches
28;Zoran Popović\Zoran-Popovic;rs SRB;GK;rs Red Star;33-128;1988;1;1;90;1.0;0;0.00;1;1;100.0;1;0;0;1;100.0;0;0;0;0;;Matches
29;Elías Rafn Ólafsson\Elias-Rafn-Olafsson;is ISL;GK;dk Midtjylland;21-206;2000;2;2;180;2.0;4;2.00;6;3;50.0;0;1;1;0;0.0;2;1;0;1;0.0;Matches
30;Álex Remiro\Alex-Remiro;es ESP;GK;es Real Sociedad;26-193;1995;2;2;180;2.0;3;1.50;8;5;62.5;0;2;0;0;0.0;0;0;0;0;;Matches
31;Kasper Schmeichel\Kasper-Schmeichel;dk DEN;GK;eng Leicester City;34-332;1986;2;2;180;2.0;3;1.50;11;7;72.7;0;1;1;0;0.0;0;0;0;0;;Matches
32;Jörg Siebenhandl\Jorg-Siebenhandl;at AUT;GK;at Sturm Graz;31-258;1990;2;2;180;2.0;5;2.50;12;7;58.3;0;0;2;0;0.0;0;0;0;0;;Matches
33;Rui Silva\Rui-Silva;pt POR;GK;es Betis;27-238;1994;1;1;90;1.0;1;1.00;2;1;50.0;1;0;0;0;0.0;0;0;0;0;;Matches
34;Thomas Strakosha\Thomas-Strakosha;al ALB;GK;it Lazio;26-198;1995;2;2;180;2.0;1;0.50;5;5;80.0;1;0;1;1;50.0;0;0;0;0;;Matches
35;Kevin Trapp\Kevin-Trapp;de GER;GK;de Eint Frankfurt;31-087;1990;2;2;180;2.0;1;0.50;8;7;87.5;1;1;0;1;50.0;1;0;0;1;;Matches
36;Tomáš Vaclík\Tomas-Vaclik;cz CZE;GK;gr Olympiacos;32-188;1989;2;2;180;2.0;1;0.50;4;3;75.0;2;0;0;1;50.0;0;0;0;0;;Matches
37;Maarten Vandevoordt\Maarten-Vandevoordt;be BEL;GK;be Genk;19-219;2002;2;2;180;2.0;3;1.50;6;5;83.3;1;0;1;1;50.0;2;2;0;0;0.0;Matches
