id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
1;Hatem Abd Elhamed\Hatem-Abd-Elhamed;il ISR;DF;sco Celtic;28;1991;3.8;0;0;0;2;3;1;9;10;4;0;0;0;37;6;8;42.9;Matches
2;Araz Abdullayev\Araz-Abdullayev;az AZE;MFFW;az Qarabağ Ağdam;27;1992;1.6;0;0;0;0;2;0;10;0;2;0;0;0;6;0;4;0.0;Matches
3;Anicet Abel\Anicet-Abel;mg MAD;MF;bg Ludogorets;29;1990;6.3;3;0;0;13;8;0;2;9;8;0;1;0;60;9;8;52.9;Matches
4;Myenty Abena\Myenty-Abena;nl NED;DF;sk Slovan Bratislava;24;1994;6.0;1;0;0;3;2;0;1;7;3;0;1;0;27;13;11;54.2;Matches
5;Charles Abi\Charles-Abi;fr FRA;FW;fr Saint-Étienne;19;2000;0.3;0;0;0;2;0;0;1;0;2;0;0;0;0;1;3;25.0;Matches
6;Pape Abou Cisse\Pape-Abou-Cisse;sn SEN;DF;gr Olympiacos;23;1995;2.0;0;0;0;1;1;1;0;2;1;0;0;0;4;4;1;80.0;Matches
7;Vincent Aboubakar\Vincent-Aboubakar;cm CMR;FW;pt Porto;27;1992;1.0;1;0;0;0;1;0;0;1;1;0;0;0;3;2;3;40.0;Matches
8;Zakaria Aboukhlal\Zakaria-Aboukhlal;nl NED;FW;nl AZ Alkmaar;19;2000;0.1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;;Matches
9;David Abraham\David-Abraham;ar ARG;DF;de Eint Frankfurt;33;1986;8.0;2;0;0;12;5;1;2;12;9;0;0;0;113;23;9;71.9;Matches
10;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;it Lazio;31;1988;6.0;0;0;0;6;2;1;8;13;7;0;0;0;73;9;2;81.8;Matches
11;Marcos Acuña\Marcos-Acuna;ar ARG;DF;pt Sporting CP;27;1991;6.1;2;0;0;10;9;0;41;6;10;1;0;0;53;6;5;54.5;Matches
12;Samuel Adegbenro\Samuel-Adegbenro;ng NGA;FW;no Rosenborg;23;1995;5.4;0;0;0;7;14;5;12;2;2;0;0;0;26;4;7;36.4;Matches
13;Bobby Adekanye\Bobby-Adekanye;nl NED;FWMF;it Lazio;20;1999;1.1;1;0;0;3;5;1;0;1;1;0;0;0;6;0;4;0.0;Matches
14;Kemal Ademi\Kemal-Ademi;ch SUI;FW;ch Basel;23;1996;3.2;0;0;0;7;4;5;2;0;1;0;0;0;11;9;15;37.5;Matches
15;Karim Adeyemi\Karim-Adeyemi;de GER;MF;at RB Salzburg;17;2002;0.5;1;0;0;1;0;1;0;0;0;0;0;0;5;0;1;0.0;Matches
16;Michel Aebischer\Michel-Aebischer;ch SUI;MF;ch Young Boys;22;1997;5.2;0;0;0;5;11;0;23;7;7;0;0;0;62;5;3;62.5;Matches
17;Mikel Agu\Mikel-Agu;ng NGA;MF;pt Vitória;26;1993;4.8;2;0;0;6;6;0;0;14;10;0;0;0;51;14;3;82.4;Matches
18;Anel Ahmedhodzic\Anel-Ahmedhodzic;se SWE;DF;se Malmö;20;1999;2.0;0;0;0;2;1;0;0;6;2;0;0;0;28;4;1;80.0;Matches
19;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MFFW;fr Saint-Étienne;25;1994;2.7;0;0;0;4;5;0;0;4;3;0;0;0;27;2;3;40.0;Matches
20;Ailton\Ailton;br BRA;DF;az Qarabağ Ağdam;24;1995;6.0;1;0;0;15;13;0;12;9;13;0;0;0;52;25;8;75.8;Matches
21;Kristoffer Ajer\Kristoffer-Ajer;no NOR;DF;sco Celtic;21;1998;7.5;2;0;0;6;2;1;1;13;9;0;1;0;80;26;17;60.5;Matches
22;Ilzat Akhmetov\Ilzat-Akhmetov;ru RUS;MF;ru CSKA Moscow;21;1997;3.9;0;0;0;3;1;0;4;7;3;0;0;0;41;1;2;33.3;Matches
23;Igor Akinfeev\Igor-Akinfeev;ru RUS;GK;ru CSKA Moscow;33;1986;5.0;1;0;0;1;0;0;0;0;0;0;1;0;23;0;0;;Matches
24;Babajide Akintola\Babajide-Akintola;ng NGA;FW;no Rosenborg;23;1996;2.8;0;0;0;4;3;1;10;1;5;0;0;0;13;4;6;40.0;Matches
25;Muhammet Akpınar\Muhammet-Akpinar;tr TUR;FWMF;tr Trabzonspor;17;2002;2.2;0;0;0;9;9;1;1;2;4;0;0;0;5;2;7;22.2;Matches
26;Nana Akwasi Asare\Nana-Akwasi-Asare;gh GHA;DF;be Gent;33;1986;5.0;2;0;0;11;9;0;6;7;7;0;0;0;43;4;7;36.4;Matches
27;Lucas Alario\Lucas-Alario;ar ARG;FW;de Leverkusen;26;1992;1.9;0;0;0;5;3;0;0;0;0;0;0;0;9;7;12;36.8;Matches
28;Luis Alberto\Luis-Alberto;es ESP;MF;it Lazio;26;1992;2.3;1;0;0;2;2;1;8;0;2;0;0;0;21;1;3;25.0;Matches
29;Omar Alderete\Omar-Alderete;py PAR;DF;ch Basel;22;1996;8.0;4;0;0;17;7;0;0;9;12;0;1;0;68;14;12;53.8;Matches
30;Alef\Alef;br BRA;MF;cy APOEL;24;1995;2.6;1;0;0;7;4;0;1;7;2;0;1;0;35;6;1;85.7;Matches
31;Danijel Aleksić\Danijel-Aleksic;rs SRB;MF;tr Başakşehir;28;1991;4.4;1;0;0;4;5;0;9;5;5;0;0;0;42;4;5;44.4;Matches
32;Almoatasembellah Ali\Almoatasembellah-Ali;ly LBY;MF;pt Vitória;23;1996;1.0;1;0;0;1;0;0;0;1;0;0;0;0;19;1;2;33.3;Matches
33;Domingos André Ribeiro Almeida\Domingos-Andre-Ribeiro-Almeida;pt POR;MF;pt Vitória;19;2000;0.7;0;0;0;1;5;0;4;1;0;0;0;0;3;0;1;0.0;Matches
34;Richard Almeida\Richard-Almeida;az AZE;MF;az Qarabağ Ağdam;30;1989;5.4;1;0;0;5;17;0;2;8;8;0;0;0;50;4;1;80.0;Matches
35;Stathis Aloneftis\Stathis-Aloneftis;cy CYP;FW;cy APOEL;36;1983;0.8;0;0;0;0;0;0;0;1;1;0;0;0;4;0;3;0.0;Matches
36;Éder Álvarez Balanta\Eder-Alvarez-Balanta;co COL;MF;be Club Brugge;26;1993;0.5;1;0;0;1;1;0;0;1;2;0;0;0;4;1;1;50.0;Matches
37;Edson Álvarez\Edson-Alvarez;mx MEX;DF;nl Ajax;21;1997;0.7;1;0;0;3;1;0;0;0;0;0;0;0;6;1;6;14.3;Matches
38;Selim Amallah\Selim-Amallah;ma MAR;MF;be Standard Liège;22;1996;3.1;1;0;0;7;13;0;5;6;3;0;0;0;35;5;8;38.5;Matches
39;Nadiem Amiri\Nadiem-Amiri;de GER;MF;de Leverkusen;22;1996;2.0;1;0;0;2;6;1;3;1;2;0;0;0;26;0;1;0.0;Matches
40;Pål André Helland\Pal-Andre-Helland;no NOR;FWMF;no Rosenborg;29;1990;1.1;1;0;0;4;2;0;9;0;1;0;0;0;3;0;2;0.0;Matches
41;Marc Andre Schmerböck\Marc-Andre-Schmerbock;at AUT;FWMF;at Wolfsberger AC;25;1994;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;100.0;Matches
42;Marcos Antônio\Marcos-Antonio;br BRA;MF;ua Shakhtar;19;2000;2.1;0;0;0;1;3;0;0;2;1;0;0;0;33;1;0;100.0;Matches
43;Marcus Antonsson\Marcus-Antonsson;se SWE;MFFW;se Malmö;28;1991;3.1;0;0;0;5;9;2;0;4;2;0;0;0;14;2;7;22.2;Matches
44;Mirko Antonucci\Mirko-Antonucci;it ITA;MF;it Roma;20;1999;0.3;1;0;0;1;1;0;0;0;0;0;0;0;3;0;1;0.0;Matches
45;Youssef El-Arabi\Youssef-El-Arabi;ma MAR;FW;gr Olympiacos;32;1987;3.2;1;0;0;4;6;2;2;1;1;0;0;0;8;3;21;12.5;Matches
