Squad;# Pl;90s;Performance-CrdY;Performance-CrdR;Performance-2CrdY;Performance-Fls;Performance-Fld;Performance-Off;Performance-Crs;Performance-Int;Performance-TklW;Performance-PKwon;Performance-PKcon;Performance-OG;Performance-Recov;Aerial Duels-Won;Aerial Duels-Lost;Aerial Duels-Won%;
be Antwerp;15;2.0;7;1;1;24;20;1;20;31;12;0;1;0;161;30;50;37.5
es Betis;23;2.0;7;0;0;23;17;4;21;17;21;0;1;0;136;24;28;46.2
pt Braga;20;2.0;5;0;0;19;30;1;13;26;26;2;2;0;167;35;38;47.9
dk Brøndby;18;2.0;2;0;0;21;15;7;18;36;23;0;0;0;161;30;37;44.8
sct Celtic;17;2.0;4;0;0;20;23;5;31;20;24;1;1;0;148;31;27;53.4
hr Dinamo Zagreb;20;2.0;1;0;0;19;19;2;12;20;18;2;0;0;145;29;20;59.2
de Eint Frankfurt;20;2.0;3;0;0;26;21;12;31;35;22;1;1;0;197;59;25;70.2
tr Fenerbahçe;18;2.0;6;0;0;19;20;5;25;40;12;1;0;0;166;26;48;35.1
hu Ferencváros;16;2.0;1;0;0;12;22;5;11;25;26;0;0;1;123;20;20;50.0
tr Galatasaray;18;2.0;4;0;0;19;18;0;9;29;24;0;0;0;144;14;14;50.0
be Genk;17;2.0;4;1;0;19;22;4;24;28;18;0;1;0;173;25;27;48.1
it Lazio;19;2.0;5;0;0;23;18;4;31;25;26;0;0;1;144;17;18;48.6
pl Legia Warsaw;18;2.0;8;0;0;22;27;6;16;33;20;0;0;0;155;28;32;46.7
eng Leicester City;19;2.0;7;1;1;23;19;3;20;18;16;0;0;0;165;28;27;50.9
de Leverkusen;19;2.0;2;0;0;22;11;4;32;44;19;0;0;0;157;23;23;50.0
ru Loko Moscow;20;2.0;5;1;1;27;25;1;8;40;23;0;0;0;115;14;24;36.8
bg Ludogorets;18;2.0;5;1;1;26;25;5;11;23;21;0;0;0;177;30;34;46.9
fr Lyon;19;2.0;4;0;0;18;22;8;22;35;21;0;0;0;155;30;18;62.5
fr Marseille;17;2.0;5;0;0;22;27;5;40;21;18;1;0;0;175;21;10;67.7
dk Midtjylland;17;2.0;5;1;0;33;18;0;31;26;18;1;2;0;186;39;28;58.2
fr Monaco;22;2.0;4;0;0;16;25;5;22;29;33;0;0;0;174;46;21;68.7
it Napoli;19;2.0;6;1;0;18;33;8;25;28;17;0;0;0;136;18;26;40.9
gr Olympiacos;18;2.0;5;0;0;20;19;3;24;40;21;0;0;0;109;39;31;55.7
nl PSV Eindhoven;20;2.0;6;1;1;27;24;1;29;38;19;0;0;0;175;22;42;34.4
sct Rangers;17;2.0;6;1;1;29;22;7;33;21;17;0;0;1;184;35;28;55.6
at Rapid Wien;18;2.0;7;0;0;22;16;1;16;17;35;0;0;0;169;19;38;33.3
es Real Sociedad;20;2.0;6;0;0;18;22;4;16;31;24;0;0;0;159;38;48;44.2
rs Red Star;19;2.0;6;0;0;23;24;3;21;41;21;1;0;0;176;33;37;47.1
cz Sparta Prague;17;2.0;4;0;0;20;25;2;18;35;20;0;0;0;181;35;47;42.7
ru Spartak Moscow;18;2.0;12;1;1;37;18;1;28;29;16;0;0;0;142;30;19;61.2
at Sturm Graz;18;2.0;5;0;0;32;19;3;15;32;24;0;0;0;147;25;20;55.6
eng West Ham;19;2.0;2;0;0;17;16;3;16;36;24;0;0;0;163;33;21;61.1
