Rk;Player;Nation;Pos;Squad;Age;Born;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;Matches;
1;Patrick van Aanholt\Patrick-van-Aanholt;nl NED;DF;tr Galatasaray;31-035;1990;2.0;103;86;17;1;0;15;3;1;1;0;1;0;75;15;13;76;11;0;15;0;84;0;1;1;3;Matches
2;Liel Abada\Liel-Abada;il ISR;FWMF;sct Celtic;20-000;2001;1.0;45;43;2;0;0;10;2;6;0;0;0;0;30;9;6;11;32;0;2;0;30;0;1;4;2;Matches
3;Pape Abou Cisse\Pape-Abou-Cisse;sn SEN;DF;gr Olympiacos;26-019;1995;2.0;89;83;6;6;0;8;6;1;0;0;0;0;59;8;22;34;49;3;0;0;72;1;3;2;1;Matches
4;Joel Abu Hanna\Joel-Abu-Hanna;il ISR;DF;pl Legia Warsaw;23-254;1998;0.1;6;5;1;0;0;1;0;0;0;0;0;0;2;0;4;3;1;1;1;0;3;0;0;1;0;Matches
5;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;it Lazio;33-235;1988;2.0;149;142;7;6;1;6;9;0;0;0;0;0;112;13;24;113;28;6;1;0;141;0;2;1;0;Matches
6;Arijan Ademi\Arijan-Ademi;mk MKD;MF;hr Dinamo Zagreb;30-127;1991;1.7;61;59;2;1;0;8;0;0;0;0;0;0;51;5;5;13;43;4;1;0;54;1;1;1;1;Matches
7;Amine Adli\Amine-Adli;fr FRA;FW;de Leverkusen;21-146;2000;0.9;36;36;0;0;0;3;0;0;0;0;0;0;32;4;0;34;2;0;0;0;29;0;0;2;3;Matches
8;David Affengruber\David-Affengruber;at AUT;DF;at Sturm Graz;20-198;2001;2.0;77;73;4;4;0;6;0;0;0;0;0;0;55;4;18;7;59;8;0;0;58;0;4;2;1;Matches
9;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;fr Monaco;28-160;1993;1.5;158;129;29;6;0;10;4;4;2;0;2;0;109;22;27;4;128;4;21;0;139;0;1;4;1;Matches
10;Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng;sn SEN;FW;fr Marseille;21-194;2000;1.6;35;32;3;0;0;6;1;1;0;0;0;0;24;10;1;1;29;0;1;1;30;0;0;1;2;Matches
11;Emanuel Aiwum\Emanuel-Aiwum;at AUT;DFMF;at Rapid Wien;20-282;2000;2.0;94;82;12;2;0;4;4;0;0;0;0;0;61;15;18;9;67;8;10;0;76;0;3;1;3;Matches
12;Albian Ajeti\Albian-Ajeti;ch SUI;FW;sct Celtic;24-219;1997;1.2;14;9;5;0;0;3;0;0;0;0;0;0;11;3;0;2;11;1;0;0;13;0;0;0;0;Matches
