Squad;# Pl;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Outcomes-Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;
be Antwerp;15;2.0;883;778;105;29;0;109;21;20;8;3;2;2;526;144;213;140;619;37;50;11;681;0;18;32;12
es Betis;23;2.0;1028;942;86;26;3;146;26;21;10;1;6;0;739;124;165;426;515;31;30;9;868;3;14;15;12
pt Braga;20;2.0;1167;1056;111;33;4;76;36;13;9;5;2;0;834;134;199;299;752;36;44;18;968;1;12;37;19
dk Brøndby;18;2.0;798;711;87;21;2;86;21;18;2;1;1;0;478;131;189;124;561;41;36;17;585;7;20;39;15
sct Celtic;17;2.0;1201;1100;101;27;3;176;22;31;12;2;3;1;919;133;149;279;808;34;43;21;1026;4;13;30;24
hr Dinamo Zagreb;20;2.0;929;854;75;20;0;124;12;12;4;0;1;0;677;116;136;199;643;28;30;10;771;3;17;28;18
de Eint Frankfurt;20;2.0;1014;912;102;23;1;121;24;31;13;4;2;2;601;199;214;312;540;56;52;19;778;12;16;34;35
tr Fenerbahçe;18;2.0;962;850;112;31;2;149;38;25;9;4;3;0;641;122;199;339;498;38;58;10;749;4;22;41;20
hu Ferencváros;16;2.0;803;708;95;22;0;121;23;11;7;3;4;0;551;104;148;253;461;29;37;13;662;5;9;30;17
tr Galatasaray;18;2.0;972;884;88;25;2;121;34;9;7;3;1;2;737;78;157;361;524;25;32;12;800;0;18;20;24
be Genk;17;2.0;1166;1058;108;28;0;168;22;24;14;6;6;1;860;143;163;393;667;28;46;17;971;4;18;22;34
it Lazio;19;2.0;1184;1088;96;19;5;112;21;31;7;3;3;0;888;160;136;332;755;29;54;6;1035;4;19;39;11
pl Legia Warsaw;18;2.0;828;730;98;28;3;105;30;16;7;2;3;0;493;126;209;265;451;38;39;15;641;4;13;28;18
eng Leicester City;19;2.0;1108;1012;96;25;2;145;20;20;10;4;1;5;837;119;152;268;737;40;36;8;918;3;30;24;29
de Leverkusen;19;2.0;1230;1159;71;14;5;105;24;32;13;7;5;0;964;115;151;479;660;30;28;19;1050;3;23;29;20
ru Loko Moscow;20;2.0;741;650;91;29;2;37;18;8;4;2;1;0;527;94;120;91;570;23;35;13;610;1;13;22;10
bg Ludogorets;18;2.0;904;806;98;25;0;86;20;11;5;2;2;0;584;128;192;106;675;37;44;17;696;5;15;27;14
fr Lyon;19;2.0;1383;1292;91;26;1;175;43;22;8;4;1;0;1078;147;158;391;898;29;38;10;1197;7;20;38;20
fr Marseille;17;2.0;1497;1399;98;27;1;182;44;40;15;8;5;0;1173;163;161;471;930;23;46;15;1327;5;15;24;35
dk Midtjylland;17;2.0;904;806;98;23;1;103;41;31;18;9;8;0;572;113;219;221;546;49;42;15;699;0;19;30;20
fr Monaco;22;2.0;1153;1037;116;27;0;193;45;22;10;0;8;0;772;142;239;314;708;33;58;7;933;4;22;30;23
it Napoli;19;2.0;1005;896;109;33;2;136;28;25;14;5;8;0;726;133;146;322;597;24;44;9;840;8;12;18;25
gr Olympiacos;18;2.0;841;737;104;23;3;88;25;24;8;2;3;1;535;123;183;220;516;30;39;17;665;3;23;35;17
nl PSV Eindhoven;20;2.0;1208;1088;120;26;3;174;29;29;14;1;10;0;845;173;190;422;649;34;63;21;988;1;20;31;21
sct Rangers;17;2.0;1067;952;115;26;2;160;31;33;8;3;5;0;696;142;229;286;629;43;63;18;851;6;18;29;18
at Rapid Wien;18;2.0;911;813;98;20;0;71;24;16;5;3;2;0;578;136;197;225;563;50;49;12;713;0;22;31;22
es Real Sociedad;20;2.0;1027;931;96;26;1;133;28;16;6;1;2;2;677;146;204;326;553;60;46;12;829;4;19;33;21
rs Red Star;19;2.0;754;661;93;24;2;145;25;21;10;7;2;0;416;129;209;205;420;56;39;7;558;2;30;16;19
cz Sparta Prague;17;2.0;948;837;111;35;3;166;37;18;6;2;3;0;535;174;239;209;575;58;58;17;719;2;20;13;26
ru Spartak Moscow;18;2.0;986;885;101;25;2;105;30;28;15;6;6;1;701;128;157;332;556;26;43;14;815;1;17;32;18
at Sturm Graz;18;2.0;707;619;88;22;0;118;17;15;3;0;2;1;437;84;186;183;417;37;38;15;523;3;19;32;13
eng West Ham;19;2.0;1045;943;102;18;1;170;27;16;15;6;2;2;700;168;177;282;647;30;53;9;874;3;15;9;31
