Rk;Player;Nation;Pos;Squad;Age;Born;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;Matches;
1;Patrick van Aanholt\Patrick-van-Aanholt;nl NED;DF;tr Galatasaray;31-035;1990;2.0;84;103;81.6;1645;464;22;25;88.0;52;60;86.7;9;14;64.3;0;0.0;0.0;1;9;0;0;9;Matches
2;Liel Abada\Liel-Abada;il ISR;FWMF;sct Celtic;20-000;2001;1.0;30;45;66.7;378;154;21;23;91.3;7;14;50.0;1;3;33.3;0;0.4;-0.4;4;1;4;1;4;Matches
3;Pape Abou Cisse\Pape-Abou-Cisse;sn SEN;DF;gr Olympiacos;26-019;1995;2.0;72;89;80.9;1786;620;14;14;100.0;45;49;91.8;13;25;52.0;0;0.0;0.0;0;6;2;1;4;Matches
4;Joel Abu Hanna\Joel-Abu-Hanna;il ISR;DF;pl Legia Warsaw;23-254;1998;0.1;3;6;50.0;84;64;0;0;;1;2;50.0;2;4;50.0;0;0.0;0.0;1;1;0;0;1;Matches
5;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;it Lazio;33-235;1988;2.0;141;149;94.6;3226;990;45;46;97.8;60;61;98.4;35;41;85.4;0;1.2;-1.2;2;9;0;0;4;Matches
6;Arijan Ademi\Arijan-Ademi;mk MKD;MF;hr Dinamo Zagreb;30-127;1991;1.7;54;61;88.5;831;176;24;29;82.8;24;24;100.0;3;4;75.0;0;0.0;0.0;0;4;0;0;2;Matches
7;Amine Adli\Amine-Adli;fr FRA;FW;de Leverkusen;21-146;2000;0.9;29;36;80.6;417;163;20;23;87.0;6;8;75.0;2;2;100.0;0;0.2;-0.2;3;5;1;0;6;Matches
8;David Affengruber\David-Affengruber;at AUT;DF;at Sturm Graz;20-198;2001;2.0;58;77;75.3;1179;375;22;26;84.6;24;30;80.0;12;19;63.2;0;0.0;0.0;0;0;0;0;3;Matches
9;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;fr Monaco;28-160;1993;1.5;139;158;88.0;2630;1089;62;63;98.4;63;70;90.0;14;24;58.3;0;0.1;-0.1;2;12;0;0;11;Matches
10;Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng;sn SEN;FW;fr Marseille;21-194;2000;1.6;30;35;85.7;430;69;20;21;95.2;8;10;80.0;1;1;100.0;0;0.1;-0.1;2;1;1;1;1;Matches
11;Emanuel Aiwum\Emanuel-Aiwum;at AUT;DFMF;at Rapid Wien;20-282;2000;2.0;76;94;80.9;1488;578;36;41;87.8;28;32;87.5;11;18;61.1;0;0.0;0.0;1;2;0;0;3;Matches
12;Albian Ajeti\Albian-Ajeti;ch SUI;FW;sct Celtic;24-219;1997;1.2;13;14;92.9;137;16;12;12;100.0;0;1;0.0;0;0;;0;0.1;-0.1;2;1;0;0;0;Matches
13;Paul Akouokou\Paul-Akouokou;ci CIV;MF;es Betis;23-287;1997;0.6;32;36;88.9;720;71;10;11;90.9;15;17;88.2;7;8;87.5;0;0.0;0.0;0;2;0;0;0;Matches
14;Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro;ci CIV;MF;it Lazio;28-357;1992;0.6;21;22;95.5;321;65;11;11;100.0;10;10;100.0;0;1;0.0;0;0.0;0.0;0;3;0;0;0;Matches
15;Kerem Aktürkoğlu\Kerem-Akturkoglu;tr TUR;FW;tr Galatasaray;22-347;1998;1.8;32;46;69.6;470;180;20;24;83.3;9;13;69.2;2;5;40.0;0;0.2;-0.2;3;3;2;1;3;Matches
16;Lucas Alario\Lucas-Alario;ar ARG;FW;de Leverkusen;28-360;1992;1.5;19;26;73.1;226;42;13;16;81.3;1;4;25.0;2;3;66.7;0;0.3;-0.3;3;2;1;0;2;Matches
17;Luis Alberto\Luis-Alberto;es ESP;MF;it Lazio;29-005;1992;1.4;79;90;87.8;1384;533;42;44;95.5;27;34;79.4;10;12;83.3;1;0.4;+0.6;6;7;3;1;8;Matches
18;Almoatasembellah Ali\Almoatasembellah-Ali;ly LBY;MF;pt Braga;25-180;1996;1.8;120;137;87.6;2722;605;37;40;92.5;56;64;87.5;27;31;87.1;0;0.1;-0.1;2;16;1;0;9;Matches
19;Dinis Almeida\Dinis-Almeida;pt POR;DF;be Antwerp;26-097;1995;2.0;102;112;91.1;2551;921;16;17;94.1;58;62;93.5;28;33;84.8;0;0.0;0.0;1;7;0;0;7;Matches
20;Daniel Amartey\Daniel-Amartey;gh GHA;DF;eng Leicester City;26-286;1994;0.9;72;75;96.0;1257;397;36;37;97.3;29;30;96.7;7;8;87.5;0;0.0;0.0;1;9;1;1;1;Matches
