Squad;# Pl;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;
be Antwerp;15;2.0;681;883;77.1;14640;5347;230;268;85.8;310;375;82.7;133;219;60.7;1;1.6;-0.6;22;49;9;3;52
es Betis;23;2.0;868;1028;84.4;17099;4590;326;359;90.8;405;449;90.2;124;196;63.3;5;3.4;+1.6;23;48;12;0;44
pt Braga;20;2.0;968;1167;82.9;19856;5796;345;383;90.1;443;515;86.0;166;239;69.5;2;1.4;+0.6;23;67;14;2;64
dk Brøndby;18;2.0;585;798;73.3;12400;4560;207;250;82.8;252;306;82.4;113;211;53.6;0;0.3;-0.3;7;40;6;2;37
sct Celtic;17;2.0;1026;1201;85.4;18758;5716;437;484;90.3;470;525;89.5;109;161;67.7;2;1.7;+0.3;23;67;21;6;68
hr Dinamo Zagreb;20;2.0;771;929;83.0;13616;4223;343;381;90.0;324;365;88.8;82;144;56.9;1;0.8;+0.2;9;37;7;1;42
de Eint Frankfurt;20;2.0;778;1014;76.7;15250;5602;312;369;84.6;343;405;84.7;110;196;56.1;1;1.1;-0.1;11;48;14;5;72
tr Fenerbahçe;18;2.0;749;962;77.9;15072;4534;261;303;86.1;365;432;84.5;112;198;56.6;1;2.2;-1.2;20;51;22;6;71
hu Ferencváros;16;2.0;662;803;82.4;13529;4630;247;278;88.8;301;334;90.1;106;170;62.4;1;2.1;-1.1;17;48;10;2;53
tr Galatasaray;18;2.0;800;972;82.3;17157;5638;259;289;89.6;384;431;89.1;148;220;67.3;0;0.9;-0.9;14;57;11;1;58
be Genk;17;2.0;971;1166;83.3;17802;6168;439;483;90.9;407;460;88.5;115;181;63.5;1;1.6;-0.6;19;76;26;4;93
it Lazio;19;2.0;1035;1184;87.4;17765;5652;498;535;93.1;418;477;87.6;95;134;70.9;2;3.9;-1.9;28;56;16;5;63
pl Legia Warsaw;18;2.0;641;828;77.4;12972;4178;258;291;88.7;269;320;84.1;105;192;54.7;1;2.4;-1.4;16;39;8;1;45
eng Leicester City;19;2.0;918;1108;82.9;16520;5048;424;465;91.2;379;429;88.3;101;171;59.1;2;2.3;-0.3;19;68;19;5;65
de Leverkusen;19;2.0;1050;1230;85.4;19905;5899;443;485;91.3;444;507;87.6;146;203;71.9;5;3.6;+1.4;31;72;27;5;79
ru Loko Moscow;20;2.0;610;741;82.3;12464;4200;201;230;87.4;301;341;88.3;96;143;67.1;0;0.6;-0.6;13;25;6;0;41
bg Ludogorets;18;2.0;696;904;77.0;14230;4283;239;267;89.5;332;395;84.1;115;212;54.2;0;0.3;-0.3;6;35;6;2;40
fr Lyon;19;2.0;1197;1383;86.6;21523;6482;561;614;91.4;449;498;90.2;153;217;70.5;3;3.2;-0.2;25;71;21;3;84
fr Marseille;17;2.0;1327;1497;88.6;23297;6045;625;666;93.8;529;574;92.2;149;204;73.0;0;2.2;-2.2;24;114;28;7;90
dk Midtjylland;17;2.0;699;904;77.3;14396;5322;276;321;86.0;282;331;85.2;124;211;58.8;1;1.7;-0.7;17;57;16;5;80
fr Monaco;22;2.0;933;1153;80.9;19348;5633;346;382;90.6;394;456;86.4;180;282;63.8;2;2.1;-0.1;21;61;18;4;68
it Napoli;19;2.0;840;1005;83.6;15738;5095;360;403;89.3;351;392;89.5;110;172;64.0;2;2.5;-0.5;22;50;16;4;60
gr Olympiacos;18;2.0;665;841;79.1;13968;4856;230;272;84.6;317;359;88.3;110;186;59.1;5;2.6;+2.4;19;35;18;7;58
nl PSV Eindhoven;20;2.0;988;1208;81.8;17779;5064;443;481;92.1;387;458;84.5;126;207;60.9;5;2.6;+2.4;23;58;22;2;65
sct Rangers;17;2.0;851;1067;79.8;16076;5788;365;412;88.6;356;416;85.6;113;198;57.1;0;0.8;-0.8;14;49;15;4;59
at Rapid Wien;18;2.0;713;911;78.3;13678;5092;293;336;87.2;314;364;86.3;93;177;52.5;0;0.8;-0.8;14;36;11;5;45
es Real Sociedad;20;2.0;829;1027;80.7;17274;5052;273;318;85.8;410;481;85.2;135;201;67.2;3;1.2;+1.8;16;51;13;7;57
rs Red Star;19;2.0;558;754;74.0;11839;4272;181;210;86.2;276;337;81.9;94;184;51.1;1;1.4;-0.4;17;46;15;4;57
cz Sparta Prague;17;2.0;719;948;75.8;14880;4950;289;334;86.5;253;316;80.1;149;243;61.3;1;2.3;-1.3;19;50;11;4;51
ru Spartak Moscow;18;2.0;815;986;82.7;15058;4925;363;409;88.8;331;374;88.5;105;171;61.4;0;3.4;-3.4;30;67;19;3;83
at Sturm Graz;18;2.0;523;707;74.0;9828;3784;236;280;84.3;202;255;79.2;70;135;51.9;1;1.2;-0.2;14;26;9;1;42
eng West Ham;19;2.0;874;1045;83.6;16329;5621;385;420;91.7;356;400;89.0;119;182;65.4;2;2.6;-0.6;21;53;20;3;65
