Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;Matches;
1;Patrick van Aanholt\Patrick-van-Aanholt;nl NED;DF;tr Galatasaray;31-035;1990;2.0;129;6;42;70;28;1;113;1;3;33.3;1;0;78;458;270;11;2;0;4;0;82;76;92.7;4;Matches
2;Liel Abada\Liel-Abada;il ISR;FWMF;sct Celtic;20-000;2001;1.0;53;1;6;16;34;2;51;1;1;100.0;1;0;43;261;149;6;3;0;0;3;57;41;71.9;7;Matches
3;Pape Abou Cisse\Pape-Abou-Cisse;sn SEN;DF;gr Olympiacos;26-019;1995;2.0;122;20;64;54;9;4;117;1;1;100.0;1;0;64;309;166;6;0;0;1;2;79;78;98.7;2;Matches
4;Joel Abu Hanna\Joel-Abu-Hanna;il ISR;DF;pl Legia Warsaw;23-254;1998;0.1;10;3;7;3;0;0;9;0;0;;0;0;3;9;6;0;0;0;0;0;3;3;100.0;0;Matches
5;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;it Lazio;33-235;1988;2.0;156;16;81;85;4;1;150;0;0;;0;0;108;655;418;7;2;0;0;0;127;125;98.4;0;Matches
6;Arijan Ademi\Arijan-Ademi;mk MKD;MF;hr Dinamo Zagreb;30-127;1991;1.7;81;3;21;51;17;4;79;2;4;50.0;2;0;58;299;143;4;2;0;0;6;62;52;83.9;5;Matches
7;Amine Adli\Amine-Adli;fr FRA;FW;de Leverkusen;21-146;2000;0.9;53;1;8;18;32;4;53;2;6;33.3;2;0;43;282;193;8;2;0;4;2;49;41;83.7;10;Matches
8;David Affengruber\David-Affengruber;at AUT;DF;at Sturm Graz;20-198;2001;2.0;102;24;61;44;3;1;100;0;0;;0;0;48;417;228;4;0;0;2;0;51;51;100.0;0;Matches
9;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;fr Monaco;28-160;1993;1.5;170;4;60;87;40;1;143;2;3;66.7;2;0;108;621;353;12;6;0;1;0;120;115;95.8;2;Matches
10;Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng;sn SEN;FW;fr Marseille;21-194;2000;1.6;56;1;4;18;36;9;53;1;6;16.7;1;0;38;231;93;7;1;1;2;2;66;39;59.1;16;Matches
11;Emanuel Aiwum\Emanuel-Aiwum;at AUT;DFMF;at Rapid Wien;20-282;2000;2.0;122;9;66;52;11;1;112;1;1;100.0;1;0;72;307;141;3;0;0;4;2;70;67;95.7;2;Matches
12;Albian Ajeti\Albian-Ajeti;ch SUI;FW;sct Celtic;24-219;1997;1.2;33;1;1;10;23;14;28;0;1;0.0;0;0;14;54;30;2;0;1;3;2;40;16;40.0;11;Matches
13;Paul Akouokou\Paul-Akouokou;ci CIV;MF;es Betis;23-287;1997;0.6;44;3;13;31;2;0;44;0;0;;0;0;34;118;51;3;0;0;1;1;32;32;100.0;0;Matches
14;Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro;ci CIV;MF;it Lazio;28-357;1992;0.6;26;0;2;22;2;0;25;0;1;0.0;0;0;17;79;28;3;0;0;1;0;25;22;88.0;0;Matches
15;Kerem Aktürkoğlu\Kerem-Akturkoglu;tr TUR;FW;tr Galatasaray;22-347;1998;1.8;64;0;5;35;29;10;64;1;5;20.0;1;0;48;282;196;8;2;2;4;0;66;47;71.2;15;Matches
16;Lucas Alario\Lucas-Alario;ar ARG;FW;de Leverkusen;28-360;1992;1.5;40;0;2;12;26;11;37;1;1;100.0;1;0;20;92;45;3;0;2;4;0;54;30;55.6;12;Matches
17;Luis Alberto\Luis-Alberto;es ESP;MF;it Lazio;29-005;1992;1.4;109;3;11;76;29;1;100;0;3;0.0;0;0;75;363;232;11;3;1;4;2;88;82;93.2;5;Matches
18;Almoatasembellah Ali\Almoatasembellah-Ali;ly LBY;MF;pt Braga;25-180;1996;1.8;145;3;33;109;11;0;141;0;0;;0;0;81;309;149;1;1;0;0;0;115;111;96.5;0;Matches
19;Dinis Almeida\Dinis-Almeida;pt POR;DF;be Antwerp;26-097;1995;2.0;142;23;80;66;3;2;136;0;0;;0;0;81;405;178;5;1;0;2;1;88;86;97.7;0;Matches
20;Daniel Amartey\Daniel-Amartey;gh GHA;DF;eng Leicester City;26-286;1994;0.9;80;1;19;59;7;0;78;0;1;0.0;0;0;72;376;206;8;2;0;1;1;72;69;95.8;0;Matches
21;Nadiem Amiri\Nadiem-Amiri;de GER;MF;de Leverkusen;24-341;1996;0.4;28;1;15;9;6;1;28;0;0;;0;0;24;176;103;2;1;0;0;0;24;20;83.3;0;Matches
22;Felipe Anderson\Felipe-Anderson;br BRA;FW;it Lazio;28-171;1993;1.7;115;2;19;64;43;9;112;10;13;76.9;10;4;85;651;436;22;7;4;3;3;92;82;89.1;6;Matches
23;Joel Andersson\Joel-Andersson;se SWE;DF;dk Midtjylland;24-326;1996;2.0;86;2;20;44;29;6;82;2;3;66.7;2;0;49;245;91;7;4;1;1;1;58;50;86.2;5;Matches
24;Komnen Andrić\Komnen-Andric;rs SRB;MF;hr Dinamo Zagreb;26-094;1995;0.1;3;0;0;1;2;1;3;0;0;;0;0;1;6;0;0;0;0;0;0;4;3;75.0;1;Matches
25;Faustino Anjorin\Faustino-Anjorin;eng ENG;FW;ru Loko Moscow;19-314;2001;1.2;50;1;5;33;16;6;50;3;8;37.5;5;1;43;283;225;6;3;2;6;3;40;32;80.0;8;Matches
26;Taylan Antalyalı\Taylan-Antalyali;tr TUR;MF;tr Galatasaray;26-268;1995;1.9;122;8;46;68;11;0;121;1;1;100.0;1;0;88;334;113;6;0;0;0;2;87;85;97.7;1;Matches
