Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-Gls;Performance-Ast;Performance-G-PK;Performance-PK;Performance-PKatt;Performance-CrdY;Performance-CrdR;Per 90 Minutes-Gls;Per 90 Minutes-Ast;Per 90 Minutes-G+A;Per 90 Minutes-G-PK;Per 90 Minutes-G+A-PK;Expected-xG;Expected-npxG;Expected-xA;Expected-npxG+xA;Per 90 Minutes-xG;Per 90 Minutes-xA;Per 90 Minutes-xG+xA;Per 90 Minutes-npxG;Per 90 Minutes-npxG+xA;Matches;
1;Patrick van Aanholt\Patrick-van-Aanholt;nl NED;DF;tr Galatasaray;31-035;1990;2;2;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.04;0.01;0.05;0.04;0.05;Matches
2;Liel Abada\Liel-Abada;il ISR;FWMF;sct Celtic;20-000;2001;1;1;90;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.4;0.6;0.16;0.42;0.58;0.16;0.58;Matches
3;Pape Abou Cisse\Pape-Abou-Cisse;sn SEN;DF;gr Olympiacos;26-019;1995;2;2;180;2.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.2;0.10;0.00;0.10;0.10;0.10;Matches
4;Joel Abu Hanna\Joel-Abu-Hanna;il ISR;DF;pl Legia Warsaw;23-254;1998;1;0;13;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.24;0.24;0.00;0.24;Matches
5;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;it Lazio;33-235;1988;2;2;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;1.2;1.2;0.01;0.58;0.58;0.01;0.58;Matches
6;Arijan Ademi\Arijan-Ademi;mk MKD;MF;hr Dinamo Zagreb;30-127;1991;2;2;153;1.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.03;0.00;0.03;0.03;0.03;Matches
7;Amine Adli\Amine-Adli;fr FRA;FW;de Leverkusen;21-146;2000;2;1;83;0.9;1;0;1;0;0;0;0;1.08;0.00;1.08;1.08;1.08;0.2;0.2;0.2;0.4;0.24;0.23;0.47;0.24;0.47;Matches
8;David Affengruber\David-Affengruber;at AUT;DF;at Sturm Graz;20-198;2001;2;2;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
9;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;fr Monaco;28-160;1993;2;1;135;1.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.05;0.05;0.00;0.05;Matches
10;Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng;sn SEN;FW;fr Marseille;21-194;2000;2;2;141;1.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1.3;1.3;0.1;1.4;0.85;0.05;0.90;0.85;0.90;Matches
11;Emanuel Aiwum\Emanuel-Aiwum;at AUT;DFMF;at Rapid Wien;20-282;2000;2;2;180;2.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.01;0.01;0.02;0.01;0.02;Matches
12;Albian Ajeti\Albian-Ajeti;ch SUI;FW;sct Celtic;24-219;1997;2;1;107;1.2;1;0;1;0;0;0;0;0.84;0.00;0.84;0.84;0.84;0.9;0.9;0.1;1.0;0.77;0.05;0.82;0.77;0.82;Matches
13;Paul Akouokou\Paul-Akouokou;ci CIV;MF;es Betis;23-287;1997;1;1;56;0.6;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
14;Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro;ci CIV;MF;it Lazio;28-357;1992;1;1;55;0.6;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.06;0.00;0.06;0.06;0.06;Matches
15;Kerem Aktürkoğlu\Kerem-Akturkoglu;tr TUR;FW;tr Galatasaray;22-347;1998;2;2;163;1.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.2;0.7;0.27;0.12;0.38;0.27;0.38;Matches
16;Lucas Alario\Lucas-Alario;ar ARG;FW;de Leverkusen;28-360;1992;2;2;138;1.5;1;0;0;1;1;0;0;0.65;0.00;0.65;0.00;0.00;1.4;0.6;0.3;0.9;0.90;0.19;1.09;0.40;0.60;Matches
17;Luis Alberto\Luis-Alberto;es ESP;MF;it Lazio;29-005;1992;2;2;124;1.4;0;1;0;0;0;0;0;0.00;0.73;0.73;0.00;0.73;0.2;0.2;0.4;0.6;0.15;0.26;0.40;0.15;0.40;Matches
18;Almoatasembellah Ali\Almoatasembellah-Ali;ly LBY;MF;pt Braga;25-180;1996;2;2;161;1.8;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.03;0.03;0.00;0.03;Matches
19;Dinis Almeida\Dinis-Almeida;pt POR;DF;be Antwerp;26-097;1995;2;2;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.01;0.01;0.00;0.01;Matches
20;Daniel Amartey\Daniel-Amartey;gh GHA;DF;eng Leicester City;26-286;1994;1;1;77;0.9;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.03;0.03;0.00;0.03;Matches
21;Nadiem Amiri\Nadiem-Amiri;de GER;MF;de Leverkusen;24-341;1996;2;0;36;0.4;0;1;0;0;0;0;0;0.00;2.50;2.50;0.00;2.50;0.2;0.2;0.2;0.4;0.54;0.54;1.08;0.54;1.08;Matches
22;Felipe Anderson\Felipe-Anderson;br BRA;FW;it Lazio;28-171;1993;2;2;155;1.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.6;1.2;0.34;0.37;0.71;0.34;0.71;Matches
23;Joel Andersson\Joel-Andersson;se SWE;DF;dk Midtjylland;24-326;1996;2;2;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.1;0.02;0.01;0.03;0.02;0.03;Matches
24;Komnen Andrić\Komnen-Andric;rs SRB;MF;hr Dinamo Zagreb;26-094;1995;1;0;8;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
25;Faustino Anjorin\Faustino-Anjorin;eng ENG;FW;ru Loko Moscow;19-314;2001;2;1;109;1.2;1;0;1;0;0;0;0;0.83;0.00;0.83;0.83;0.83;0.1;0.1;0.1;0.2;0.06;0.11;0.17;0.06;0.17;Matches
26;Taylan Antalyalı\Taylan-Antalyali;tr TUR;MF;tr Galatasaray;26-268;1995;2;2;167;1.9;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
27;Michail Antonio\Michail-Antonio;jm JAM;FW;eng West Ham;31-189;1990;2;2;143;1.6;1;1;1;0;0;0;0;0.63;0.63;1.26;0.63;1.26;0.8;0.8;1.2;1.9;0.48;0.75;1.22;0.48;1.22;Matches
28;Houssem Aouar\Houssem-Aouar;fr FRA;MF;fr Lyon;23-095;1998;2;2;180;2.0;1;0;1;0;0;0;0;0.50;0.00;0.50;0.50;0.50;1.6;1.6;0.3;1.9;0.79;0.16;0.95;0.79;0.95;Matches
29;Youssef El-Arabi\Youssef-El-Arabi;ma MAR;FW;gr Olympiacos;34-242;1987;2;1;92;1.0;1;0;1;0;0;0;0;0.98;0.00;0.98;0.98;0.98;0.1;0.1;0.0;0.1;0.14;0.00;0.14;0.14;0.14;Matches
30;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;de Leverkusen;32-169;1989;2;1;105;1.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.07;0.07;0.00;0.07;Matches
31;Kelvin Arase\Kelvin-Arase;at AUT;FWMF;at Rapid Wien;22-261;1999;2;2;147;1.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.2;0.10;0.00;0.10;0.10;0.10;Matches
32;Alphonse Areola\Alphonse-Areola;fr FRA;GK;eng West Ham;28-218;1993;1;1;90;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
33;Joe Aribo\Joe-Aribo;ng NGA;FWMF;sct Rangers;25-074;1996;2;2;151;1.7;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.2;0.03;0.09;0.12;0.03;0.12;Matches
34;Gerardo Arteaga\Gerardo-Arteaga;mx MEX;DF;be Genk;23-026;1998;2;2;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
35;Jonas Auer\Jonas-Auer;at AUT;DF;at Rapid Wien;21-059;2000;2;0;35;0.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
