Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Playing Time-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success-On-Off;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;Team Success (xG)-On-Off;Matches;
1;Niklas Hedl\Niklas-Hedl;at AUT;GK;at Rapid Wien;20-200;2001;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
2;Patrick van Aanholt\Patrick-van-Aanholt;nl NED;DF;tr Galatasaray;31-035;1990;2;180;90;100.0;2.0;2;90;2;0;;0;2.00;1;0;+1;+0.50;;1.1;2.3;-1.2;-0.60;;Matches
3;Liel Abada\Liel-Abada;il ISR;FWMF;sct Celtic;20-000;2001;1;90;90;50.0;1.0;1;90;1;0;;0;1.50;0;4;-4;-4.00;-3.00;1.3;3.0;-1.6;-1.61;-1.66;Matches
4;Pape Abou Cisse\Pape-Abou-Cisse;sn SEN;DF;gr Olympiacos;26-019;1995;2;180;90;100.0;2.0;2;90;2;0;;0;2.50;5;1;+4;+2.00;;2.8;3.0;-0.2;-0.10;;Matches
5;Joel Abu Hanna\Joel-Abu-Hanna;il ISR;DF;pl Legia Warsaw;23-254;1998;1;13;13;7.2;0.1;0;;0;1;13;1;3.00;0;0;0;0.00;-1.08;0.8;0.3;+0.4;+2.92;+3.70;Matches
6;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;it Lazio;33-235;1988;2;180;90;100.0;2.0;2;90;2;0;;0;1.50;2;1;+1;+0.50;;4.2;1.4;+2.8;+1.40;;Matches
7;Arijan Ademi\Arijan-Ademi;mk MKD;MF;hr Dinamo Zagreb;30-127;1991;2;153;77;85.0;1.7;2;77;1;0;;0;1.50;2;2;0;0.00;-3.33;1.6;2.5;-0.8;-0.48;-1.84;Matches
8;Amine Adli\Amine-Adli;fr FRA;FW;de Leverkusen;21-146;2000;2;83;42;46.1;0.9;1;65;0;1;18;0;3.00;2;1;+1;+1.08;-2.63;1.8;1.6;+0.3;+0.29;-1.43;Matches
9;David Affengruber\David-Affengruber;at AUT;DF;at Sturm Graz;20-198;2001;2;180;90;100.0;2.0;2;90;2;0;;0;1.50;1;5;-4;-2.00;;1.3;3.7;-2.4;-1.18;;Matches
10;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;fr Monaco;28-160;1993;2;135;68;75.0;1.5;1;90;1;1;45;0;2.00;1;1;0;0.00;-2.00;1.9;0.6;+1.3;+0.88;+1.55;Matches
