Squad;# Pl;Age;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Starts-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;
be Antwerp;15;27.5;2;180;90;100;2.0;22;83;15;6;24;9;0.00;1;3;-2;-1.00;2.0;2.5;-0.5;-0.23
es Betis;23;29.8;2;180;90;100;2.0;22;80;13;9;25;15;3.00;7;4;+3;+1.50;3.6;3.3;+0.2;+0.12
pt Braga;20;25.8;2;180;90;100;2.0;22;81;12;10;21;13;1.50;4;3;+1;+0.50;3.6;2.7;+0.9;+0.45
dk Brøndby;18;25.1;2;180;90;100;2.0;22;81;12;10;20;14;0.50;0;3;-3;-1.50;0.5;4.5;-4.0;-2.02
sct Celtic;17;25.2;2;180;90;100;2.0;22;85;17;5;24;15;0.00;3;8;-5;-2.50;3.8;5.3;-1.6;-0.78
hr Dinamo Zagreb;20;26.8;2;180;90;100;2.0;22;81;12;10;19;14;1.50;3;2;+1;+0.50;2.4;2.8;-0.4;-0.20
de Eint Frankfurt;20;27.3;2;180;90;100;2.0;22;85;16;6;18;14;2.00;2;1;+1;+0.50;2.2;2.8;-0.6;-0.31
tr Fenerbahçe;18;26.6;2;180;90;100;2.0;22;84;13;9;15;8;0.50;1;4;-3;-1.50;3.7;2.5;+1.3;+0.64
hu Ferencváros;16;26.6;2;180;90;100;2.0;22;86;16;6;14;9;0.00;2;5;-3;-1.50;2.3;3.1;-0.8;-0.40
tr Galatasaray;18;25.9;2;180;90;100;2.0;22;85;12;10;11;13;2.00;1;0;+1;+0.50;1.1;2.3;-1.2;-0.60
be Genk;17;23.9;2;180;90;100;2.0;22;82;14;7;22;15;1.50;1;3;-2;-1.00;2.2;2.7;-0.5;-0.23
it Lazio;19;28.8;2;180;90;100;2.0;22;78;12;10;27;14;1.50;2;1;+1;+0.50;4.2;1.4;+2.8;+1.40
pl Legia Warsaw;18;27.4;2;180;90;100;2.0;22;86;14;8;12;16;3.00;2;0;+2;+1.00;2.5;3.5;-1.0;-0.51
eng Leicester City;19;26.4;2;180;90;100;2.0;22;81;12;9;22;14;0.50;2;3;-1;-0.50;2.6;3.0;-0.4;-0.19
de Leverkusen;19;24.7;2;180;90;100;2.0;22;80;12;10;23;9;3.00;6;1;+5;+2.50;4.8;2.7;+2.1;+1.06
ru Loko Moscow;20;25.6;2;180;90;100;2.0;22;81;13;8;20;14;0.50;1;3;-2;-1.00;0.7;5.2;-4.4;-2.22
bg Ludogorets;18;28.2;2;180;90;100;2.0;22;81;12;9;21;12;0.50;1;2;-1;-0.50;1.3;2.7;-1.4;-0.70
fr Lyon;19;26.4;2;180;90;100;2.0;22;86;16;6;16;14;3.00;5;0;+5;+2.50;4.8;0.9;+3.8;+1.92
fr Marseille;17;25.1;2;180;90;100;2.0;22;85;16;6;17;17;1.00;1;1;0;0.00;3.3;0.5;+2.8;+1.41
dk Midtjylland;17;24.9;2;180;90;100;2.0;22;85;14;7;14;16;0.50;2;4;-2;-1.00;2.7;3.2;-0.5;-0.25
fr Monaco;22;24.1;2;180;90;100;2.0;22;76;12;10;30;14;2.00;2;1;+1;+0.50;2.1;1.1;+1.0;+0.49
it Napoli;19;27.5;2;180;90;100;2.0;22;76;11;10;25;11;0.50;4;5;-1;-0.50;4.5;2.9;+1.6;+0.81
gr Olympiacos;18;27.4;2;180;90;100;2.0;22;84;12;10;13;14;3.00;5;1;+4;+2.00;2.8;3.0;-0.2;-0.10
nl PSV Eindhoven;20;26.3;2;180;90;100;2.0;22;82;11;10;18;11;2.00;6;3;+3;+1.50;3.6;2.4;+1.2;+0.62
sct Rangers;17;29.1;2;180;90;100;2.0;22;82;15;6;27;15;0.00;0;3;-3;-1.50;0.9;2.6;-1.7;-0.84
at Rapid Wien;18;25.2;2;180;90;100;2.0;22;80;12;10;22;10;0.00;0;3;-3;-1.50;0.9;3.3;-2.4;-1.18
es Real Sociedad;20;25.3;2;180;90;100;2.0;22;83;13;9;18;13;1.00;3;3;0;0.00;2.2;2.0;+0.1;+0.07
rs Red Star;19;29.5;2;180;90;100;2.0;22;83;15;8;19;13;3.00;3;1;+2;+1.00;2.7;1.7;+1.0;+0.49
cz Sparta Prague;17;26.3;2;180;90;100;2.0;22;85;16;6;20;18;2.00;1;0;+1;+0.50;2.3;0.5;+1.9;+0.93
ru Spartak Moscow;18;25.7;2;180;90;100;2.0;22;82;14;7;25;13;1.50;3;3;0;0.00;3.8;4.0;-0.2;-0.11
at Sturm Graz;18;25.5;2;180;90;100;2.0;22;81;12;10;20;14;0.00;1;5;-4;-2.00;1.3;3.7;-2.4;-1.18
eng West Ham;19;27.9;2;180;90;100;2.0;22;81;13;9;21;15;3.00;4;0;+4;+2.00;3.9;0.7;+3.2;+1.61
