Squad;# Pl;90s;Goals-GA;Goals-PKA;Goals-FK;Goals-CK;Goals-OG;Expected-PSxG;Expected-PSxG/SoT;Expected-PSxG+/-;Expected-/90;Launched-Cmp;Launched-Att;Launched-Cmp%;Passes-Att;Passes-Thr;Passes-Launch%;Passes-AvgLen;Goal Kicks-Att;Goal Kicks-Launch%;Goal Kicks-AvgLen;Crosses-Opp;Crosses-Stp;Crosses-Stp%;Sweeper-#OPA;Sweeper-#OPA/90;Sweeper-AvgDist;
Arsenal;2;7.0;10;0;0;1;0;8.8;0.32;-1.2;-0.17;36;114;31.6;172;37;37.2;35.8;66;75.8;56.0;76;5;6.6;3;0.43;14.8
Aston Villa;2;6.0;7;0;0;1;0;5.1;0.27;-1.9;-0.32;42;102;41.2;154;26;44.8;40.0;55;60.0;47.1;49;5;10.2;9;1.50;16.8
Brentford;1;6.0;5;0;0;0;0;5.4;0.32;+0.4;+0.07;58;160;36.3;229;30;51.1;42.4;52;82.7;59.4;56;7;12.5;10;1.67;15.6
Brighton;1;7.0;5;2;0;1;0;4.8;0.19;-0.2;-0.03;46;135;34.1;264;33;39.0;38.5;50;64.0;52.5;68;14;20.6;4;0.57;14.0
Burnley;1;7.0;11;0;1;1;0;9.4;0.31;-1.6;-0.23;56;142;39.4;145;35;65.5;51.6;54;87.0;64.7;61;7;11.5;10;1.43;16.3
Chelsea;2;7.0;3;2;0;1;0;4.6;0.14;+1.6;+0.23;32;67;47.8;183;29;27.3;29.8;52;32.7;30.1;60;6;10.0;4;0.57;14.6
Crystal Palace;1;6.0;9;0;1;3;0;7.3;0.26;-1.7;-0.28;33;72;45.8;138;29;37.0;34.7;45;46.7;33.8;55;5;9.1;1;0.17;11.6
Everton;2;7.0;8;0;0;1;1;5.1;0.20;-1.9;-0.27;47;152;30.9;138;23;71.7;51.9;65;81.5;64.7;59;4;6.8;2;0.29;12.0
Leeds United;1;7.0;14;1;0;3;1;12.0;0.28;-1.0;-0.15;28;75;37.3;230;54;25.7;28.0;59;27.1;29.8;38;7;18.4;7;1.00;15.0
Leicester City;1;6.0;10;2;0;0;1;7.6;0.24;-1.4;-0.23;36;86;41.9;170;33;40.0;36.7;51;35.3;34.2;55;3;5.5;5;0.83;13.8
Liverpool;1;6.0;4;0;0;1;0;5.1;0.30;+1.1;+0.18;36;61;59.0;165;28;25.5;32.2;33;57.6;44.6;59;6;10.2;9;1.50;17.1
Manchester City;1;6.0;1;0;0;0;0;0.9;0.18;-0.1;-0.02;20;34;58.8;139;30;20.9;29.2;26;19.2;33.7;29;1;3.4;8;1.33;18.0
Manchester Utd;1;7.0;6;0;0;1;1;6.4;0.27;+1.4;+0.20;22;33;66.7;99;20;18.2;28.6;51;29.4;31.5;60;3;5.0;1;0.14;13.0
Newcastle Utd;2;7.0;16;2;0;1;0;12.4;0.28;-3.6;-0.51;48;127;37.8;140;21;56.4;44.8;67;71.6;55.3;55;3;5.5;0;0.00;12.7
Norwich City;1;7.0;16;1;0;3;1;14.3;0.40;-0.7;-0.10;48;132;36.4;233;33;44.2;38.7;63;46.0;42.1;76;4;5.3;5;0.71;13.2
Southampton;1;7.0;10;0;0;2;0;10.7;0.37;+0.7;+0.11;35;121;28.9;151;23;50.3;41.8;54;83.3;62.3;61;9;14.8;0;0.00;11.4
Tottenham;1;6.0;9;1;0;2;0;10.0;0.30;+1.0;+0.17;44;98;44.9;102;15;62.7;44.4;56;60.7;45.6;63;0;0.0;1;0.17;10.9
Watford;2;7.0;10;1;1;3;1;8.6;0.25;-0.4;-0.06;47;106;44.3;160;39;43.1;38.9;67;55.2;45.4;68;6;8.8;5;0.71;15.2
West Ham;1;6.0;8;0;0;1;0;7.9;0.36;-0.1;-0.01;33;73;45.2;101;24;47.5;40.6;43;58.1;45.6;52;3;5.8;1;0.17;12.1
Wolves;1;7.0;6;2;0;0;0;7.4;0.23;+1.4;+0.21;35;75;46.7;129;33;45.0;41.3;36;47.2;41.4;44;5;11.4;8;1.14;16.9
