Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;Matches;
1;Max Aarons\Max-Aarons;eng ENG;DF;Norwich City;21-272;2000;7.0;12;8;7;5;0;8;16;50.0;8;87;23;26.4;52;27;8;22;6;0;16;8;20;18;0;Matches
2;Che Adams\Che-Adams;sct SCO;FWMF;Southampton;25-082;1996;4.2;7;5;2;1;4;1;2;50.0;1;74;22;29.7;6;27;41;4;2;0;2;1;8;5;0;Matches
3;Rayan Aït Nouri\Rayan-Ait-Nouri;fr FRA;FW;Wolves;20-119;2001;0.1;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;1;0;Matches
4;Kristoffer Ajer\Kristoffer-Ajer;no NOR;DF;Brentford;23-169;1998;5.8;9;4;7;0;2;5;12;41.7;7;52;15;28.8;27;22;3;9;4;1;5;12;21;31;0;Matches
5;Nathan Aké\Nathan-Ake;nl NED;DF;Manchester City;26-227;1995;2.0;3;1;2;1;0;0;1;0.0;1;6;1;16.7;3;3;0;3;3;0;0;2;5;16;0;Matches
6;Marc Albrighton\Marc-Albrighton;eng ENG;MFFW;Leicester City;31-319;1989;2.0;3;1;2;0;1;0;2;0.0;2;61;8;13.1;18;33;10;2;0;0;2;1;4;1;0;Matches
7;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;Liverpool;30-175;1991;2.0;7;4;4;2;1;1;3;33.3;2;21;10;47.6;11;6;4;1;0;0;1;2;9;3;0;Matches
8;Trent Alexander-Arnold\Trent-Alexander-Arnold;eng ENG;DF;Liverpool;22-361;1998;5.0;10;6;3;5;2;6;14;42.9;8;58;17;29.3;24;18;16;9;2;0;7;14;24;12;0;Matches
9;Alisson\Alisson;br BRA;GK;Liverpool;29-001;1992;6.0;0;0;0;0;0;0;0;;0;1;0;0.0;1;0;0;0;0;0;0;0;0;1;0;Matches
10;Allan\Allan;br BRA;MF;Everton;30-268;1991;6.8;22;19;14;6;2;5;23;21.7;18;181;58;32.0;81;84;16;13;3;0;10;12;34;16;0;Matches
