Squad;# Pl;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;
Arsenal;17;2.0;27;15;10;9;8;10;27;37.0;17;312;70;22.4;89;111;112;41;11;0;30;35;62;33;2
Aston Villa;18;2.0;28;15;12;13;3;11;35;31.4;24;219;57;26.0;79;83;57;14;5;0;9;25;53;38;0
Brentford;16;2.0;51;34;26;19;6;16;40;40.0;24;330;114;34.5;135;135;60;23;5;0;18;22;73;39;0
Brighton;15;2.0;36;17;24;5;7;8;25;32.0;17;255;86;33.7;102;77;76;33;7;0;26;17;53;54;0
Burnley;15;2.0;31;14;14;13;4;8;22;36.4;14;204;50;24.5;67;92;45;39;15;3;24;28;59;53;0
Chelsea;17;2.0;35;20;13;11;11;14;33;42.4;19;319;101;31.7;87;142;90;18;2;0;16;39;74;29;0
Crystal Palace;15;2.0;29;17;15;11;3;6;24;25.0;18;254;60;23.6;109;102;43;32;7;0;25;25;54;36;0
Everton;16;2.0;40;25;23;13;4;20;45;44.4;25;273;94;34.4;112;118;43;26;9;0;17;34;74;72;1
Leeds United;16;2.0;41;22;23;16;2;18;45;40.0;27;375;107;28.5;126;176;73;28;8;0;20;39;80;44;0
Leicester City;15;2.0;35;23;15;18;2;13;43;30.2;30;244;63;25.8;92;103;49;34;9;0;25;23;58;55;1
Liverpool;17;2.0;28;15;10;13;5;11;37;29.7;26;303;74;24.4;99;117;87;19;3;0;16;20;48;56;0
Manchester City;19;2.0;33;20;8;18;7;14;34;41.2;20;188;58;30.9;21;87;80;17;6;1;11;15;48;21;1
Manchester Utd;15;2.0;29;18;10;13;6;9;25;36.0;16;281;81;28.8;59;150;72;29;4;0;25;25;54;61;0
Newcastle Utd;17;2.0;26;20;13;10;3;11;22;50.0;11;223;74;33.2;104;81;38;31;8;1;23;14;40;44;0
Norwich City;16;2.0;37;28;27;10;0;15;39;38.5;24;298;77;25.8;165;96;37;34;13;1;21;42;79;49;1
Southampton;16;2.0;53;31;22;16;15;10;33;30.3;23;407;112;27.5;148;166;93;25;8;1;17;41;94;49;0
Tottenham;16;2.0;41;22;22;16;3;10;36;27.8;26;313;79;25.2;151;128;34;49;17;0;32;37;78;48;0
Watford;16;2.0;26;14;18;8;0;3;24;12.5;21;258;72;27.9;84;123;51;25;7;1;18;32;58;51;0
West Ham;15;2.0;36;25;20;11;5;6;18;33.3;12;237;76;32.1;86;108;43;19;7;0;12;11;47;37;0
Wolves;16;2.0;50;32;22;22;6;21;39;53.8;18;311;92;29.6;102;146;63;19;5;0;14;41;91;51;0
