Squad;# Pl;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;Performance-W;Performance-D;Performance-L;Performance-CS;Performance-CS%;Penalty Kicks-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;
Arsenal;2;7;7;630;7.0;10;1.43;28;16;64.3;3;1;3;3;42.9;0;0;0;0;
Aston Villa;2;6;6;540;6.0;7;1.17;19;12;63.2;3;1;2;3;50.0;1;0;0;1;
Brentford;1;6;6;540;6.0;5;0.83;17;12;70.6;2;3;1;3;50.0;0;0;0;0;
Brighton;1;7;7;630;7.0;5;0.71;16;13;81.3;4;2;1;3;42.9;2;2;0;0;0.0
Burnley;1;7;7;630;7.0;11;1.57;30;19;63.3;0;3;4;1;14.3;0;0;0;0;
Chelsea;2;7;7;630;7.0;3;0.43;22;21;95.5;5;1;1;4;57.1;2;2;0;0;0.0
Crystal Palace;1;6;6;540;6.0;9;1.50;28;19;67.9;1;3;2;2;33.3;0;0;0;0;
Everton;2;7;7;630;7.0;8;1.14;26;19;69.2;4;2;1;2;28.6;0;0;0;0;
Leeds United;1;7;7;630;7.0;14;2.00;40;28;67.5;1;3;3;1;14.3;1;1;0;0;0.0
Leicester City;1;6;6;540;6.0;10;1.67;27;20;70.4;2;1;3;1;16.7;2;2;0;0;0.0
Liverpool;1;6;6;540;6.0;4;0.67;18;14;77.8;4;2;0;4;66.7;0;0;0;0;
Manchester City;1;6;6;540;6.0;1;0.17;5;4;80.0;4;1;1;5;83.3;0;0;0;0;
Manchester Utd;1;7;7;630;7.0;6;0.86;23;18;73.9;4;2;1;1;14.3;1;0;1;0;100.0
Newcastle Utd;2;7;7;630;7.0;16;2.29;36;22;61.1;0;3;4;0;0.0;3;2;1;0;33.3
Norwich City;1;7;7;630;7.0;16;2.29;34;19;55.9;0;1;6;1;14.3;1;1;0;0;0.0
Southampton;1;7;7;630;7.0;10;1.43;29;19;65.5;0;4;3;2;28.6;0;0;0;0;
Tottenham;1;6;6;540;6.0;9;1.50;30;22;73.3;3;0;3;3;50.0;1;1;0;0;0.0
Watford;2;7;7;630;7.0;10;1.43;30;22;70.0;2;1;4;0;0.0;1;1;0;0;0.0
West Ham;1;6;6;540;6.0;8;1.33;23;14;65.2;3;2;1;1;16.7;0;0;0;0;
Wolves;1;7;7;630;7.0;6;0.86;25;21;84.0;3;0;4;2;28.6;2;2;0;0;0.0
