Squad;# Pl;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Outcomes-Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;
Arsenal;26;7.0;3012;2712;300;70;4;457;75;65;34;6;14;6;2010;407;595;1281;1364;125;112;49;2439;15;47;73;58
Aston Villa;23;6.0;2374;2081;293;85;4;339;108;84;31;22;7;1;1403;372;599;794;1237;130;109;38;1797;9;56;72;60
Brentford;20;6.0;2175;1912;263;73;7;339;50;51;14;10;1;1;1212;341;622;701;1065;138;113;50;1546;11;59;71;74
Brighton;20;7.0;3842;3549;293;61;4;565;111;72;39;12;19;1;2764;410;668;822;2632;130;131;51;3159;6;66;107;95
Burnley;18;7.0;2666;2336;330;54;4;494;96;120;42;38;0;1;1291;452;923;865;1283;165;162;55;1845;21;57;69;95
Chelsea;24;7.0;3853;3537;316;78;16;561;70;89;42;28;4;3;2844;487;522;796;2694;111;133;46;3254;9;36;107;82
Crystal Palace;18;6.0;2816;2524;292;74;3;407;90;62;27;10;8;5;1832;398;586;598;1845;119;131;46;2271;8;42;99;45
Everton;23;7.0;2547;2222;325;60;7;471;73;66;31;9;15;2;1483;381;683;732;1416;132;154;38;1866;7;77;87;97
Leeds United;20;7.0;3641;3309;332;84;6;482;110;102;35;24;4;2;2465;518;658;1644;1631;123;133;72;2979;8;64;98;81
Leicester City;21;6.0;3197;2895;302;72;5;410;85;54;36;16;13;2;2333;404;460;694;2187;97;127;39;2661;9;56;91;63
Liverpool;21;6.0;3489;3209;280;64;10;362;125;97;63;8;46;3;2433;428;628;976;2219;99;110;38;2898;12;47;108;79
Manchester City;20;6.0;3959;3689;270;64;7;433;95;111;60;28;10;3;3101;386;472;1255;2405;99;113;42;3464;12;43;89;79
Manchester Utd;20;7.0;4040;3710;330;69;13;581;157;96;52;15;28;5;3005;509;526;1306;2393;99;145;41;3421;11;55;136;95
Newcastle Utd;22;7.0;2639;2314;325;77;7;382;97;90;32;19;13;0;1673;361;605;722;1567;114;124;31;2030;12;63;64;62
Norwich City;21;7.0;3083;2739;344;86;4;457;97;77;30;21;7;1;2051;388;644;951;1779;108;142;44;2461;7;54;60;64
Southampton;19;7.0;2959;2642;317;76;3;422;50;72;36;23;11;0;1982;364;613;617;1985;124;134;32;2276;2;60;71;74
Tottenham;21;6.0;2532;2244;288;73;5;306;64;50;28;9;15;0;1754;272;506;528;1714;87;117;23;2050;6;37;70;60
Watford;24;7.0;2719;2366;353;82;4;351;93;66;29;10;15;0;1630;411;678;578;1720;128;158;51;2092;3;58;90;75
West Ham;18;6.0;2879;2621;258;44;3;402;88;92;34;20;11;2;1971;351;557;812;1743;103;122;39;2342;9;44;56;60
Wolves;18;7.0;3379;3083;296;74;6;459;130;87;31;5;16;1;2342;472;565;1119;1915;99;141;52;2790;14;63;92;85
