Squad;# Pl;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;
Arsenal;26;7.0;2439;3012;81.0;46092;15276;1029;1150;89.5;1042;1192;87.4;317;561;56.5;3;4.9;-1.9;74;170;60;13;192
Aston Villa;23;6.0;1797;2374;75.7;38964;14350;601;706;85.1;815;954;85.4;354;626;56.5;6;3.7;+2.3;44;169;50;14;185
Brentford;20;6.0;1546;2175;71.1;31182;12576;624;740;84.3;658;825;79.8;237;509;46.6;4;5.8;-1.8;44;120;39;9;137
Brighton;20;7.0;3159;3842;82.2;62791;19036;1190;1325;89.8;1454;1633;89.0;455;736;61.8;7;5.0;+2.0;65;171;58;8;213
Burnley;18;7.0;1845;2666;69.2;39668;16081;752;901;83.5;678;855;79.3;385;788;48.9;4;5.2;-1.2;62;173;60;25;168
Chelsea;24;7.0;3254;3853;84.5;60759;19460;1368;1510;90.6;1411;1583;89.1;407;618;65.9;11;9.5;+1.5;73;202;75;11;233
Crystal Palace;18;6.0;2271;2816;80.6;43588;13993;958;1073;89.3;959;1108;86.6;307;537;57.2;3;3.9;-0.9;41;131;41;13;156
Everton;23;7.0;1866;2547;73.3;37403;14296;737;870;84.7;786;963;81.6;285;562;50.7;10;7.2;+2.8;74;137;49;15;191
Leeds United;20;7.0;2979;3641;81.8;59719;18913;1127;1274;88.5;1376;1520;90.5;442;736;60.1;5;7.5;-2.5;78;213;65;18;261
Leicester City;21;6.0;2661;3197;83.2;50322;15428;1037;1155;89.8;1272;1401;90.8;304;528;57.6;6;5.6;+0.4;53;149;51;6;207
Liverpool;21;6.0;2898;3489;83.1;58619;19356;1107;1229;90.1;1287;1447;88.9;470;708;66.4;10;11.7;-1.7;96;271;88;22;298
Manchester City;20;6.0;3464;3959;87.5;65818;18334;1384;1496;92.5;1606;1746;92.0;442;615;71.9;8;9.9;-1.9;84;283;87;15;280
Manchester Utd;20;7.0;3421;4040;84.7;65179;19416;1455;1621;89.8;1451;1625;89.3;462;643;71.9;12;7.5;+4.5;96;287;76;14;304
Newcastle Utd;22;7.0;2030;2639;76.9;42109;14555;805;921;87.4;837;985;85.0;356;643;55.4;7;6.5;+0.5;67;149;41;17;137
Norwich City;21;7.0;2461;3083;79.8;49417;16327;954;1072;89.0;1061;1205;88.0;397;693;57.3;1;3.8;-2.8;49;140;48;11;175
Southampton;19;7.0;2276;2959;76.9;41759;13994;1011;1140;88.7;986;1180;83.6;246;532;46.2;1;5.8;-4.8;56;167;41;7;193
Tottenham;21;6.0;2050;2532;81.0;39072;12694;909;1001;90.8;826;940;87.9;271;489;55.4;2;3.6;-1.6;42;156;39;8;158
Watford;24;7.0;2092;2719;76.9;45994;16277;660;783;84.3;991;1172;84.6;412;662;62.2;5;5.2;-0.2;58;143;40;8;191
West Ham;18;6.0;2342;2879;81.3;46644;15644;919;1028;89.4;1026;1175;87.3;363;578;62.8;10;7.6;+2.4;66;175;52;15;213
Wolves;18;7.0;2790;3379;82.6;58758;18175;967;1102;87.7;1282;1436;89.3;507;731;69.4;3;6.8;-3.8;72;238;47;12;241
