Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;Matches;
1;Max Aarons\Max-Aarons;eng ENG;DF;Norwich City;21-272;2000;7.0;419;38;167;185;97;7;346;13;23;56.5;13;0;259;1536;1006;38;13;2;6;5;278;246;88.5;12;Matches
2;Che Adams\Che-Adams;sct SCO;FWMF;Southampton;25-082;1996;4.2;139;7;16;61;67;16;135;1;4;25.0;1;0;86;262;132;7;3;2;10;11;207;88;42.5;27;Matches
3;Rayan Aït Nouri\Rayan-Ait-Nouri;fr FRA;FW;Wolves;20-119;2001;0.1;5;0;0;5;1;0;5;1;1;100.0;1;0;5;103;85;2;1;0;0;0;3;3;100.0;0;Matches
4;Kristoffer Ajer\Kristoffer-Ajer;no NOR;DF;Brentford;23-169;1998;5.8;259;30;119;116;34;6;218;5;6;83.3;5;0;111;623;331;10;3;0;4;2;111;92;82.9;5;Matches
5;Nathan Aké\Nathan-Ake;nl NED;DF;Manchester City;26-227;1995;2.0;138;11;70;79;2;2;137;0;0;;0;0;93;611;406;8;0;0;1;0;103;100;97.1;0;Matches
6;Marc Albrighton\Marc-Albrighton;eng ENG;MFFW;Leicester City;31-319;1989;2.0;81;5;15;33;37;2;64;3;6;50.0;4;1;50;244;99;6;1;2;4;5;75;45;60.0;8;Matches
7;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;Liverpool;30-175;1991;2.0;164;4;30;102;42;4;161;0;0;;0;0;115;564;316;19;4;1;4;1;124;117;94.4;7;Matches
8;Trent Alexander-Arnold\Trent-Alexander-Arnold;eng ENG;DF;Liverpool;22-361;1998;5.0;460;17;100;192;192;13;375;4;10;40.0;4;0;267;1216;695;34;11;3;2;4;296;275;92.9;20;Matches
9;Alisson\Alisson;br BRA;GK;Liverpool;29-001;1992;6.0;224;181;221;3;0;0;181;1;1;100.0;1;0;114;369;219;0;0;0;0;0;106;106;100.0;0;Matches
10;Allan\Allan;br BRA;MF;Everton;30-268;1991;6.8;296;23;103;160;54;2;282;4;7;57.1;4;0;175;941;507;21;10;1;2;9;153;139;90.8;3;Matches
11;Dele Alli\Dele-Alli;eng ENG;MF;Tottenham;25-175;1996;5.5;239;17;59;126;67;16;232;5;16;31.3;7;1;151;612;326;15;5;0;8;12;183;140;76.5;19;Matches
12;Miguel Almirón\Miguel-Almiron;py PAR;MF;Newcastle Utd;27-235;1994;6.4;241;6;55;103;104;16;238;6;14;42.9;10;1;180;1322;673;30;8;1;8;11;212;153;72.2;13;Matches
13;Marcos Alonso\Marcos-Alonso;es ESP;DF;Chelsea;30-279;1990;5.9;405;25;117;142;160;16;339;3;9;33.3;3;0;235;1246;693;38;6;2;8;7;273;237;86.8;25;Matches
14;Steven Alzate\Steven-Alzate;co COL;MF;Brighton;23-025;1998;1.0;61;1;14;40;11;1;61;0;0;;0;0;47;227;109;4;3;0;1;2;41;37;90.2;2;Matches
15;Daniel Amartey\Daniel-Amartey;gh GHA;DF;Leicester City;26-286;1994;3.0;249;25;138;129;1;0;246;2;2;100.0;2;0;186;895;583;11;0;0;0;0;190;189;99.5;0;Matches
16;Joachim Andersen\Joachim-Andersen;dk DEN;DF;Crystal Palace;25-125;1996;5.4;374;71;214;165;14;4;365;1;1;100.0;1;0;238;1260;622;14;0;0;2;3;266;262;98.5;1;Matches
17;Michail Antonio\Michail-Antonio;jm JAM;FW;West Ham;31-189;1990;4.9;212;1;9;83;133;40;209;6;11;54.5;7;0;158;803;483;27;10;7;19;11;279;174;62.4;46;Matches
18;Cameron Archer\Cameron-Archer;eng ENG;MF;Aston Villa;20-074;2001;0.1;1;0;0;0;1;0;1;0;1;0.0;0;0;1;0;0;0;0;0;0;0;1;0;0.0;0;Matches
19;Adam Armstrong\Adam-Armstrong;eng ENG;FW;Southampton;24-235;1997;6.8;184;1;14;72;116;33;173;8;19;42.1;9;1;141;844;488;29;9;8;10;12;274;135;49.3;44;Matches
20;Kepa Arrizabalaga\Kepa-Arrizabalaga;es ESP;GK;Chelsea;27-000;1994;1.0;31;26;31;0;0;0;27;0;0;;0;0;20;65;29;0;0;0;0;0;19;19;100.0;0;Matches
21;Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang;ga GAB;FW;Arsenal;32-107;1989;4.8;136;2;10;57;75;26;135;1;2;50.0;1;0;70;379;237;9;3;5;12;3;186;102;54.8;20;Matches
22;Jordan Ayew\Jordan-Ayew;gh GHA;FWMF;Crystal Palace;30-022;1991;5.1;253;3;38;126;107;18;249;8;14;57.1;8;1;202;1202;650;30;10;5;13;15;210;168;80.0;21;Matches
23;Luke Ayling\Luke-Ayling;eng ENG;DF;Leeds United;30-039;1991;5.0;454;47;222;225;52;5;425;7;10;70.0;7;0;304;1830;1174;35;7;0;6;6;334;320;95.8;5;Matches
24;César Azpilicueta\Cesar-Azpilicueta;es ESP;DF;Chelsea;32-036;1989;6.0;482;43;182;180;137;15;430;6;7;85.7;6;1;264;911;504;30;8;0;3;2;345;319;92.5;17;Matches
25;Daniel Bachmann\Daniel-Bachmann;at AUT;GK;Watford;27-086;1994;4.0;140;130;140;0;0;0;100;0;0;;0;0;69;286;155;0;0;0;0;0;62;62;100.0;0;Matches
26;Leon Bailey\Leon-Bailey;jm JAM;MFFW;Aston Villa;24-055;1997;1.0;38;0;3;10;27;4;32;5;6;83.3;5;1;30;203;129;9;0;3;2;2;34;26;76.5;7;Matches
27;Folarin Balogun\Folarin-Balogun;eng ENG;FW;Arsenal;20-092;2001;0.8;23;1;3;9;13;7;23;0;2;0.0;0;0;16;42;15;1;0;1;5;4;34;18;52.9;7;Matches
28;Patrick Bamford\Patrick-Bamford;eng ENG;FW;Leeds United;28-028;1993;4.8;143;10;20;63;69;30;131;3;6;50.0;4;0;88;339;152;8;2;1;14;6;203;93;45.8;29;Matches
29;Shandon Baptiste\Shandon-Baptiste;gd GRN;MF;Brentford;23-178;1998;1.8;73;6;23;45;16;2;73;2;3;66.7;2;0;50;277;161;11;3;1;1;1;61;43;70.5;5;Matches
30;Ross Barkley\Ross-Barkley;eng ENG;MF;Chelsea;27-302;1993;0.1;11;0;1;8;5;1;11;0;0;;0;0;9;99;79;4;2;0;0;0;10;10;100.0;1;Matches
31;Ashley Barnes\Ashley-Barnes;eng ENG;FW;Burnley;31-338;1989;3.9;131;2;13;70;57;19;127;1;3;33.3;1;0;81;259;107;7;3;2;14;7;178;83;46.6;18;Matches
32;Harvey Barnes\Harvey-Barnes;eng ENG;FWMF;Leicester City;23-298;1997;5.0;229;2;15;101;141;31;228;7;23;30.4;9;1;196;1241;878;50;18;11;13;14;247;192;77.7;42;Matches
33;Mads Bech Sørensen\Mads-Bech-Sorensen;dk DEN;DF;Brentford;22-269;1999;0.2;4;0;1;1;2;0;2;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;Matches
34;Jan Bednarek\Jan-Bednarek;pl POL;DF;Southampton;25-174;1996;3.5;200;24;103;90;11;2;194;1;1;100.0;1;0;110;536;237;3;0;0;1;0;112;111;99.1;1;Matches
35;Donny van de Beek\Donny-van-de-Beek;nl NED;MF;Manchester Utd;24-168;1997;0.1;2;0;0;1;2;1;2;0;0;;0;0;2;1;1;1;0;1;0;1;2;2;100.0;1;Matches
