Squad;# Pl;Poss;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;
Arsenal;26;45.1;7.0;3879;514;1389;1660;1073;177;3585;54;109;49.5;61;2;2400;12229;6664;259;87;34;90;68;2798;2439;87.2;192
Aston Villa;23;49.2;6.0;3045;370;993;1370;856;145;2759;63;102;61.8;67;5;1807;8397;4398;174;54;15;82;62;2236;1797;80.4;185
Brentford;20;41.2;6.0;2870;476;1232;1143;631;109;2617;40;67;59.7;45;4;1548;7221;3825;130;36;13;59;64;2046;1546;75.6;137
Brighton;20;56.3;7.0;4661;554;1835;1876;1213;167;4370;51;90;56.7;54;2;2970;14022;7161;276;87;27;79;86;3673;3159;86.0;213
Burnley;18;41.0;7.0;3455;405;1032;1504;1087;151;3131;45;82;54.9;49;1;1809;9396;4459;196;68;9;74;71;2441;1845;75.6;168
Chelsea;24;53.6;7.0;4738;605;1762;2102;1135;198;4431;70;117;59.8;74;3;3030;14285;7722;311;92;36;71;82;3712;3254;87.7;233
Crystal Palace;18;48.8;6.0;3596;464;1328;1605;851;138;3306;51;93;54.8;53;4;2345;10997;5515;189;66;24;107;96;2644;2271;85.9;156
Everton;23;40.6;7.0;3445;440;1286;1375;990;153;3125;42;89;47.2;45;5;1940;11093;5989;228;92;34;75;70;2378;1866;78.5;191
Leeds United;20;59.4;7.0;4508;581;1806;1906;1101;188;4188;55;112;49.1;63;7;2941;16507;9426;300;80;34;91;77;3483;2979;85.5;261
Leicester City;21;54.5;6.0;3886;459;1418;1842;851;148;3596;41;79;51.9;47;5;2606;12459;6812;263;74;31;67;75;3089;2661;86.1;207
Liverpool;21;61.0;6.0;4244;375;1111;1955;1427;254;3965;45;102;44.1;48;6;2760;13092;7524;352;94;40;74;69;3330;2898;87.0;298
Manchester City;20;66.5;6.0;4582;288;932;2446;1501;276;4317;63;105;60.0;68;7;3429;17064;10075;490;105;74;65;59;3828;3464;90.5;280
Manchester Utd;20;61.0;7.0;4879;377;1284;2370;1560;214;4552;79;126;62.7;84;7;3220;17189;10402;442;138;48;70;86;3915;3421;87.4;304
Newcastle Utd;22;43.1;7.0;3467;465;1326;1445;903;167;3146;62;112;55.4;70;4;2108;11167;6313;234;78;32;64;88;2450;2030;82.9;137
Norwich City;21;46.0;7.0;3966;666;1814;1607;758;130;3627;70;137;51.1;80;3;2410;11648;6427;215;60;16;78;66;2893;2461;85.1;175
Southampton;19;46.4;7.0;3811;412;1231;1791;1054;157;3498;72;131;55.0;78;8;2354;13326;7904;329;111;35;89;88;2772;2276;82.1;193
Tottenham;21;45.5;6.0;3324;412;1048;1643;800;112;3042;52;103;50.5;57;2;2023;9230;4866;207;69;17;74;75;2405;2050;85.2;158
Watford;24;43.4;7.0;3512;545;1477;1440;808;130;3173;79;130;60.8;85;17;2101;10932;6517;235;64;41;80;84;2531;2092;82.7;191
West Ham;18;49.3;6.0;3527;351;1084;1616;1081;159;3271;37;66;56.1;41;2;2233;12839;6667;260;101;27;60;65;2749;2342;85.2;213
Wolves;18;51.4;7.0;4232;414;1358;2005;1141;166;3948;103;159;64.8;113;10;2899;13805;8065;350;100;46;75;76;3243;2790;86.0;241
