Squad;# Pl;Age;Poss;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-Gls;Performance-Ast;Performance-G-PK;Performance-PK;Performance-PKatt;Performance-CrdY;Performance-CrdR;Per 90 Minutes-Gls;Per 90 Minutes-Ast;Per 90 Minutes-G+A;Per 90 Minutes-G-PK;Per 90 Minutes-G+A-PK;Expected-xG;Expected-npxG;Expected-xA;Expected-npxG+xA;Per 90 Minutes-xG;Per 90 Minutes-xA;Per 90 Minutes-xG+xA;Per 90 Minutes-npxG;Per 90 Minutes-npxG+xA;
Arsenal;26;24.9;45.1;7;77;630;7.0;5;3;5;0;0;11;1;0.71;0.43;1.14;0.71;1.14;7.4;7.4;4.9;12.4;1.06;0.70;1.76;1.06;1.76
Aston Villa;23;26.2;49.2;6;66;540;6.0;8;6;6;2;2;14;0;1.33;1.00;2.33;1.00;2.00;6.9;5.5;3.7;9.2;1.14;0.62;1.76;0.91;1.53
Brentford;20;25.5;41.2;6;66;540;6.0;8;4;7;1;1;12;1;1.33;0.67;2.00;1.17;1.83;8.4;7.6;5.8;13.4;1.39;0.96;2.36;1.27;2.23
Brighton;20;27.3;56.3;7;77;630;7.0;8;7;7;1;1;16;0;1.14;1.00;2.14;1.00;2.00;7.4;6.7;5.0;11.7;1.06;0.71;1.77;0.96;1.67
Burnley;18;29.2;41.0;7;77;630;7.0;4;4;4;0;0;18;0;0.57;0.57;1.14;0.57;1.14;7.4;7.4;5.2;12.6;1.06;0.75;1.81;1.06;1.81
Chelsea;24;27.9;53.6;7;77;630;7.0;15;11;15;0;0;8;1;2.14;1.57;3.71;2.14;3.71;11.6;11.6;9.5;21.2;1.66;1.36;3.03;1.66;3.03
Crystal Palace;18;28.2;48.8;6;66;540;6.0;6;3;4;2;2;8;0;1.00;0.50;1.50;0.67;1.17;6.2;4.7;3.9;8.6;1.04;0.65;1.68;0.79;1.43
Everton;23;27.9;40.6;7;77;630;7.0;13;10;10;3;3;13;0;1.86;1.43;3.29;1.43;2.86;11.3;9.1;7.2;16.3;1.62;1.03;2.64;1.29;2.32
Leeds United;20;26.6;59.4;7;77;630;7.0;7;5;7;0;0;14;1;1.00;0.71;1.71;1.00;1.71;10.2;10.2;7.5;17.7;1.46;1.07;2.53;1.46;2.53
Leicester City;21;27.4;54.5;6;66;540;6.0;7;6;7;0;0;7;1;1.17;1.00;2.17;1.17;2.17;8.0;8.0;5.6;13.6;1.33;0.94;2.27;1.33;2.27
Liverpool;21;27.9;61.0;6;66;540;6.0;15;10;14;1;1;6;0;2.50;1.67;4.17;2.33;4.00;16.9;16.6;11.7;28.3;2.82;1.95;4.78;2.77;4.72
Manchester City;20;27.1;66.5;6;66;540;6.0;11;8;11;0;0;7;0;1.83;1.33;3.17;1.83;3.17;13.9;13.9;9.9;23.7;2.31;1.65;3.96;2.31;3.96
Manchester Utd;20;27.2;61.0;7;77;630;7.0;14;12;14;0;1;12;0;2.00;1.71;3.71;2.00;3.71;10.8;10.0;7.5;17.5;1.54;1.07;2.61;1.44;2.50
Newcastle Utd;22;27.6;43.1;7;77;630;7.0;8;7;8;0;0;15;0;1.14;1.00;2.14;1.14;2.14;8.8;8.8;6.5;15.3;1.25;0.93;2.19;1.25;2.19
Norwich City;21;26.5;46.0;7;77;630;7.0;2;1;1;1;1;11;0;0.29;0.14;0.43;0.14;0.29;5.8;5.0;3.8;8.8;0.83;0.54;1.37;0.72;1.26
Southampton;19;25.8;46.4;7;77;630;7.0;4;1;2;2;2;13;1;0.57;0.14;0.71;0.29;0.43;8.9;7.4;5.8;13.2;1.28;0.83;2.11;1.06;1.89
Tottenham;21;26.4;45.5;6;66;540;6.0;4;2;3;1;1;13;1;0.67;0.33;1.00;0.50;0.83;5.6;4.8;3.6;8.4;0.93;0.60;1.53;0.80;1.40
Watford;24;28.6;43.4;7;77;630;7.0;7;5;7;0;0;17;0;1.00;0.71;1.71;1.00;1.71;6.2;6.2;5.2;11.4;0.89;0.75;1.63;0.89;1.63
West Ham;18;28.8;49.3;6;66;540;6.0;12;10;12;0;2;6;1;2.00;1.67;3.67;2.00;3.67;10.1;9.0;7.6;16.6;1.68;1.26;2.94;1.51;2.77
Wolves;18;28.1;51.4;7;77;630;7.0;4;3;4;0;0;13;0;0.57;0.43;1.00;0.57;1.00;8.8;8.8;6.8;15.6;1.26;0.97;2.23;1.26;2.23
