Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Playing Time-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success-On-Off;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;Team Success (xG)-On-Off;Matches;
1;Reece Hannam\Reece-Hannam;eng ENG;DF;Crystal Palace;21-014;2000;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
2;Max Aarons\Max-Aarons;eng ENG;DF;Norwich City;21-272;2000;7;630;90;100.0;7.0;7;90;7;0;;0;0.14;2;16;-14;-2.00;;5.8;14.0;-8.2;-1.18;;Matches
3;Tammy Abraham\Tammy-Abraham;eng ENG;FW;Chelsea;24-001;1997;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
4;Che Adams\Che-Adams;sct SCO;FWMF;Southampton;25-082;1996;5;380;76;60.3;4.2;5;76;2;0;;2;0.60;2;6;-4;-0.95;-0.59;4.3;6.2;-1.8;-0.43;-0.12;Matches
5;Adrián\Adrian;es ESP;GK;Liverpool;34-273;1987;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
6;Rayan Aït Nouri\Rayan-Ait-Nouri;fr FRA;FW;Wolves;20-119;2001;1;7;7;1.1;0.1;0;;0;1;7;5;0.00;0;0;0;0.00;+0.14;0.1;0.2;-0.1;-1.53;-1.74;Matches
7;Kristoffer Ajer\Kristoffer-Ajer;no NOR;DF;Brentford;23-169;1998;6;520;87;96.3;5.8;6;87;5;0;;0;1.50;7;5;+2;+0.35;-4.15;7.7;5.3;+2.4;+0.41;+0.64;Matches
8;Nathan Aké\Nathan-Ake;nl NED;DF;Manchester City;26-227;1995;2;180;90;33.3;2.0;2;90;2;0;;4;0.50;0;1;-1;-0.50;-3.50;2.9;1.7;+1.2;+0.61;-1.80;Matches
9;Marc Albrighton\Marc-Albrighton;eng ENG;MFFW;Leicester City;31-319;1989;2;180;90;33.3;2.0;2;90;2;0;;4;1.50;2;2;0;0.00;+0.75;2.1;4.4;-2.3;-1.17;-1.21;Matches
10;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;Liverpool;30-175;1991;4;177;44;32.8;2.0;2;75;0;2;14;0;2.50;3;0;+3;+1.53;-0.46;6.8;2.1;+4.7;+2.36;+1.05;Matches
