Squad;# Pl;90s;Goals-GA;Goals-PKA;Goals-FK;Goals-CK;Goals-OG;Expected-PSxG;Expected-PSxG/SoT;Expected-PSxG+/-;Expected-/90;Launched-Cmp;Launched-Att;Launched-Cmp%;Passes-Att;Passes-Thr;Passes-Launch%;Passes-AvgLen;Goal Kicks-Att;Goal Kicks-Launch%;Goal Kicks-AvgLen;Crosses-Opp;Crosses-Stp;Crosses-Stp%;Sweeper-#OPA;Sweeper-#OPA/90;Sweeper-AvgDist;
Angers;1;8.0;7;2;0;1;0;6.9;0.22;-0.1;-0.01;26;56;46.4;142;47;28.2;33.6;52;30.8;35.5;71;7;9.9;5;0.63;15.0
Bordeaux;1;8.0;17;2;0;2;0;16.2;0.33;-0.8;-0.10;61;153;39.9;183;20;56.8;43.4;58;84.5;59.2;59;6;10.2;6;0.75;14.4
Brest;1;9.0;18;1;0;2;2;12.1;0.27;-3.9;-0.43;67;135;49.6;225;54;42.2;37.5;61;65.6;50.8;62;4;6.5;5;0.56;14.5
Clermont Foot;1;8.0;19;2;0;2;1;13.9;0.33;-4.1;-0.51;22;60;36.7;154;36;24.0;30.0;55;41.8;35.4;43;1;2.3;3;0.38;11.5
Lens;1;9.0;10;1;1;0;0;9.6;0.35;-0.4;-0.05;42;105;40.0;192;44;39.1;36.5;55;54.5;46.7;65;11;16.9;4;0.44;13.5
Lille;2;8.0;14;2;0;4;0;11.5;0.31;-2.5;-0.31;44;108;40.7;174;37;45.4;38.6;50;58.0;48.6;61;6;9.8;8;1.00;16.3
Lorient;1;8.0;8;2;2;1;0;9.8;0.25;+1.8;+0.22;30;140;21.4;125;21;62.4;49.0;74;83.8;64.4;87;4;4.6;2;0.25;14.5
Lyon;1;8.0;12;2;1;1;2;11.2;0.24;+1.2;+0.15;33;63;52.4;191;39;24.1;30.9;62;27.4;30.3;71;3;4.2;8;1.00;16.3
Marseille;2;7.0;8;1;0;3;1;4.8;0.23;-2.2;-0.28;33;64;51.6;170;28;27.1;30.6;53;34.0;34.9;49;5;10.2;4;0.57;16.1
Metz;1;8.0;16;2;0;1;2;11.5;0.30;-2.5;-0.31;59;143;41.3;156;44;55.8;45.0;67;83.6;60.1;69;11;15.9;8;1.00;15.7
Monaco;1;8.0;11;1;0;1;1;7.4;0.29;-2.6;-0.33;32;89;36.0;181;27;34.8;35.7;52;50.0;43.0;49;3;6.1;7;0.88;17.7
Montpellier;2;9.0;16;0;1;2;1;12.4;0.28;-2.6;-0.28;64;129;49.6;254;52;38.2;34.9;75;42.7;38.0;73;8;11.0;3;0.33;13.8
Nantes;1;8.0;10;0;0;3;0;9.2;0.28;-0.8;-0.10;35;137;25.5;166;15;49.4;44.9;58;94.8;67.4;52;3;5.8;4;0.50;14.7
Nice;1;8.0;4;1;0;0;0;6.3;0.22;+2.3;+0.26;36;96;37.5;141;29;41.8;36.1;53;69.8;52.3;56;4;7.1;5;0.63;15.2
Paris S-G;2;8.0;7;0;0;2;0;6.0;0.21;-1.0;-0.12;20;33;60.6;167;37;14.4;26.5;51;17.6;24.9;65;5;7.7;6;0.75;13.5
Reims;1;9.0;11;1;0;3;0;9.3;0.28;-1.7;-0.19;41;127;32.3;215;37;44.2;40.1;58;55.2;45.4;84;4;4.8;9;1.00;16.5
Rennes;2;8.0;9;0;0;1;0;8.9;0.34;-0.1;-0.01;36;78;46.2;196;44;24.5;28.3;56;53.6;44.3;84;5;6.0;5;0.63;14.7
Saint-Étienne;2;8.0;17;1;1;1;0;13.9;0.30;-3.1;-0.39;51;128;39.8;170;36;45.3;39.3;73;69.9;54.6;60;2;3.3;8;1.00;15.4
Strasbourg;1;9.0;14;1;0;2;1;14.5;0.33;+1.5;+0.16;47;105;44.8;189;33;45.5;37.8;54;35.2;37.4;66;6;9.1;4;0.44;13.7
Troyes;1;8.0;12;1;0;3;0;11.2;0.29;-0.8;-0.10;74;166;44.6;239;41;51.0;40.8;67;65.7;47.4;85;5;5.9;6;0.75;13.0
