Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;Matches;
1;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;34-005;1987;9.0;12;11;8;3;1;1;4;25.0;3;117;42;35.9;69;43;5;16;8;0;8;29;41;30;0;Matches
2;Salis Abdul Samed\Salis-Abdul-Samed;gh GHA;MF;Clermont Foot;21-191;2000;6.1;11;9;5;5;1;3;15;20.0;12;114;35;30.7;42;60;12;5;1;0;4;11;22;4;0;Matches
3;Laurent Abergel\Laurent-Abergel;fr FRA;MF;Lorient;28-244;1993;8.0;30;17;16;11;3;15;37;40.5;22;202;68;33.7;77;106;19;14;1;0;13;17;47;4;0;Matches
4;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;21-174;2000;0.5;0;0;0;0;0;0;1;0.0;1;14;1;7.1;0;11;3;1;0;0;1;0;0;0;0;Matches
5;Matthis Abline\Matthis-Abline;fr FRA;FW;Rennes;18-189;2003;1.1;0;0;0;0;0;0;1;0.0;1;26;4;15.4;4;14;8;2;0;0;2;1;1;1;0;Matches
6;Yacine Adli\Yacine-Adli;fr FRA;MFFW;Bordeaux;21-066;2000;4.5;7;6;3;4;0;0;9;0.0;9;99;21;21.2;27;47;25;3;1;0;2;6;13;5;0;Matches
7;Lucien Agoume\Lucien-Agoume;fr FRA;MF;Brest;19-236;2002;4.3;7;4;3;2;2;3;5;60.0;2;57;12;21.1;20;24;13;2;1;0;1;7;14;2;0;Matches
8;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Rennes;25-187;1996;8.0;2;1;1;1;0;0;1;0.0;1;49;17;34.7;29;19;1;10;6;0;4;11;13;45;1;Matches
9;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;28-160;1993;4.0;22;12;5;14;3;13;19;68.4;6;76;26;34.2;33;36;7;6;1;0;5;8;30;14;0;Matches
10;Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng;sn SEN;FWMF;Marseille;21-194;2000;3.3;6;5;2;4;0;0;3;0.0;3;38;5;13.2;8;16;14;1;0;0;1;5;11;1;0;Matches
11;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Strasbourg;27-197;1994;3.3;6;3;4;2;0;4;7;57.1;3;63;9;14.3;26;34;3;3;1;0;2;11;17;5;0;Matches
12;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;27-220;1994;7.9;13;5;2;4;7;2;11;18.2;9;138;32;23.2;22;60;56;13;5;0;8;4;17;7;0;Matches
13;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DFMF;Metz;23-066;1998;1.2;5;3;4;1;0;1;3;33.3;2;35;10;28.6;16;12;7;1;0;0;1;6;11;2;0;Matches
14;Mohamed Ali Cho\Mohamed-Ali-Cho;fr FRA;FW;Angers;17-257;2004;6.6;4;2;1;1;2;0;2;0.0;2;125;21;16.8;4;61;60;6;0;0;6;4;8;0;0;Matches
15;Jim Allevinah\Jim-Allevinah;ga GAB;FW;Clermont Foot;26-218;1995;4.7;6;3;2;1;3;1;5;20.0;4;59;13;22.0;15;20;24;2;2;0;0;2;8;0;0;Matches
16;Jordan Amavi\Jordan-Amavi;fr FRA;DF;Marseille;27-208;1994;0.6;4;2;4;0;0;3;6;50.0;3;5;1;20.0;5;0;0;1;0;0;1;0;4;0;0;Matches
17;Benjamin André\Benjamin-Andre;fr FRA;MF;Lille;31-061;1990;8.0;30;20;8;17;5;8;20;40.0;12;148;47;31.8;48;78;22;19;6;0;13;17;47;14;0;Matches
