Squad;# Pl;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;
Angers;19;3.0;73;45;40;25;8;29;65;44.6;36;478;156;32.6;150;226;102;45;10;0;35;45;118;57;0
Bordeaux;21;3.0;62;42;25;32;5;27;62;43.5;35;533;134;25.1;156;266;111;27;9;0;18;40;102;51;1
Brest;15;3.0;51;38;31;17;3;27;63;42.9;36;619;168;27.1;250;298;71;36;8;0;28;59;110;58;0
Clermont Foot;17;3.0;52;35;24;22;6;25;56;44.6;31;387;110;28.4;110;190;87;28;5;0;23;37;89;40;0
Lens;20;3.0;62;40;31;27;4;25;47;53.2;22;455;128;28.1;138;213;104;40;10;1;30;52;114;56;1
Lille;19;3.0;66;43;33;29;4;27;58;46.6;31;335;110;32.8;116;158;61;45;9;0;36;41;107;43;0
Lorient;19;3.0;66;38;32;26;8;31;76;40.8;45;493;140;28.4;211;211;71;55;19;0;36;47;113;106;0
Lyon;21;4.0;100;63;49;33;18;37;74;50.0;37;615;197;32.0;180;268;167;54;13;1;41;73;173;85;1
Marseille;17;2.8;38;26;19;16;3;14;33;42.4;19;317;97;30.6;94;137;86;31;8;0;23;37;75;51;0
Metz;21;3.0;51;29;21;24;6;14;41;34.1;27;373;130;34.9;131;168;74;56;11;1;45;65;116;82;0
Monaco;19;3.0;77;54;25;43;9;20;50;40.0;30;433;185;42.7;94;205;134;18;1;0;17;43;120;30;2
Montpellier;18;3.0;64;37;30;20;14;16;39;41.0;23;421;113;26.8;172;153;96;43;8;0;35;34;98;62;0
Nantes;18;4.0;88;52;43;30;15;24;63;38.1;39;591;155;26.2;191;278;122;54;14;1;40;82;170;97;1
Nice;17;2.8;55;23;28;16;11;26;55;47.3;29;404;115;28.5;121;184;99;39;9;0;30;49;104;41;0
Paris S-G;18;3.0;42;28;15;15;12;14;35;40.0;21;399;102;25.6;94;145;160;30;9;0;21;39;81;48;1
Reims;17;3.0;43;25;21;18;4;11;32;34.4;21;348;111;31.9;113;171;64;35;13;0;22;56;99;63;2
Rennes;19;3.0;36;23;11;15;10;18;34;52.9;16;346;96;27.7;94;162;90;36;3;0;33;36;72;79;1
Saint-Étienne;22;3.0;62;40;33;27;2;16;44;36.4;28;493;172;34.9;174;226;93;54;9;0;45;40;102;63;2
Strasbourg;17;3.0;69;40;30;25;14;31;69;44.9;38;551;129;23.4;151;228;172;36;7;0;29;54;123;43;0
Troyes;19;3.0;52;28;42;6;4;22;58;37.9;36;453;123;27.2;220;203;30;41;10;2;31;59;111;50;0
