Rk;Player;Nation;Pos;Squad;Age;Born;90s;Performance-CrdY;Performance-CrdR;Performance-2CrdY;Performance-Fls;Performance-Fld;Performance-Off;Crs;Int;TklW;Performance-PKwon;Performance-PKcon;Performance-OG;Performance-Recov;Aerial Duels-Won;Aerial Duels-Lost;Aerial Duels-Won%;Matches;
1;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;33-334;1987;3.0;0;0;0;3;6;0;1;11;4;0;0;0;24;9;6;60.0;Matches
2;Salis Abdul Samed\Salis-Abdul-Samed;gh GHA;MF;Clermont Foot;21-155;2000;2.3;1;0;0;8;4;0;0;4;2;0;0;0;17;3;1;75.0;Matches
3;Laurent Abergel\Laurent-Abergel;fr FRA;MF;Lorient;28-208;1993;3.0;0;0;0;3;6;0;3;8;6;0;0;0;31;0;2;0.0;Matches
4;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;21-138;2000;0.5;0;0;0;1;0;0;1;0;0;0;0;0;2;1;0;100.0;Matches
5;Matthis Abline\Matthis-Abline;fr FRA;FW;Rennes;18-153;2003;0.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.0;Matches
6;Yacine Adli\Yacine-Adli;fr FRA;MF;Bordeaux;21-030;2000;1.1;0;0;0;2;0;0;1;0;1;0;0;0;8;0;1;0.0;Matches
7;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Rennes;25-151;1996;3.0;0;0;0;1;1;0;0;6;1;0;0;0;22;14;5;73.7;Matches
8;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;28-124;1993;1.9;0;0;0;5;4;0;4;5;4;0;0;0;19;0;2;0.0;Matches
9;Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng;sn SEN;FW;Marseille;21-158;2000;0.0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0.0;Matches
10;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Strasbourg;27-161;1994;0.5;0;0;0;2;0;0;0;3;2;0;0;0;4;0;1;0.0;Matches
11;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;27-184;1994;2.8;0;0;0;3;2;3;3;1;3;0;0;1;10;9;11;45.0;Matches
12;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DF;Metz;23-030;1998;0.7;0;0;0;2;4;0;1;4;2;0;0;0;8;1;1;50.0;Matches
13;Mohamed Ali Cho\Mohamed-Ali-Cho;fr FRA;FW;Angers;17-221;2004;2.7;0;0;0;5;8;3;6;2;1;0;0;0;10;0;12;0.0;Matches
14;Jim Allevinah\Jim-Allevinah;ga GAB;FW;Clermont Foot;26-182;1995;2.5;0;0;0;3;7;0;5;1;1;0;0;0;14;2;1;66.7;Matches
15;Benjamin André\Benjamin-Andre;fr FRA;MF;Lille;31-025;1990;3.0;1;0;0;6;3;1;0;4;5;0;1;0;28;12;8;60.0;Matches
16;Houssem Aouar\Houssem-Aouar;fr FRA;MF;Lyon;23-059;1998;4.0;0;0;0;2;9;0;4;7;4;0;0;0;26;2;1;66.7;Matches
17;Adil Aouchiche\Adil-Aouchiche;fr FRA;MFFW;Saint-Étienne;19-044;2002;1.2;1;0;0;1;0;1;0;0;1;0;0;0;11;3;2;60.0;Matches
18;Dennis Appiah\Dennis-Appiah;fr FRA;DF;Nantes;29-080;1992;2.7;0;0;0;4;0;0;1;6;2;0;0;0;22;2;5;28.6;Matches
19;Youcef Attal\Youcef-Attal;dz ALG;DF;Nice;25-103;1996;1.7;1;0;0;3;2;0;3;6;5;0;0;0;12;5;2;71.4;Matches
20;Karim Azamoum\Karim-Azamoum;fr FRA;DFFW;Troyes;31-223;1990;1.8;0;0;0;6;2;0;0;1;1;0;0;0;5;3;3;50.0;Matches
21;Loïc Bade\Loic-Bade;fr FRA;DF;Rennes;21-139;2000;3.0;0;0;0;1;1;0;2;3;0;0;0;0;11;7;5;58.3;Matches
22;Benoît Badiashile\Benoit-Badiashile;fr FRA;DF;Monaco;20-155;2001;1.0;0;0;0;1;1;0;0;4;1;0;0;0;11;2;0;100.0;Matches
23;Stéphane Bahoken\Stephane-Bahoken;cm CMR;FW;Angers;29-092;1992;0.7;0;0;0;0;1;0;1;0;0;0;0;0;4;0;2;0.0;Matches
24;Leonardo Balerdi\Leonardo-Balerdi;ar ARG;DF;Marseille;22-214;1999;2.0;1;1;0;3;1;0;0;8;1;0;0;0;21;2;2;50.0;Matches
25;Jonathan Bamba\Jonathan-Bamba;fr FRA;MF;Lille;25-155;1996;2.8;0;0;0;2;8;0;5;6;3;0;0;0;22;2;4;33.3;Matches
26;Simon Banza\Simon-Banza;fr FRA;FW;Lens;25-015;1996;1.1;0;0;0;2;6;0;0;0;2;0;0;0;3;5;3;62.5;Matches
27;Melvin Bard\Melvin-Bard;fr FRA;DF;Nice;20-295;2000;1.1;0;0;0;0;2;0;3;14;0;0;0;0;12;1;4;20.0;Matches
28;Toma Bašić\Toma-Basic;hr CRO;MF;Bordeaux;24-276;1996;2.3;0;0;0;6;2;0;7;3;3;0;0;0;13;0;1;0.0;Matches
29;Amine Bassi\Amine-Bassi;fr FRA;MF;Metz;23-274;1997;0.7;0;0;0;0;2;0;1;1;1;0;0;0;2;0;1;0.0;Matches
30;Mohamed Bayo\Mohamed-Bayo;gn GUI;FW;Clermont Foot;23-085;1998;2.9;0;0;0;0;0;1;0;1;2;0;0;0;12;6;7;46.2;Matches
31;Haris Belkebla\Haris-Belkebla;dz ALG;MF;Brest;27-212;1994;1.0;0;0;0;0;0;0;0;3;0;0;0;0;8;0;0;;Matches
32;Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde;fr FRA;MF;Strasbourg;23-062;1998;2.9;1;0;0;5;4;0;5;1;4;0;0;0;30;1;2;33.3;Matches
33;Wissam Ben Yedder\Wissam-Ben-Yedder;fr FRA;FW;Monaco;31-016;1990;1.4;0;0;0;1;2;0;1;1;3;0;0;0;4;1;5;16.7;Matches
34;Darío Benedetto\Dario-Benedetto;ar ARG;FWMF;Marseille;31-103;1990;0.6;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;66.7;Matches
35;Walter Benítez\Walter-Benitez;ar ARG;GK;Nice;28-162;1993;2.0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;;Matches
36;Loris Benito\Loris-Benito;ch SUI;DF;Bordeaux;29-233;1992;0.7;0;0;0;1;0;0;0;2;0;0;0;0;7;0;0;;Matches
37;Valon Berisha\Valon-Berisha;xk KVX;MFFW;Reims;28-202;1993;0.5;0;0;0;2;0;0;0;4;1;0;0;0;5;0;1;0.0;Matches
38;Paul Bernardoni\Paul-Bernardoni;fr FRA;GK;Angers;24-132;1997;3.0;0;0;0;0;1;0;0;0;0;0;0;0;16;0;0;;Matches
39;Dimitry Bertaud\Dimitry-Bertaud;fr FRA;GK;Montpellier;23-083;1998;3.0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;;Matches
40;Jason Berthomier\Jason-Berthomier;fr FRA;MF;Clermont Foot;31-234;1990;2.2;0;0;0;0;0;1;2;1;3;0;0;0;14;1;0;100.0;Matches
41;Giulian Biancone\Giulian-Biancone;fr FRA;DF;Troyes;21-150;2000;1.5;2;0;0;4;1;0;2;2;2;0;0;0;16;3;2;60.0;Matches
42;El Bilal Touré\El-Bilal-Toure;ml MLI;FW;Reims;19-329;2001;1.4;0;0;0;2;1;0;3;0;2;0;0;0;8;10;10;50.0;Matches
43;Marco Bizot\Marco-Bizot;nl NED;GK;Brest;30-171;1991;3.0;0;0;0;0;1;0;0;0;0;0;0;0;15;0;0;;Matches
44;Ludovic Blas\Ludovic-Blas;fr FRA;MFFW;Nantes;23-240;1997;3.8;2;0;0;5;5;0;2;8;5;0;0;0;25;6;3;66.7;Matches
45;Myron Boadu\Myron-Boadu;nl NED;FW;Monaco;20-226;2001;1.6;0;0;0;0;1;1;1;1;0;0;0;0;1;2;2;50.0;Matches
46;Antonin Bobichon\Antonin-Bobichon;fr FRA;MF;Angers;25-348;1995;0.1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;100.0;Matches
47;Quentin Boisgard\Quentin-Boisgard;fr FRA;MF;Lorient;24-164;1997;0.3;0;0;0;0;1;0;1;0;0;0;0;0;3;0;0;;Matches
48;Sven Botman\Sven-Botman;nl NED;DF;Lille;21-228;2000;3.0;0;0;0;1;1;0;0;6;6;0;0;0;27;9;4;69.2;Matches
49;Denis Bouanga\Denis-Bouanga;ga GAB;FWMF;Saint-Étienne;26-290;1994;2.7;1;0;0;8;7;0;3;0;2;0;0;0;22;10;4;71.4;Matches
